,메뉴이름,식사명,열량,날짜,부대
0,배추김치(7~9월),조식,8.45kcal,2021-09-27,6282
1,열무김치,중식,12.8kcal,2021-09-27,6282
2,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-27,6282
3,감귤 주스(340㎖/ 페트),중식,44kcal,2021-09-27,6282
4,찹쌀밥,조식,371.82kcal,2021-09-28,6282
5,얼큰떡만둣국(01)(05)(06)(10),중식,568.19kcal,2021-09-28,6282
6,참치마요덮밥(01)(05)(06),석식,693.37kcal,2021-09-28,6282
7,돼지고기김치찌개(06)(10),조식,78.6kcal,2021-09-28,6282
8,오징어채무침(06)(17),중식,88.6kcal,2021-09-28,6282
9,아욱된장국(05)(06),석식,35.22kcal,2021-09-28,6282
10,새송이쇠고기볶음(05)(06)(16),조식,110.25kcal,2021-09-28,6282
11,미나리무생채,중식,29.63kcal,2021-09-28,6282
12,양념통닭(01)(06)(15),석식,736.51kcal,2021-09-28,6282
13,연두부샐러드(05)(06),조식,90.5kcal,2021-09-28,6282
14,배추김치(7~9월),중식,8.45kcal,2021-09-28,6282
15,배추김치(7~9월),석식,8.45kcal,2021-09-28,6282
16,열무김치,조식,12.8kcal,2021-09-28,6282
17,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-28,6282
18,방울토마토(비생산기)(12),석식,21.384kcal,2021-09-28,6282
19,밥,조식,363kcal,2021-09-29,6282
20,찹쌀밥,중식,371.82kcal,2021-09-29,6282
21,오징어덮밥(05)(06)(17),석식,576.24kcal,2021-09-29,6282
22,쇠고기무국(05)(16),조식,35.58kcal,2021-09-29,6282
23,버섯된장찌개(05)(06),중식,59.75kcal,2021-09-29,6282
24,계란찜(01),석식,79.51kcal,2021-09-29,6282
25,맛김,조식,0kcal,2021-09-29,6282
26,삼겹살구이(10),중식,567.68kcal,2021-09-29,6282
27,무초절이,석식,34.19kcal,2021-09-29,6282
28,소시지콩나물찜(05)(06)(10),조식,279.82kcal,2021-09-29,6282
29,모듬쌈(05)(06),중식,56.51kcal,2021-09-29,6282
30,치킨텐더샐러드(01)(06)(12)(15),석식,361.99kcal,2021-09-29,6282
31,두부조림(05)(06),조식,107.5kcal,2021-09-29,6282
32,오이풋고추된장무침(05)(06),중식,28.24kcal,2021-09-29,6282
33,배추김치(7~9월),석식,8.45kcal,2021-09-29,6282
34,배추김치(7~9월),조식,8.45kcal,2021-09-29,6282
35,배추김치(7~9월),중식,8.45kcal,2021-09-29,6282
36,컵과일(거봉),석식,46kcal,2021-09-29,6282
37,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-29,6282
38,밥,조식,363kcal,2021-09-30,6282
39,쫄면(05)(06),중식,727.41kcal,2021-09-30,6282
40,찰보리비빔밥(열무비빔밥)(05)(06),석식,536.58kcal,2021-09-30,6282
41,배추쇠고기국(05)(06)(16),조식,52.97kcal,2021-09-30,6282
42,돈가스(06)(10),중식,649.18kcal,2021-09-30,6282
43,우렁된장찌개(05)(06),석식,112.66kcal,2021-09-30,6282
44,표고버섯돼지고기볶음(05)(06)(10),조식,181.93kcal,2021-09-30,6282
45,삶은계란(01),중식,70.28kcal,2021-09-30,6282
46,계란후라이(01),석식,125.4kcal,2021-09-30,6282
47,호박잎/양념장(05)(06),조식,41.72kcal,2021-09-30,6282
48,백김치,중식,15.12kcal,2021-09-30,6282
49,열무김치,석식,12.8kcal,2021-09-30,6282
50,깍두기(완제품)(09),조식,15.2kcal,2021-09-30,6282
51,파인애플에이드 190ml,석식,,2021-09-30,6282
52,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-30,6282
53,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-13,6282
54,"주스,카프리썬 오렌지(200ml,파우치)",석식,60kcal,2021-09-13,6282
55,밥,조식,363kcal,2021-09-14,6282
56,밥,중식,363kcal,2021-09-14,6282
57,흑미밥,석식,372.86kcal,2021-09-14,6282
58,쇠고기호박찌개(06)(16),조식,74.03kcal,2021-09-14,6282
59,감자탕(05)(06)(10),중식,343.97kcal,2021-09-14,6282
60,아욱된장국(05)(06),석식,35.22kcal,2021-09-14,6282
61,가지볶음(05)(06),조식,27.42kcal,2021-09-14,6282
62,생선묵잡채(05)(06),중식,186.9kcal,2021-09-14,6282
63,닭갈비(05)(06)(15),석식,255.75kcal,2021-09-14,6282
64,두부돈육김치볶음(05)(06)(10),조식,223.48kcal,2021-09-14,6282
65,미나리오징어무침(06)(17),중식,80.19kcal,2021-09-14,6282
66,도라지튀김(05)(06),석식,362.63kcal,2021-09-14,6282
67,열무김치,조식,12.8kcal,2021-09-14,6282
68,배추김치(7~9월),중식,8.45kcal,2021-09-14,6282
69,배추김치(7~9월),석식,8.45kcal,2021-09-14,6282
70,아이스샌드,중식,252kcal,2021-09-14,6282
71,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-14,6282
72,밥,조식,363kcal,2021-09-15,6282
73,검은콩밥,중식,375.33kcal,2021-09-15,6282
74,오징어제육덮밥(05)(06)(10)(17),석식,752.9kcal,2021-09-15,6282
75,쇠고기무국(05)(16),조식,35.58kcal,2021-09-15,6282
76,광어매운탕(06),중식,110.8kcal,2021-09-15,6282
77,감자튀김(12),석식,416.95kcal,2021-09-15,6282
78,맛김,조식,0kcal,2021-09-15,6282
79,연근소불고기(05)(06)(16),중식,270.2kcal,2021-09-15,6282
80,우유계란찜(01),석식,109.5kcal,2021-09-15,6282
81,소시지콩나물찜(05)(06)(10),조식,279.82kcal,2021-09-15,6282
82,상추샐러드(05)(06),중식,41.77kcal,2021-09-15,6282
83,배추김치(7~9월),석식,8.45kcal,2021-09-15,6282
84,두부조림(05)(06),조식,107.5kcal,2021-09-15,6282
85,배추김치(7~9월),중식,8.45kcal,2021-09-15,6282
86,"우유(백색우유(200ML,연간))(02)",석식,122kcal,2021-09-15,6282
87,배추김치(7~9월),조식,8.45kcal,2021-09-15,6282
88,망고 주스(180㎖/캔),석식,26kcal,2021-09-15,6282
89,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-15,6282
90,밥,조식,363kcal,2021-09-16,6282
91,자장면(05)(06)(10),중식,966.55kcal,2021-09-16,6282
92,밀쌀밥,석식,356.48kcal,2021-09-16,6282
93,돼지고기김치찌개(06)(10),조식,78.6kcal,2021-09-16,6282
94,탕수육(완제품용)(05)(06)(10)(12),중식,524.61kcal,2021-09-16,6282
95,비엔나소시지찌개(05)(06)(10),석식,150.26kcal,2021-09-16,6282
