,메뉴이름,식사명,열량,날짜,부대
0,사인머스켓,조식,90kcal,2021-09-25,5021
1,감자양파찌개(05)(06),중식,70.03kcal,2021-09-25,5021
2,버섯쇠고기찌개(05)(06)(16),석식,78.72kcal,2021-09-25,5021
3,"우유(백색우유(200ML,연간))(02)",조식,244kcal,2021-09-25,5021
4,쇠고기불고기(05)(06)(16),중식,300.59kcal,2021-09-25,5021
5,계란찜(01)(09),석식,88.45kcal,2021-09-25,5021
6,커피음료,조식,,2021-09-25,5021
7,계란말이(01),중식,60.53kcal,2021-09-25,5021
8,닭고기야채조림(05)(06)(15),석식,245.84kcal,2021-09-25,5021
9,갓김치,중식,11.52kcal,2021-09-25,5021
10,배추김치(7~9월),석식,9.5kcal,2021-09-25,5021
11,김치덮밥(05)(06)(10),조식,614.49kcal,2021-09-26,5021
12,잡곡밥,중식,378.29kcal,2021-09-26,5021
13,밥,석식,363kcal,2021-09-26,5021
14,조개국(01)(05),조식,49.69kcal,2021-09-26,5021
15,감자호박국(05)(09),중식,32.16kcal,2021-09-26,5021
16,들깨미역국(05),석식,90.32kcal,2021-09-26,5021
17,오징어채간장볶음(01)(05)(06)(17),조식,96.26kcal,2021-09-26,5021
18,돼지고기고추장볶음(05)(06)(10),중식,455.68kcal,2021-09-26,5021
19,닭갈비(05)(06)(15),석식,306.55kcal,2021-09-26,5021
20,깍두기(완제품)(09),조식,15.2kcal,2021-09-26,5021
21,배추된장무침(05)(06),중식,41.26kcal,2021-09-26,5021
22,콩나물매운무침(05)(06),석식,32.07kcal,2021-09-26,5021
23,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-26,5021
24,열무김치,중식,12.8kcal,2021-09-26,5021
25,배추김치(7~9월),석식,9.5kcal,2021-09-26,5021
26,밥,조식,363kcal,2021-09-27,5021
27,잡채볶음밥,중식,727.63kcal,2021-09-27,5021
28,찹쌀밥,석식,391.72kcal,2021-09-27,5021
29,부대찌개(05)(06)(10),조식,176.99kcal,2021-09-27,5021
30,북어채국(05),중식,20.34kcal,2021-09-27,5021
31,생선묵국(05)(06),석식,63.95kcal,2021-09-27,5021
32,조미김,조식,0kcal,2021-09-27,5021
33,오이양파장아찌(05)(06),중식,28.37kcal,2021-09-27,5021
34,떡볶이(05)(06),석식,286.08kcal,2021-09-27,5021
35,돈육표고장조림(05)(06)(10),조식,223.92kcal,2021-09-27,5021
36,배추김치(7~9월),중식,9.5kcal,2021-09-27,5021
37,야채튀김(06)(12),석식,380.34kcal,2021-09-27,5021
38,오이무침,조식,19.49kcal,2021-09-27,5021
39,복숭아 주스(340㎖/캔),중식,81kcal,2021-09-27,5021
40,삶은계란(01),석식,70.28kcal,2021-09-27,5021
41,배추김치(7~9월),조식,9.5kcal,2021-09-27,5021
42,배추김치(7~9월),석식,9.5kcal,2021-09-27,5021
43,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-27,5021
44,밥,조식,363kcal,2021-09-28,5021
45,자장면(05)(06)(10),중식,803.2kcal,2021-09-28,5021
46,찰보리밥,석식,386.7kcal,2021-09-28,5021
47,쇠고기무국(05)(16),조식,36.62kcal,2021-09-28,5021
48,해물짬뽕찌개(05)(06)(17)(18),중식,92.45kcal,2021-09-28,5021
49,강된장찌개(05)(06),석식,131.12kcal,2021-09-28,5021
50,버섯호박볶음(05)(06)(09),조식,45.81kcal,2021-09-28,5021
51,삶은계란(01),중식,70.28kcal,2021-09-28,5021
52,삼겹살구이(05)(06)(10),석식,480.53kcal,2021-09-28,5021
53,오징어볶음(05)(06)(17),조식,216.33kcal,2021-09-28,5021
54,단무지,중식,11.16kcal,2021-09-28,5021
55,모듬야채,석식,17.02kcal,2021-09-28,5021
56,김자반,조식,43kcal,2021-09-28,5021
57,배추김치(7~9월),중식,9.5kcal,2021-09-28,5021
58,배추김치(7~9월),석식,9.5kcal,2021-09-28,5021
59,배추김치(7~9월),조식,9.5kcal,2021-09-28,5021
60,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-28,5021
61,망고 주스(180㎖/캔),석식,26kcal,2021-09-28,5021
62,밥,조식,363kcal,2021-09-29,5021
63,하이라이스(01)(05)(06)(10),중식,981.76kcal,2021-09-29,5021
64,흑미밥,석식,381.75kcal,2021-09-29,5021
65,계란국(01)(05),조식,76.56kcal,2021-09-29,5021
66,돼지고기김치찌개(05)(06)(10),중식,75.6kcal,2021-09-29,5021
67,콩나물김치국(05),석식,16.18kcal,2021-09-29,5021
68,비엔나소시지야채볶음(10),조식,169.82kcal,2021-09-29,5021
69,오이파프리카무침(05)(06),중식,12.35kcal,2021-09-29,5021
70,소양념갈비,석식,730kcal,2021-09-29,5021
71,닭고기감자조림(05)(06)(15),조식,221.63kcal,2021-09-29,5021
72,배추김치(7~9월),중식,9.5kcal,2021-09-29,5021
73,감자샐러드(01),석식,138.06kcal,2021-09-29,5021
74,배추김치(7~9월),조식,9.5kcal,2021-09-29,5021
75,백김치,석식,15.12kcal,2021-09-29,5021
76,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-29,5021
77,밥,조식,363kcal,2021-09-30,5021
78,비빔밥(05)(06)(16),중식,648.02kcal,2021-09-30,5021
79,햄치즈버거(01)(02)(06)(10)(12),석식,829.47kcal,2021-09-30,5021
80,쇠고기미역국(05)(16),조식,29.49kcal,2021-09-30,5021
81,계란국(01)(05),중식,76.56kcal,2021-09-30,5021
82,감자튀김,석식,444.61kcal,2021-09-30,5021
83,두부김치(05)(06)(10),조식,375.2kcal,2021-09-30,5021
84,함박스테이크,중식,0kcal,2021-09-30,5021
