,메뉴이름,식사명,열량,날짜,부대
0,밥,조식,363kcal,2021-09-03,3389
1,흑미밥,중식,374.25kcal,2021-09-03,3389
2,현미밥,석식,383.51kcal,2021-09-03,3389
3,중화식계란탕(01)(05),조식,54.98kcal,2021-09-03,3389
4,버섯쇠고기찌개(05)(16),중식,58.19kcal,2021-09-03,3389
5,닭곰탕(15),석식,164.11kcal,2021-09-03,3389
6,돼지고기청경채볶음(05)(06)(10),조식,300kcal,2021-09-03,3389
7,마파두부(05)(06),중식,228.81kcal,2021-09-03,3389
8,멸치볶음(01)(05)(06),석식,71.32kcal,2021-09-03,3389
9,맛김,조식,0kcal,2021-09-03,3389
10,오징어채볶음(01)(05)(06)(17),중식,79.81kcal,2021-09-03,3389
11,돼지고기김치찜(05)(06)(10),석식,270.33kcal,2021-09-03,3389
12,감자조림(05)(06),조식,87.24kcal,2021-09-03,3389
13,배추김치(7~9월),중식,9kcal,2021-09-03,3389
14,열무김치,석식,11.84kcal,2021-09-03,3389
15,배추김치(7~9월),조식,9kcal,2021-09-03,3389
16,아이스샌드,중식,252kcal,2021-09-03,3389
17,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-03,3389
18,핫도그빵(01)(06)(10)(12),조식,914.88kcal,2021-09-04,3389
19,잡곡밥,중식,359.79kcal,2021-09-04,3389
20,김치덮밥(05)(06)(10),석식,573.36kcal,2021-09-04,3389
21,삶은계란(01),조식,70.18kcal,2021-09-04,3389
22,바싹불고기/파채(05)(06)(16),중식,313.84kcal,2021-09-04,3389
23,감자조림(05)(06),석식,87.24kcal,2021-09-04,3389
24,두유(05),조식,140kcal,2021-09-04,3389
25,상추오이무침(05)(06),중식,19.72kcal,2021-09-04,3389
26,계란후라이(01),석식,130.96kcal,2021-09-04,3389
27,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-04,3389
28,마카로니샐러드(01),중식,38kcal,2021-09-04,3389
29,무생채(05)(06),석식,26.33kcal,2021-09-04,3389
30,배추김치(7~9월),중식,9kcal,2021-09-04,3389
31,백김치,석식,15.12kcal,2021-09-04,3389
32,대추방울토마토(비생산기)(12),중식,13.6kcal,2021-09-04,3389
33,쇠고기버섯죽(05)(06),조식,403.31kcal,2021-09-05,3389
34,흑미밥,중식,374.25kcal,2021-09-05,3389
