,메뉴이름,식사명,열량,날짜,부대
0,찐고구마,조식,109.65,20201025,7652
1,잡곡밥,중식,440.72,20201025,7652
2,흑미밥,석식,410.55,20201025,7652
3,소떡소떡(05)(06)(10),조식,645.28,20201025,7652
4,매콤닭순살덮밥(05)(06)(15),중식,274.66,20201025,7652
5,돼지고기감자찌개(05)(06)(10),석식,120.35,20201025,7652
6,구운계란(01),조식,70.08,20201025,7652
7,조미김(8절형),중식,5.25,20201025,7652
8,오징어숙회/초고추장(06)(17),석식,126.66,20201025,7652
9,혼합시리얼,조식,121.32,20201025,7652
10,배추김치(10~11월),중식,13.75,20201025,7652
11,마파두부(05)(06)(10),석식,282.19,20201025,7652
12,배추김치(10~11월),조식,13.75,20201025,7652
13,사과 주스(200㎖/팩),중식,46,20201025,7652
14,배추김치(10~11월),석식,13.75,20201025,7652
15,"요구르트,떠먹는형(02)",조식,96,20201025,7652
16,"우유(백색우유(200ML,연간))(02)",조식,122,20201025,7652
17,밥,조식,399.3,20201026,7652
18,밀쌀밥,중식,399.85,20201026,7652
19,현미밥,석식,413.82,20201026,7652
20,계란국(01)(05),조식,43.41,20201026,7652
21,무청시래기국(05)(06),중식,44.57,20201026,7652
22,북어미역국(05),석식,32.86,20201026,7652
23,단무지무침(05)(06),조식,36.77,20201026,7652
24,채소스틱(모듬 선택),중식,48.1,20201026,7652
25,연두부(05),석식,64.8,20201026,7652
26,즉석자장소스(05)(06)(10),조식,415.8,20201026,7652
27,돼지고기가지볶음(05)(06)(10),중식,422.64,20201026,7652
28,브로콜리게맛살튀김(06)(12),석식,350.23,20201026,7652
29,배추김치(10~11월),조식,13.75,20201026,7652
30,배추김치(10~11월),중식,13.75,20201026,7652
31,배추김치(10~11월),석식,13.75,20201026,7652
32,"우유(백색우유(200ML,연간))(02)",조식,122,20201026,7652
33,배 주스(238㎖/캔),중식,40,20201026,7652
34,불고기버거(06)(10),조식,591.99,20201027,7652
35,밀쌀밥,중식,399.85,20201027,7652
36,밥,석식,399.3,20201027,7652
37,토마토슬라이스(12),조식,7.13,20201027,7652
38,청국장(05)(10),중식,114.53,20201027,7652
39,순두부백탕(01)(05)(18),석식,93.14,20201027,7652
40,혼합시리얼,조식,121.32,20201027,7652
41,순살닭고기고구마조림(05)(06)(15),중식,306.59,20201027,7652
42,콩나물무침(05)(06),석식,59.02,20201027,7652
43,딸기쨈,조식,63.5,20201027,7652
44,골뱅이고추장볶음(05)(06),중식,220.05,20201027,7652
45,광어튀김(05)(06),석식,391.87,20201027,7652
46,양배추샐러드(01)(12),조식,160.55,20201027,7652
47,배추김치(10~11월),중식,13.75,20201027,7652
48,배추김치(10~11월),석식,13.75,20201027,7652
49,"우유(백색우유(200ML,연간))(02)",조식,122,20201027,7652
50,"사과(후지, 상품)",중식,63.945,20201027,7652
51,복숭아 주스(340㎖/캔),중식,81,20201027,7652
52,밥,조식,399.3,20201028,7652
53,스파게티(06)(12),중식,792.58,20201028,7652
54,찰보리밥,석식,392.21,20201028,7652
55,아귀탕(05)(06),조식,90.87,20201028,7652
56,치킨너겟강정(06)(12)(15),중식,581.19,20201028,7652
57,조갯살미역국(05)(18),석식,36.57,20201028,7652
58,무나물,조식,60.08,20201028,7652
59,계란장조림(01)(05)(06)(10),중식,140.24,20201028,7652
60,양파피클(05)(06),석식,43.1,20201028,7652
61,황태찜,조식,201.51,20201028,7652
