,메뉴이름,식사명,열량,날짜,부대
0,"포도,신선형(포도(811월))",중식,47.61kcal,2021-09-18,8902
1,밥,조식,363kcal,2021-09-19,8902
2,밥,중식,363kcal,2021-09-19,8902
3,불닭덮밥(01)(05)(06)(15),석식,654.6kcal,2021-09-19,8902
4,돼지고기김치찌개(05)(06)(10),조식,186.95kcal,2021-09-19,8902
5,오징어배추해장국(05)(06)(17),중식,59.42kcal,2021-09-19,8902
6,콩나물국(05),석식,18.44kcal,2021-09-19,8902
7,햄감자채볶음(10),조식,111.54kcal,2021-09-19,8902
8,돼지고기버섯볶음(05)(06)(10),중식,291.15kcal,2021-09-19,8902
9,맛김,석식,0kcal,2021-09-19,8902
10,무생채,조식,31.11kcal,2021-09-19,8902
11,감자매운조림(05)(06),중식,55.74kcal,2021-09-19,8902
12,연두부양념장(05)(06),석식,77.1kcal,2021-09-19,8902
13,배추김치(7~9월),조식,9.25kcal,2021-09-19,8902
14,열무김치,중식,12.8kcal,2021-09-19,8902
15,배추김치(7~9월),석식,9.25kcal,2021-09-19,8902
16,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-19,8902
17,유산균 발효유(3사교),중식,84.5kcal,2021-09-19,8902
18,건빵(참깨맛),석식,249kcal,2021-09-19,8902
19,밥,조식,363kcal,2021-09-20,8902
20,잡곡밥,중식,394.2kcal,2021-09-20,8902
21,간장계란밥(01)(05)(06),석식,605.35kcal,2021-09-20,8902
22,호박고추장찌개(05)(06)(10),조식,97.05kcal,2021-09-20,8902
23,배추쇠고기국(05)(16),중식,37.65kcal,2021-09-20,8902
24,멸치볶음(05)(06),석식,88.11kcal,2021-09-20,8902
25,쇠고기버섯볶음(05)(06)(16),조식,201.14kcal,2021-09-20,8902
26,돼지불고기(05)(06)(10),중식,407.35kcal,2021-09-20,8902
27,비엔나소시지케찹볶음(10)(12),석식,264.99kcal,2021-09-20,8902
28,콩나물무침(05),조식,29.72kcal,2021-09-20,8902
29,오이부추무침,중식,11.81kcal,2021-09-20,8902
30,배추김치(7~9월),석식,9.25kcal,2021-09-20,8902
31,배추김치(7~9월),조식,9.25kcal,2021-09-20,8902
32,열무김치,중식,12.8kcal,2021-09-20,8902
33,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-20,8902
34,사과(홍로),중식,47.232kcal,2021-09-20,8902
35,밥,조식,363kcal,2021-09-21,8902
36,잡곡밥,중식,394.2kcal,2021-09-21,8902
37,밥,석식,363kcal,2021-09-21,8902
38,쇠고기미역국(05)(16),조식,30.54kcal,2021-09-21,8902
39,두부고추장찌개(05)(06)(10),중식,170.78kcal,2021-09-21,8902
40,북어채국(01)(05),석식,46.21kcal,2021-09-21,8902
41,돼지고기김치볶음(06)(10),조식,121.45kcal,2021-09-21,8902
42,순살삼치구이(06),중식,157.5kcal,2021-09-21,8902
43,오삼불고기(05)(06)(10)(17),석식,519.58kcal,2021-09-21,8902
44,오징어채볶음(06)(17),조식,98.64kcal,2021-09-21,8902
45,소양념갈비,중식,744.26kcal,2021-09-21,8902
46,양배추/풋고추쌈(05)(06),석식,77.89kcal,2021-09-21,8902
47,열무김치,조식,12.8kcal,2021-09-21,8902
48,배추김치(7~9월),중식,9.25kcal,2021-09-21,8902
49,배추김치(7~9월),석식,9.25kcal,2021-09-21,8902
50,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-21,8902
51,과일푸딩,석식,126kcal,2021-09-21,8902
52,밥,조식,363kcal,2021-09-22,8902
53,찹쌀밥,중식,380.95kcal,2021-09-22,8902
54,밥,석식,363kcal,2021-09-22,8902
55,사골곰탕,조식,95.95kcal,2021-09-22,8902
56,감자짜글이(05)(06)(10),중식,272.13kcal,2021-09-22,8902
57,팽이버섯계란국(01)(05),석식,52.92kcal,2021-09-22,8902
58,비엔나소시지야채볶음(05)(06)(10),조식,231.88kcal,2021-09-22,8902
59,닭갈비(05)(06)(15),중식,254.95kcal,2021-09-22,8902
60,돼지고기양배추볶음(05)(06)(10),석식,297.02kcal,2021-09-22,8902
61,감자조림(05)(06),조식,87.52kcal,2021-09-22,8902
62,모듬야채(쌈장)(05)(06),중식,66.59kcal,2021-09-22,8902
63,오이무침(06),석식,30.54kcal,2021-09-22,8902
64,깍두기(완제품)(09),조식,15.2kcal,2021-09-22,8902
65,열무김치,중식,12.8kcal,2021-09-22,8902
66,배추김치(7~9월),석식,9.25kcal,2021-09-22,8902
67,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-22,8902
68,비타민음료,석식,90kcal,2021-09-22,8902
69,햄야채덮밥(05)(06)(10)(12),조식,656.17kcal,2021-09-23,8902
70,흑미밥,중식,374.25kcal,2021-09-23,8902
71,자장면(01)(05)(06)(10),석식,874.48kcal,2021-09-23,8902
72,미역된장국(05),조식,26.16kcal,2021-09-23,8902
73,순두부국(05)(09),중식,33.06kcal,2021-09-23,8902
74,탕수육(완제품용)(05)(06)(10)(12),석식,456.04kcal,2021-09-23,8902
75,맛김,조식,0kcal,2021-09-23,8902
76,오리훈제야채볶음(01)(05)(06),중식,242.43kcal,2021-09-23,8902
77,단무지무침,석식,23.9kcal,2021-09-23,8902
78,우엉쇠고기조림(05)(06)(16),조식,139.43kcal,2021-09-23,8902
79,양파간장절임(05)(06),중식,44.99kcal,2021-09-23,8902
