,메뉴이름,식사명,열량,날짜,부대
0,거봉포도,조식,47.61kcal,2021-09-25,3296
1,오이양파장아찌(05)(06),석식,29.8kcal,2021-09-25,3296
2,레몬에이드,조식,26kcal,2021-09-25,3296
3,배추김치(7~9월),석식,8.5kcal,2021-09-25,3296
4,밥,조식,363kcal,2021-09-26,3296
5,찹쌀밥,중식,384.54kcal,2021-09-26,3296
6,밥,석식,363kcal,2021-09-26,3296
7,두부김치국(05),조식,48.02kcal,2021-09-26,3296
8,건새우아욱된장국(05)(06),중식,40.5kcal,2021-09-26,3296
9,콩나물두부국(05),석식,34.29kcal,2021-09-26,3296
10,꽈리고추멸치볶음(05)(06),조식,81.96kcal,2021-09-26,3296
11,두부김치(05)(06)(10),중식,209.51kcal,2021-09-26,3296
12,쇠고기불고기(05)(06)(16),석식,154.9kcal,2021-09-26,3296
13,쇠고기감자조림(05)(06)(16),조식,101.34kcal,2021-09-26,3296
14,콩나물매운무침(05),중식,42.22kcal,2021-09-26,3296
15,배추겉절이,석식,38.16kcal,2021-09-26,3296
16,열무김치,조식,12.8kcal,2021-09-26,3296
17,열무김치,중식,12.8kcal,2021-09-26,3296
18,열무김치,석식,12.8kcal,2021-09-26,3296
19,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-26,3296
20,파인애플에이드 190ml,중식,,2021-09-26,3296
21,라면(즉석 컵)(06),석식,365kcal,2021-09-26,3296
22,밥,조식,363kcal,2021-09-27,3296
23,밀쌀밥,중식,363.83kcal,2021-09-27,3296
24,밥,석식,363kcal,2021-09-27,3296
25,감자짜글이(05)(06)(10),조식,132.75kcal,2021-09-27,3296
26,사골곰탕,중식,171.4kcal,2021-09-27,3296
27,대파국(05)(16),석식,51.53kcal,2021-09-27,3296
28,맛김,조식,0kcal,2021-09-27,3296
29,비빔만두(01)(05)(06)(10),중식,601.12kcal,2021-09-27,3296
30,양념통닭(06)(15),석식,632.93kcal,2021-09-27,3296
31,두부조림(05)(06),조식,120.43kcal,2021-09-27,3296
32,모듬야채(05)(06),중식,65.33kcal,2021-09-27,3296
33,양배추샐러드(01),석식,63.15kcal,2021-09-27,3296
34,계란말이(01),조식,60.53kcal,2021-09-27,3296
35,깍두기(완제품)(09),중식,15.2kcal,2021-09-27,3296
36,배추김치(7~9월),석식,8.5kcal,2021-09-27,3296
37,배추김치(7~9월),조식,8.5kcal,2021-09-27,3296
38,"주스,카프리썬 사과(200ml,파우치)",중식,60kcal,2021-09-27,3296
39,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-27,3296
40,밥,조식,363kcal,2021-09-28,3296
41,마파두부덮밥(05)(06)(10),중식,678.72kcal,2021-09-28,3296
42,현미밥,석식,384.78kcal,2021-09-28,3296
43,콩나물국(05),조식,24.8kcal,2021-09-28,3296
44,닭고기육개장(01)(05)(15),중식,234.64kcal,2021-09-28,3296
45,배추된장국(05)(06),석식,37.26kcal,2021-09-28,3296
46,쇠고기감자조림(05)(06)(16),조식,101.34kcal,2021-09-28,3296
47,야채튀김(06)(12),중식,368.82kcal,2021-09-28,3296
48,삼겹살고추장볶음(05)(06)(10),석식,618.99kcal,2021-09-28,3296
49,도라지오이무침(06)(17),조식,56.83kcal,2021-09-28,3296
50,갓김치,중식,11.52kcal,2021-09-28,3296
51,떡볶이(05)(06),석식,283.71kcal,2021-09-28,3296
52,열무김치,조식,12.8kcal,2021-09-28,3296
53,열무김치,석식,12.8kcal,2021-09-28,3296
54,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-28,3296
55,아이스샌드,석식,252kcal,2021-09-28,3296
56,밥,조식,363kcal,2021-09-29,3296
57,잡채볶음밥,중식,755.25kcal,2021-09-29,3296
58,찰보리밥,석식,385.12kcal,2021-09-29,3296
59,돼지고기김치찌개(06)(10),조식,129.08kcal,2021-09-29,3296
60,가지탕수(06)(12),중식,318.12kcal,2021-09-29,3296
61,짬뽕찌개(06)(17)(18),석식,102.92kcal,2021-09-29,3296
62,새송이버섯야채볶음(05)(06)(16),조식,154.65kcal,2021-09-29,3296
63,햄버거스테이크,중식,0kcal,2021-09-29,3296
64,묵은지등갈비찜(05)(06)(10),석식,365.11kcal,2021-09-29,3296
65,맛김,조식,0kcal,2021-09-29,3296
66,순무김치,중식,15.2kcal,2021-09-29,3296
67,상추겉절이(05)(06),석식,28.55kcal,2021-09-29,3296
68,계란찜(01)(09),조식,91.66kcal,2021-09-29,3296
69,배추김치(7~9월),석식,8.5kcal,2021-09-29,3296
70,배추김치(7~9월),조식,8.5kcal,2021-09-29,3296
71,유산균 발효 음료(02),조식,56kcal,2021-09-29,3296
72,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-29,3296
73,현미밥,조식,384.78kcal,2021-09-30,3296
74,밥,중식,363kcal,2021-09-30,3296
75,핫도그빵(01)(06)(10)(12),석식,854.99kcal,2021-09-30,3296
76,쇠고기육개장(01)(05)(06)(16),조식,106.57kcal,2021-09-30,3296
77,팽이버섯두부국(05)(06),중식,41.64kcal,2021-09-30,3296
78,가공우유(바나나)(02),석식,167kcal,2021-09-30,3296
79,두부김치(05)(06)(10),조식,209.51kcal,2021-09-30,3296
80,돈가스(06)(10),중식,539.8kcal,2021-09-30,3296
81,"우유(백색우유(200ML,연간))(02)",석식,122kcal,2021-09-30,3296
82,맛김,조식,0kcal,2021-09-30,3296
83,야채샐러드(01)(12),중식,95.99kcal,2021-09-30,3296
84,이온음료,석식,58.8kcal,2021-09-30,3296
85,감자조림(05)(06),조식,75.97kcal,2021-09-30,3296
86,배추김치(7~9월),중식,8.5kcal,2021-09-30,3296
87,깍두기(완제품)(09),조식,15.2kcal,2021-09-30,3296
88,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-30,3296
89,(예시데이터_업로드시삭제)TEXT,조식,,(예시데이터_업로드시삭제)YYYYMM,3296
90,(예시데이터_업로드시삭제)TEXT,중식,,(예시데이터_업로드시삭제)YYYYMM,3296
91,(예시데이터_업로드시삭제)TEXT,석식,,(예시데이터_업로드시삭제)YYYYMM,3296
92,밥,조식,363,20200401,3296
93,밥,중식,363,20200401,3296
94,현미밥,석식,388.41,20200401,3296
95,조개살미역국 (5),조식,20.28,20200401,3296
