,메뉴이름,식사명,열량,날짜,부대
0,배추김치(7~9월),조식,9.75kcal,2021-09-17,5322
1,"우유,살균형(바나나)",중식,154kcal,2021-09-17,5322
2,무초절이,석식,34.67kcal,2021-09-17,5322
3,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-17,5322
4,배추김치(7~9월),석식,9.75kcal,2021-09-17,5322
5,라면(즉석 컵)(06),조식,365kcal,2021-09-17,5322
6,핫도그빵(01)(06)(10)(12),조식,883.11kcal,2021-09-18,5322
7,밥,중식,381.15kcal,2021-09-18,5322
8,후리카케밥,석식,367.57kcal,2021-09-18,5322
9,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-18,5322
10,돼지고기수육(05)(09)(10),중식,641.95kcal,2021-09-18,5322
11,돈가스(06)(10),석식,451.63kcal,2021-09-18,5322
12,콩나물매운무침(05),중식,38.12kcal,2021-09-18,5322
13,야채샐러드(01)(05)(06)(12),석식,46.59kcal,2021-09-18,5322
14,상추쌈(05)(06),중식,51.57kcal,2021-09-18,5322
15,배추김치(7~9월),석식,9.75kcal,2021-09-18,5322
16,배추김치(7~9월),중식,9.75kcal,2021-09-18,5322
17,거봉포도,석식,47.61kcal,2021-09-18,5322
18,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-18,5322
19,밥1,조식,363kcal,2021-09-19,5322
20,잡곡밥,중식,366.81kcal,2021-09-19,5322
21,돼지고기부추덮밥(05)(06)(10),석식,973.72kcal,2021-09-19,5322
22,쇠고기미역국(05)(16),조식,35.08kcal,2021-09-19,5322
23,김치찌개(05)(06)(10),중식,129.74kcal,2021-09-19,5322
24,콩나물김치국(05),석식,18.65kcal,2021-09-19,5322
25,비엔나소시지야채볶음(05)(06)(10),조식,326.76kcal,2021-09-19,5322
26,쇠고기불고기(05)(06)(16),중식,163.72kcal,2021-09-19,5322
27,두부조림(05)(06),석식,189.23kcal,2021-09-19,5322
28,김자반,조식,21.5kcal,2021-09-19,5322
29,계란찜(01),중식,101.59kcal,2021-09-19,5322
30,열무김치,석식,12.16kcal,2021-09-19,5322
31,배추김치(7~9월),조식,9.75kcal,2021-09-19,5322
32,야채스틱앤저염쌈장(05)(06),중식,68.52kcal,2021-09-19,5322
33,감귤 주스(180㎖/병),석식,180kcal,2021-09-19,5322
34,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-19,5322
35,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-19,5322
36,밥1,조식,363kcal,2021-09-20,5322
37,흑미밥,중식,379.88kcal,2021-09-20,5322
