,메뉴이름,식사명,열량,날짜,부대
0,두부김치(05)(10),조식,202.41kcal,2021-09-20,1691
1,오리불고기(05)(06),중식,279.15kcal,2021-09-20,1691
2,궁중떡볶이(05)(06)(16),석식,264.69kcal,2021-09-20,1691
3,김자반,조식,25.8kcal,2021-09-20,1691
4,깻잎조림(05)(06),중식,25.98kcal,2021-09-20,1691
5,배추김치(7~9월),석식,8.5kcal,2021-09-20,1691
6,황태채무침,조식,94.16kcal,2021-09-20,1691
7,배추김치(7~9월),중식,8.5kcal,2021-09-20,1691
8,복숭아주스(190ml/팩),석식,,2021-09-20,1691
9,열무김치,조식,12.16kcal,2021-09-20,1691
10,사과(홍로),중식,39.36kcal,2021-09-20,1691
11,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-20,1691
12,사골떡왕만둣국(01)(05)(06)(10)(16),조식,441.49kcal,2021-09-21,1691
13,밥1,중식,363kcal,2021-09-21,1691
14,삼겹살덮밥(01)(05)(06)(10),석식,911.88kcal,2021-09-21,1691
15,오징어젓무침(17),조식,53.06kcal,2021-09-21,1691
16,배추들깨국(05),중식,45.91kcal,2021-09-21,1691
17,버섯육개장(01)(05)(06)(16),석식,104.07kcal,2021-09-21,1691
18,두부양념장(05)(06),조식,141.91kcal,2021-09-21,1691
19,사각어묵잡채(05)(06),중식,175.03kcal,2021-09-21,1691
20,맛김,석식,0kcal,2021-09-21,1691
21,깍두기(완제품)(09),조식,15.2kcal,2021-09-21,1691
22,쇠고기갈비찜,중식,793.85kcal,2021-09-21,1691
23,오이양파장아찌(05)(06),석식,22.5kcal,2021-09-21,1691
24,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-21,1691
25,배추김치(7~9월),중식,8.5kcal,2021-09-21,1691
26,배추김치(7~9월),석식,8.5kcal,2021-09-21,1691
27,유산균 발효 음료(02),석식,56kcal,2021-09-21,1691
28,간장계란밥(01)(05)(06),조식,442.19kcal,2021-09-22,1691
29,소불고기덮밥(05)(06)(16),중식,624.95kcal,2021-09-22,1691
30,밥1,석식,363kcal,2021-09-22,1691
31,참치김치찌개(05)(06),조식,60.61kcal,2021-09-22,1691
32,감자매운조림(05)(06),중식,70.93kcal,2021-09-22,1691
33,꼬리곰탕,석식,555.02kcal,2021-09-22,1691
34,돼지고기장조림(05)(06)(10),조식,268.01kcal,2021-09-22,1691
35,오이풋고추된장무침(05)(06),중식,73.56kcal,2021-09-22,1691
36,찐만두(01)(05)(06)(10),석식,307.13kcal,2021-09-22,1691
37,열무김치,조식,12.16kcal,2021-09-22,1691
38,배추김치(7~9월),중식,8.5kcal,2021-09-22,1691
39,미나리무생채,석식,40.51kcal,2021-09-22,1691
40,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-22,1691
41,이온음료,중식,58.8kcal,2021-09-22,1691
42,배추김치(7~9월),석식,8.5kcal,2021-09-22,1691
43,밥1,조식,363kcal,2021-09-23,1691
44,밥1,중식,363kcal,2021-09-23,1691
45,영양밥,석식,384.26kcal,2021-09-23,1691
46,계란국(01)(05)(06),조식,65.75kcal,2021-09-23,1691
47,호박된장찌개(05)(06),중식,60.92kcal,2021-09-23,1691
48,쇠고기육개장(01)(05)(06)(16),석식,99.99kcal,2021-09-23,1691
49,돼지고기김치볶음(10),조식,171kcal,2021-09-23,1691
50,돼지고기콩나물볶음(05)(06)(10),중식,379.74kcal,2021-09-23,1691
51,고등어순살강정(05)(06)(07)(12),석식,442.74kcal,2021-09-23,1691
52,쇠고기감자조림(05)(06)(16),조식,69.25kcal,2021-09-23,1691
53,양배추쌈(05)(06),중식,54.46kcal,2021-09-23,1691
54,닭순살감자조림(05)(06)(15),석식,186.87kcal,2021-09-23,1691
55,열무김치,조식,12.16kcal,2021-09-23,1691
56,배추김치(7~9월),중식,8.5kcal,2021-09-23,1691
57,배추김치(7~9월),석식,8.5kcal,2021-09-23,1691
58,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-23,1691
59,"주스,카프리썬 오렌지(200ml,파우치)",석식,60kcal,2021-09-23,1691
60,"생수(500ML,후식)",석식,0kcal,2021-09-23,1691
61,밥1,조식,363kcal,2021-09-24,1691
62,찹쌀밥,중식,380.95kcal,2021-09-24,1691
63,고기덮밥(01)(05)(06)(10),석식,733.21kcal,2021-09-24,1691
64,오징어국(05)(17),조식,68.23kcal,2021-09-24,1691
65,버섯쇠고기찌개(05)(06)(16),중식,71.62kcal,2021-09-24,1691
66,돼지고기김치찌개(05)(06)(10),석식,122.87kcal,2021-09-24,1691
67,비엔나소시지야채볶음(05)(06)(10)(12),조식,304.41kcal,2021-09-24,1691
68,돼지고기된장불고기(05)(06)(10),중식,390.25kcal,2021-09-24,1691
69,토마토샐러드(12),석식,19.94kcal,2021-09-24,1691
70,두부조림(05)(06),조식,90.28kcal,2021-09-24,1691
71,얼갈이배추겉절이(09),중식,30.98kcal,2021-09-24,1691
72,열무김치,석식,12.16kcal,2021-09-24,1691
73,깍두기(완제품)(09),조식,15.2kcal,2021-09-24,1691
74,배추김치(7~9월),중식,8.5kcal,2021-09-24,1691
75,"생수(500ML,후식)",석식,0kcal,2021-09-24,1691
76,사과(홍로),중식,39.36kcal,2021-09-24,1691
77,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-24,1691
78,핫도그빵(01)(06)(10)(12),조식,579.75kcal,2021-09-25,1691
79,밥1,석식,363kcal,2021-09-25,1691
80,초코씨리얼,조식,162.64kcal,2021-09-25,1691
81,사골곰탕,석식,135.71kcal,2021-09-25,1691
82,파인햄버그스테이크(12),조식,51.24kcal,2021-09-25,1691
83,오징어젓무침(17),석식,53.06kcal,2021-09-25,1691
