,메뉴이름,식사명,열량,날짜,부대
0,오이고추장무침(06),조식,32.81kcal,2021-09-16,9030
1,단무지무침,중식,11.27kcal,2021-09-16,9030
2,두부조림(05)(06),석식,84.17kcal,2021-09-16,9030
3,배추김치(7~9월),조식,9.25kcal,2021-09-16,9030
4,배추김치(7~9월),중식,9.25kcal,2021-09-16,9030
5,백김치,석식,15.12kcal,2021-09-16,9030
6,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-16,9030
7,사과(홍로),중식,69.8380224kcal,2021-09-16,9030
8,"우유(백색우유(200ML,연간))(02)",석식,122kcal,2021-09-16,9030
9,사과 주스(200㎖/팩),석식,46kcal,2021-09-16,9030
10,밥,조식,363kcal,2021-09-17,9030
11,잡곡밥,중식,355.36kcal,2021-09-17,9030
12,밥,석식,363kcal,2021-09-17,9030
13,햄김치찌개(05)(10),조식,136.31kcal,2021-09-17,9030
14,쇠고기육개장(05)(16),중식,80.55kcal,2021-09-17,9030
15,순두부김치찌개(05)(10),석식,60.32kcal,2021-09-17,9030
16,돈육호박볶음(05)(06)(09)(10),조식,188.83kcal,2021-09-17,9030
17,조미김,중식,0kcal,2021-09-17,9030
18,양념치킨(05)(06)(15),석식,977.72kcal,2021-09-17,9030
19,미나리무생채(05)(06)(09),조식,26.97kcal,2021-09-17,9030
20,중화풍삼겹살조림(05)(06)(10),중식,553.93kcal,2021-09-17,9030
21,깻잎조림(05)(06),석식,42.25kcal,2021-09-17,9030
22,배추김치(7~9월),조식,9.25kcal,2021-09-17,9030
23,양배추쌈(05)(06),중식,73.5kcal,2021-09-17,9030
24,열무김치,석식,12.8kcal,2021-09-17,9030
25,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-17,9030
26,배추김치(7~9월),중식,9.25kcal,2021-09-17,9030
27,"주스,청포도(190ml/팩)",석식,84.51kcal,2021-09-17,9030
28,아이스크림 샌드위치(02),중식,252kcal,2021-09-17,9030
29,라면(즉석 컵)(06),중식,365kcal,2021-09-18,9030
30,밥,조식,363kcal,2021-09-19,9030
31,찰보리밥,중식,360.65kcal,2021-09-19,9030
32,밥,석식,363kcal,2021-09-19,9030
33,호박된장찌개(05),조식,69.88kcal,2021-09-19,9030
34,새우짬뽕찌개(05)(09)(17),중식,54.42kcal,2021-09-19,9030
35,쇠고기호박찌개(05)(06)(09)(16),석식,73.39kcal,2021-09-19,9030
36,멸치고추장볶음(06),조식,111.86kcal,2021-09-19,9030
37,감자풋고추볶음(05)(06),중식,103.2kcal,2021-09-19,9030
38,닭갈비(05)(06)(15),석식,186.31kcal,2021-09-19,9030
39,비엔나소시지야채볶음(05)(06)(10),조식,292.86kcal,2021-09-19,9030
40,고등어순살조림(05)(06)(07),중식,148.49kcal,2021-09-19,9030
41,오이양파무침(05)(06),석식,33.84kcal,2021-09-19,9030
42,깍두기(완제품)(09),조식,15.2kcal,2021-09-19,9030
43,배추김치(7~9월),중식,9.25kcal,2021-09-19,9030
44,배추김치(7~9월),석식,9.25kcal,2021-09-19,9030
45,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-19,9030
46,"주스,청포도(190ml/팩)",중식,84.51kcal,2021-09-19,9030
47,대추방울토마토(비생산기)(12),석식,12.75kcal,2021-09-19,9030
48,돈육김치덮밥(10),조식,556.68kcal,2021-09-20,9030
49,밥,중식,363kcal,2021-09-20,9030
50,잡곡밥,석식,355.36kcal,2021-09-20,9030
51,쇠고기무국(05)(16),조식,91.11kcal,2021-09-20,9030
52,닭볶음탕(15),중식,258.79kcal,2021-09-20,9030
53,두부고추장찌개(05)(06)(16),석식,104.01kcal,2021-09-20,9030
54,오징어채간장볶음(01)(05)(06)(17),조식,91.21kcal,2021-09-20,9030
55,조미김,중식,0kcal,2021-09-20,9030
56,고추잡채(05)(06)(10),석식,197.84kcal,2021-09-20,9030
57,배추김치(7~9월),조식,9.25kcal,2021-09-20,9030
58,양파간장절임(05)(06),중식,66.15kcal,2021-09-20,9030
59,콩나물무침(05)(06),석식,32.16kcal,2021-09-20,9030
60,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-20,9030
61,브로콜리/초고추장(06),중식,56.13kcal,2021-09-20,9030
62,배추김치(7~9월),석식,9.25kcal,2021-09-20,9030
63,열무김치,중식,12.8kcal,2021-09-20,9030
64,사과(홍로),석식,69.8380224kcal,2021-09-20,9030
65,농후 발효유(02),중식,96kcal,2021-09-20,9030
66,밥2,조식,181.5kcal,2021-09-21,9030
67,밥,중식,363kcal,2021-09-21,9030
68,찰보리비빔밥(05),석식,450.05kcal,2021-09-21,9030
69,떡만둣국(01)(05)(06)(10)(16),조식,485.45kcal,2021-09-21,9030
70,생선묵국(05)(06),중식,63.13kcal,2021-09-21,9030
71,두부김치국(05),석식,51.22kcal,2021-09-21,9030
72,닭감자찜(05)(06)(15),조식,186.72kcal,2021-09-21,9030
73,돈육야채볶음(05)(06)(10),중식,346.51kcal,2021-09-21,9030
74,쇠고기볶음고추장(06)(16),석식,109.48kcal,2021-09-21,9030
75,배추김치(7~9월),조식,9.25kcal,2021-09-21,9030
