,메뉴이름,식사명,열량,날짜,부대
0,열무된장국(05)(06),조식,55.26kcal,2021-09-26,7369
1,쇠고기무국(05)(16),중식,75.42kcal,2021-09-26,7369
2,콩나물닭볶음(05)(06)(15),석식,335.62kcal,2021-09-26,7369
3,돼지고기부추볶음(05)(06)(10),조식,298.31kcal,2021-09-26,7369
4,오징어채볶음(01)(06)(17),중식,115.6kcal,2021-09-26,7369
5,상추겉절이(05)(06),석식,27.22kcal,2021-09-26,7369
6,마파두부(05)(06)(10),조식,165.72kcal,2021-09-26,7369
7,백김치,중식,15.12kcal,2021-09-26,7369
8,가공우유(바나나)(02),석식,167kcal,2021-09-26,7369
9,배추김치(7~9월),조식,11.25kcal,2021-09-26,7369
10,배추김치(7~9월),석식,11.25kcal,2021-09-26,7369
11,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-26,7369
12,가공우유(바나나)(02),석식,167kcal,2021-09-26,7369
13,감귤 주스(180㎖/병),석식,180kcal,2021-09-26,7369
14,간장계란밥(01)(05)(06)(15),조식,574.4kcal,2021-09-27,7369
15,밥1,중식,363kcal,2021-09-27,7369
16,검은콩밥,석식,383.65kcal,2021-09-27,7369
17,김치국(05),조식,28.59kcal,2021-09-27,7369
18,육개장(05)(06),중식,69.23kcal,2021-09-27,7369
19,무국(05),석식,21.94kcal,2021-09-27,7369
20,부추된장무침(05)(06),조식,32kcal,2021-09-27,7369
21,고구마맛탕(05)(06),중식,501.96kcal,2021-09-27,7369
22,닭갈비(05)(06)(15),석식,228.85kcal,2021-09-27,7369
23,오이양파장아찌(05)(06),조식,20.99kcal,2021-09-27,7369
24,햄버거스테이크,중식,55.25kcal,2021-09-27,7369
25,생선묵조림(05)(06),석식,139.46kcal,2021-09-27,7369
26,열무김치,중식,12.8kcal,2021-09-27,7369
27,배추김치(7~9월),석식,11.25kcal,2021-09-27,7369
28,"김치왕뚜껑,110g,용기라면(다수공급자계약,영내자증식,팔도)",석식,431.81kcal,2021-09-27,7369
29,돼지고기김치볶음밥(05)(06)(10),조식,679.56kcal,2021-09-28,7369
30,쫄면(01)(05)(06),중식,805.55kcal,2021-09-28,7369
31,하와이안볶음밥(05)(06)(09),석식,421.98kcal,2021-09-28,7369
32,두부김치(05)(10),조식,236.27kcal,2021-09-28,7369
33,돈가스(06)(10),중식,589.76kcal,2021-09-28,7369
34,닭고기미역국(05)(15),석식,71.91kcal,2021-09-28,7369
35,스크램블에그(01)(12),조식,128.24kcal,2021-09-28,7369
36,감자샐러드(01),중식,116.19kcal,2021-09-28,7369
37,비엔나소시지케찹볶음(10)(12),석식,333.1kcal,2021-09-28,7369
38,배추김치(7~9월),조식,11.25kcal,2021-09-28,7369
39,배추김치(7~9월),중식,11.25kcal,2021-09-28,7369
40,깻잎조림(05)(06),석식,43.57kcal,2021-09-28,7369
41,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-28,7369
42,식혜,중식,82kcal,2021-09-28,7369
43,밥1,조식,363kcal,2021-09-29,7369
44,밥1,중식,363kcal,2021-09-29,7369
45,잡곡밥,석식,387.79kcal,2021-09-29,7369
46,감자짜글이(05)(06)(10),조식,140.89kcal,2021-09-29,7369
47,닭볶음탕(05)(06)(15),중식,259.25kcal,2021-09-29,7369
48,콩나물국(05),석식,18.07kcal,2021-09-29,7369
49,쭈꾸미볶음(05)(06),조식,154.31kcal,2021-09-29,7369
50,궁중떡볶이(05)(06)(16),중식,378.65kcal,2021-09-29,7369
51,들깨순볶음(05),석식,25.06kcal,2021-09-29,7369
52,애호박나물(05),조식,130.58kcal,2021-09-29,7369
53,참돔간장조림(05)(06),중식,297.02kcal,2021-09-29,7369
54,돈육표고장조림(05)(06)(10),석식,264.22kcal,2021-09-29,7369
55,배추김치(7~9월),조식,11.25kcal,2021-09-29,7369
56,갓김치,중식,16kcal,2021-09-29,7369
57,배추김치(7~9월),석식,11.25kcal,2021-09-29,7369
58,이온음료,중식,58.8kcal,2021-09-29,7369
59,"우유(백색우유(200ML,연간))(02)",석식,122kcal,2021-09-29,7369
60,밥1,조식,363kcal,2021-09-30,7369
61,밥1,중식,363kcal,2021-09-30,7369
62,밥1,석식,363kcal,2021-09-30,7369
63,패주콩나물국(05)(06)(09),조식,75.22kcal,2021-09-30,7369
64,된장찌개(05)(06)(18),중식,80.76kcal,2021-09-30,7369
65,해물짬뽕찌개(05)(06)(09)(17),석식,126.09kcal,2021-09-30,7369
66,쇠고기당면찌개(05)(09)(16),조식,134.16kcal,2021-09-30,7369
67,삼겹살구이(10),중식,1088.57kcal,2021-09-30,7369
68,탕수육(05)(06)(10)(12),석식,529.87kcal,2021-09-30,7369
69,두부조림(05)(06),조식,143.75kcal,2021-09-30,7369
70,모듬쌈(05)(06),중식,36.53kcal,2021-09-30,7369
71,꽈리고추양념무침(05)(06),석식,22.34kcal,2021-09-30,7369
72,오이양파장아찌(05)(06),조식,20.99kcal,2021-09-30,7369
73,갓김치,중식,16kcal,2021-09-30,7369
74,열무김치,석식,12.8kcal,2021-09-30,7369
75,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-30,7369
76,바나나,중식,76.8kcal,2021-09-30,7369
77,"우유(백색우유(200ML,연간))(02)",조식,244kcal,2021-09-11,7369
78,12방침(증식)(05)(06),중식,96.71kcal,2021-09-11,7369
79,오징어젓무침(17),석식,24.76kcal,2021-09-11,7369
80,컵과일(사과),조식,49kcal,2021-09-11,7369
81,배추김치(7~9월),중식,11.25kcal,2021-09-11,7369
82,깍두기(완제품)(09),석식,15.2kcal,2021-09-11,7369
83,바나나,조식,76.8kcal,2021-09-11,7369
84,떠먹는토핑형발효휴(02),조식,130.56kcal,2021-09-11,7369
85,밥1,조식,363kcal,2021-09-12,7369
86,콩나물국(05),중식,18.07kcal,2021-09-12,7369
87,밥1,석식,363kcal,2021-09-12,7369
88,어묵탕(05)(06),조식,73.31kcal,2021-09-12,7369
89,굴패주해산물야채볶음(05)(06)(09)(10),중식,717.59kcal,2021-09-12,7369
90,버섯된장찌개(05)(06)(16),석식,83.69kcal,2021-09-12,7369
91,닭고기매운조림(05)(06)(15),조식,246.94kcal,2021-09-12,7369
92,오이풋고추된장무침(05)(06),중식,41.42kcal,2021-09-12,7369
93,돼지불고기(05)(06)(10),석식,356.26kcal,2021-09-12,7369
94,두부조림(05)(06),조식,143.75kcal,2021-09-12,7369
95,배추김치(7~9월),중식,11.25kcal,2021-09-12,7369
96,삼치순살조림(05)(06),석식,91.61kcal,2021-09-12,7369
97,배추김치(7~9월),조식,11.25kcal,2021-09-12,7369
98,감귤 주스(180㎖/병),중식,180kcal,2021-09-12,7369
99,가공우유(딸기)(02),석식,116kcal,2021-09-12,7369
100,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-12,7369
101,열무김치,석식,12.8kcal,2021-09-12,7369
102,가공우유(딸기)(02),석식,116kcal,2021-09-12,7369
103,밥1,조식,363kcal,2021-09-13,7369
104,밥1,중식,363kcal,2021-09-13,7369
105,삼겹살덮밥(10),석식,282.23kcal,2021-09-13,7369
106,미역국(05),조식,9.04kcal,2021-09-13,7369
107,참치김치찌개(05),중식,178.57kcal,2021-09-13,7369
108,된장찌개(05)(06)(18),석식,80.76kcal,2021-09-13,7369
109,햄슬라이스야채볶음(05)(06)(10),조식,144.16kcal,2021-09-13,7369
110,치킨너겟(01)(05)(06)(15),중식,686.1kcal,2021-09-13,7369
111,갑오징어야채볶음(06)(17),석식,110.52kcal,2021-09-13,7369
112,계란말이(01),조식,60.53kcal,2021-09-13,7369
113,감자조림(05)(06),중식,58.27kcal,2021-09-13,7369
114,백김치,석식,15.12kcal,2021-09-13,7369
115,배추김치(7~9월),조식,11.25kcal,2021-09-13,7369
116,오이부추무침(06),중식,25.23kcal,2021-09-13,7369
117,감귤 주스(180㎖/병),석식,180kcal,2021-09-13,7369
118,"우유(백색우유(200ML,연간))(02)",석식,122kcal,2021-09-13,7369
119,닭고기덮밥(05)(06)(15),조식,548.35kcal,2021-09-14,7369
120,해물야채볶음밥,중식,450.16kcal,2021-09-14,7369
121,잡곡밥,석식,387.79kcal,2021-09-14,7369
122,팽이버섯계란국(01)(05),조식,63.15kcal,2021-09-14,7369
123,쇠고기버섯전골(05)(16),중식,131.18kcal,2021-09-14,7369
124,육개장(05)(06),석식,69.23kcal,2021-09-14,7369
125,멸치고추장볶음(05)(06),조식,132.73kcal,2021-09-14,7369
126,생선가스(01)(06),중식,633.11kcal,2021-09-14,7369
127,콩나물볶음(05),석식,58.77kcal,2021-09-14,7369
128,열무김치,조식,12.8kcal,2021-09-14,7369
129,깍두기(완제품)(09),중식,15.2kcal,2021-09-14,7369
130,돼지갈비찜(05)(06)(10),석식,453.26kcal,2021-09-14,7369
131,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-14,7369
132,깍두기(완제품)(09),석식,15.2kcal,2021-09-14,7369
133,아이스크림 샌드위치(02),석식,252kcal,2021-09-14,7369
134,밥1,조식,363kcal,2021-09-15,7369
135,검은콩밥,중식,383.65kcal,2021-09-15,7369
136,새우볶음밥(01)(05)(06)(09)(17),석식,506.64kcal,2021-09-15,7369
137,햄소시지찌개(05)(06)(10),조식,112.33kcal,2021-09-15,7369
138,꽃게탕(05)(06)(08),중식,75.69kcal,2021-09-15,7369
139,감자짜글이(05)(06)(10),석식,140.89kcal,2021-09-15,7369
140,돈육굴소스양배추볶음(10),조식,268.99kcal,2021-09-15,7369
141,미나리맛살튀김(01)(06),중식,358.36kcal,2021-09-15,7369
142,깻잎조림(05)(06),석식,43.57kcal,2021-09-15,7369
143,두부조림(05)(06),조식,143.75kcal,2021-09-15,7369
144,닭고기단호박조림(05)(06)(15),중식,350.67kcal,2021-09-15,7369
