,메뉴이름,식사명,열량,날짜,부대
0,쇠고기부추무침(05)(06)(16),조식,223.99kcal,2021-09-17,8623
1,고등어순살조림(05)(06)(07),중식,142.9kcal,2021-09-17,8623
2,방울토마토샐러드(01)(12),석식,70.85kcal,2021-09-17,8623
3,배추김치(7~9월),조식,10kcal,2021-09-17,8623
4,갓김치,중식,11.52kcal,2021-09-17,8623
5,깍두기(완제품)(09),석식,15.2kcal,2021-09-17,8623
6,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-17,8623
7,감귤 주스(180㎖/병),중식,180kcal,2021-09-17,8623
8,밥,조식,363kcal,2021-09-19,8623
9,찰보리밥,중식,378.8kcal,2021-09-19,8623
10,밥,석식,363kcal,2021-09-19,8623
11,쇠고기미역국(05)(16),조식,24.33kcal,2021-09-19,8623
12,순두부국(01)(05)(16),중식,73.54kcal,2021-09-19,8623
13,감자호박국(05),석식,39.57kcal,2021-09-19,8623
14,비엔나소시지야채볶음(05)(06)(10)(12),조식,282.58kcal,2021-09-19,8623
15,중화풍삼겹살조림(05)(06)(10),중식,487.79kcal,2021-09-19,8623
16,생선묵볶음(05)(06),석식,166.95kcal,2021-09-19,8623
17,깻잎양념무침(05)(06),조식,38.64kcal,2021-09-19,8623
18,양배추쌈(05)(06),중식,67.69kcal,2021-09-19,8623
19,닭고기야채조림(05)(06)(15),석식,241.58kcal,2021-09-19,8623
20,배추김치(7~9월),조식,10kcal,2021-09-19,8623
21,열무김치,중식,12.8kcal,2021-09-19,8623
22,깍두기(완제품)(09),석식,15.2kcal,2021-09-19,8623
23,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-19,8623
24,"아이스크림, 떠먹는형",중식,180kcal,2021-09-19,8623
25,밥,조식,363kcal,2021-09-20,8623
26,밥,중식,363kcal,2021-09-20,8623
27,잡곡밥,석식,380.61kcal,2021-09-20,8623
28,쇠고기버섯들깨국(05)(16),조식,58.28kcal,2021-09-20,8623
29,돼지고기육개장(01)(05)(10),중식,115.05kcal,2021-09-20,8623
30,계란조갯살찌개(01)(05)(18),석식,87.07kcal,2021-09-20,8623
31,감자풋고추볶음(05)(06),조식,103.2kcal,2021-09-20,8623
32,오징어볶음(05)(06)(17),중식,205.66kcal,2021-09-20,8623
33,오리고추장주물럭(05)(06),석식,302.93kcal,2021-09-20,8623
34,꽈리고추멸치조림(05)(06),조식,98.66kcal,2021-09-20,8623
35,조미김,중식,0kcal,2021-09-20,8623
36,오이풋고추된장무침(05),석식,47.22kcal,2021-09-20,8623
37,배추김치(7~9월),조식,10kcal,2021-09-20,8623
38,두부간장조림(05)(06),중식,124.53kcal,2021-09-20,8623
39,배추김치(7~9월),석식,10kcal,2021-09-20,8623
40,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-20,8623
41,백김치,중식,15.12kcal,2021-09-20,8623
42,라면(즉석 컵)(06),중식,365kcal,2021-09-20,8623
43,거봉포도,중식,47.61kcal,2021-09-20,8623
44,떡만둣국(01)(05)(06)(10)(16),조식,498.2kcal,2021-09-21,8623
45,밥,중식,363kcal,2021-09-21,8623
46,현미밥,석식,384.78kcal,2021-09-21,8623
47,애호박나물(전)(09),조식,43.82kcal,2021-09-21,8623
48,생선묵찌개(05)(06),중식,96.62kcal,2021-09-21,8623
49,버섯감자국(05)(16),석식,55.74kcal,2021-09-21,8623
50,배추김치(7~9월),조식,10kcal,2021-09-21,8623
51,조미김,중식,0kcal,2021-09-21,8623
52,돈육굴소스양배추볶음(10),석식,242.75kcal,2021-09-21,8623
53,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-21,8623
54,소양념갈비찜,중식,745.39kcal,2021-09-21,8623
55,잡채(05)(06)(16),석식,164.65kcal,2021-09-21,8623
56,오이고추장무침(06),중식,42.74kcal,2021-09-21,8623
