,메뉴이름,식사명,열량,날짜,부대
0,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-29,6176
1,밥,조식,363kcal,2021-09-30,6176
2,잡곡밥,중식,379.52kcal,2021-09-30,6176
3,핫도그빵(01)(06)(10)(12),석식,633.77kcal,2021-09-30,6176
4,콩나물국(05),조식,15.24kcal,2021-09-30,6176
5,돼지불고기(05)(06)(10),중식,304.68kcal,2021-09-30,6176
6,가공우유(바나나)(02),석식,167kcal,2021-09-30,6176
7,감자채볶음,조식,74.51kcal,2021-09-30,6176
8,파겉절이(05)(06),중식,28.43kcal,2021-09-30,6176
9,콘푸로스트,석식,103.55kcal,2021-09-30,6176
10,호박쇠고기볶음(05)(06)(16),조식,83.53kcal,2021-09-30,6176
11,무생채,중식,22.49kcal,2021-09-30,6176
12,사인머스켓,석식,67.5kcal,2021-09-30,6176
13,맛김,조식,0kcal,2021-09-30,6176
14,모듬쌈(05)(06),중식,67.77kcal,2021-09-30,6176
15,"우유(백색우유(200ML,연간))(02)",석식,122kcal,2021-09-30,6176
16,열무김치,조식,12.8kcal,2021-09-30,6176
17,갓김치,중식,11.52kcal,2021-09-30,6176
18,"생수(500ML,후식)",중식,0kcal,2021-09-30,6176
19,가공우유(초코맛)(02),조식,126kcal,2021-09-18,6176
20,콩나물국(05),중식,15.24kcal,2021-09-18,6176
21,명태매운탕(05)(06)(18),석식,102.48kcal,2021-09-18,6176
22,콘푸로스트,조식,103.55kcal,2021-09-18,6176
23,닭갈비(05)(06)(15),중식,219.4kcal,2021-09-18,6176
24,오삼불고기(05)(06)(10)(17),석식,358.21kcal,2021-09-18,6176
25,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-18,6176
26,깻잎조림(05)(06),중식,20.94kcal,2021-09-18,6176
27,애호박나물(09),석식,45.9kcal,2021-09-18,6176
28,감자조림(05)(06),중식,50.75kcal,2021-09-18,6176
29,배추김치(7~9월),석식,6.5kcal,2021-09-18,6176
30,열무김치,중식,12.8kcal,2021-09-18,6176
31,라면(즉석 컵)(06),중식,365kcal,2021-09-18,6176
32,거봉포도,중식,47.61kcal,2021-09-18,6176
33,밥,조식,363kcal,2021-09-19,6176
34,밥,중식,363kcal,2021-09-19,6176
35,잡곡밥,석식,379.52kcal,2021-09-19,6176
36,무국(05)(16),조식,43.85kcal,2021-09-19,6176
37,오징어국(05)(17),중식,53.31kcal,2021-09-19,6176
38,감자양파찌개(05)(06),석식,65.46kcal,2021-09-19,6176
39,소시지야채볶음(05)(06)(10)(12),조식,214.81kcal,2021-09-19,6176
40,돼지불고기(05)(06)(10),중식,304.68kcal,2021-09-19,6176
41,콩나물닭볶음(05)(06)(15),석식,195.07kcal,2021-09-19,6176
42,콩나물무침(05)(06),조식,24.77kcal,2021-09-19,6176
43,맛김,중식,0kcal,2021-09-19,6176
44,두부조림(05)(06),석식,93.57kcal,2021-09-19,6176
45,배추김치(7~9월),조식,6.5kcal,2021-09-19,6176
46,오이부추무침(05)(06),중식,24.61kcal,2021-09-19,6176
47,열무김치,석식,12.8kcal,2021-09-19,6176
48,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-19,6176
49,배추김치(7~9월),중식,6.5kcal,2021-09-19,6176
50,"주스,자연은샤인머스캣,340mL",석식,,2021-09-19,6176
51,밥,조식,363kcal,2021-09-20,6176
52,잡채볶음밥,중식,755.25kcal,2021-09-20,6176
53,밥,석식,363kcal,2021-09-20,6176
54,패주미역국(05)(18),조식,38.83kcal,2021-09-20,6176
55,쇠고기육개장(01)(05)(16),중식,79.32kcal,2021-09-20,6176
56,닭곰탕(15),석식,136.32kcal,2021-09-20,6176
57,돈육굴소스양배추볶음(10),조식,272.06kcal,2021-09-20,6176
58,무생채,중식,22.49kcal,2021-09-20,6176
59,아귀순살해물찜(05)(06)(09)(17)(18),석식,119.85kcal,2021-09-20,6176
60,계란찜(01)(09),조식,79.37kcal,2021-09-20,6176
61,단호박샐러드(01),중식,90.56kcal,2021-09-20,6176
62,우엉채조림(05)(06),석식,78.23kcal,2021-09-20,6176
63,배추김치(7~9월),조식,6.5kcal,2021-09-20,6176
64,열무김치,중식,12.8kcal,2021-09-20,6176
65,배추김치(7~9월),석식,6.5kcal,2021-09-20,6176
66,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-20,6176
67,이온음료,중식,58.8kcal,2021-09-20,6176
68,떡만둣국(01)(05)(06)(10),조식,499.42kcal,2021-09-21,6176
69,잡곡밥,중식,379.52kcal,2021-09-21,6176
70,밥,석식,363kcal,2021-09-21,6176
71,감자채볶음,조식,74.51kcal,2021-09-21,6176
72,김치찌개(05)(10),중식,86.69kcal,2021-09-21,6176
73,버섯쇠고기찌개(05)(16),석식,54.42kcal,2021-09-21,6176
74,오징어젓무침(17),조식,36.55kcal,2021-09-21,6176
75,한우불고기(05)(06)(16),중식,242.28kcal,2021-09-21,6176
76,맛김,석식,0kcal,2021-09-21,6176
77,배추김치(7~9월),조식,6.5kcal,2021-09-21,6176
78,문어야채초고추장무침(06),중식,107.28kcal,2021-09-21,6176
79,닭매운찜(콩나물)(05)(06)(15),석식,208.61kcal,2021-09-21,6176
80,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-21,6176
81,열무김치,중식,12.8kcal,2021-09-21,6176
82,오이양파장아찌(05)(06),석식,28.06kcal,2021-09-21,6176
83,사과(홍로),중식,59.04kcal,2021-09-21,6176
84,배추김치(7~9월),석식,6.5kcal,2021-09-21,6176
85,밥,조식,363kcal,2021-09-22,6176
86,밥,중식,363kcal,2021-09-22,6176
87,밥,석식,363kcal,2021-09-22,6176
88,감자국(05),조식,30.83kcal,2021-09-22,6176
89,콩나물무채국(05),중식,18.62kcal,2021-09-22,6176
90,배추된장국(05)(06),석식,29.19kcal,2021-09-22,6176
91,마파두부(05)(06)(12),조식,186.25kcal,2021-09-22,6176
92,청양풍닭볶음(05)(06)(15),중식,162.23kcal,2021-09-22,6176
93,돼지고기고추장볶음(05)(06)(10),석식,343.97kcal,2021-09-22,6176
94,낙지야채볶음(05)(06),조식,125.69kcal,2021-09-22,6176
95,애호박나물(09),중식,45.9kcal,2021-09-22,6176
96,깻잎조림(05)(06),석식,20.94kcal,2021-09-22,6176
97,김자반,조식,43kcal,2021-09-22,6176
98,오이무침(05)(06),중식,21.62kcal,2021-09-22,6176
99,무생채,석식,22.49kcal,2021-09-22,6176
100,열무김치,조식,12.8kcal,2021-09-22,6176
101,배추김치(7~9월),중식,6.5kcal,2021-09-22,6176
102,열무김치,석식,12.8kcal,2021-09-22,6176
103,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-22,6176
104,에너지바,석식,188kcal,2021-09-22,6176
105,찹쌀밥,조식,419kcal,2021-09-23,6176
106,햄야채볶음밥(09)(10),중식,538.15kcal,2021-09-23,6176
107,마파가지덮밥(05)(06),석식,476.39kcal,2021-09-23,6176
108,사골곰탕,조식,169.47kcal,2021-09-23,6176
109,짬뽕찌개(05)(06)(10)(17),중식,70.06kcal,2021-09-23,6176
110,생선묵찌개(05)(06),석식,82.19kcal,2021-09-23,6176
111,계란말이(01),조식,60.53kcal,2021-09-23,6176
112,볶음김치,중식,69.19kcal,2021-09-23,6176
113,데리야끼갈릭치킨(01)(05)(06)(15),석식,485.77kcal,2021-09-23,6176
114,갑오징어숙회(06)(17),조식,92.59kcal,2021-09-23,6176
115,탕수육(05)(06)(10)(12),중식,501.55kcal,2021-09-23,6176
116,무초절이,석식,23.24kcal,2021-09-23,6176
117,배추김치(7~9월),조식,6.5kcal,2021-09-23,6176
118,꽈리고추찜(05)(06),중식,13.79kcal,2021-09-23,6176
119,배추김치(7~9월),석식,6.5kcal,2021-09-23,6176
120,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-23,6176
121,감귤 주스(340㎖/ 페트),석식,44kcal,2021-09-23,6176
122,밥,조식,363kcal,2021-09-24,6176
123,밥,중식,363kcal,2021-09-24,6176
124,잡곡밥,석식,379.52kcal,2021-09-24,6176
125,감자양파찌개(05)(06),조식,65.46kcal,2021-09-24,6176
126,소시지찌개(05)(10),중식,195.34kcal,2021-09-24,6176
127,오리불고기(05)(06),석식,274.94kcal,2021-09-24,6176
128,돼지고기김치볶음(10),조식,221.4kcal,2021-09-24,6176
129,쇠고기갈비찜(05)(06),중식,746.56kcal,2021-09-24,6176
130,모듬쌈(05)(06),석식,67.77kcal,2021-09-24,6176
131,콩나물무침(05)(06),조식,24.77kcal,2021-09-24,6176
132,감자조림(05)(06),중식,50.75kcal,2021-09-24,6176
133,파겉절이(05)(06),석식,28.43kcal,2021-09-24,6176
134,열무김치,조식,12.8kcal,2021-09-24,6176
135,무생채,중식,22.49kcal,2021-09-24,6176
136,풋고추된장무침(05)(06),석식,43.8kcal,2021-09-24,6176
137,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-24,6176
138,열무김치,중식,12.8kcal,2021-09-24,6176
139,배추김치(7~9월),석식,6.5kcal,2021-09-24,6176
140,사과(홍로),중식,59.04kcal,2021-09-24,6176
141,"생수(500ML,후식)",석식,0kcal,2021-09-24,6176
142,"우유(백색우유(200ML,연간))(02)",석식,122kcal,2021-09-24,6176
143,햄치즈버거(01)(02)(06)(10)(12),조식,1116.27kcal,2021-09-25,6176
144,찰보리비빔밥(01)(05)(06),중식,615.37kcal,2021-09-25,6176
145,밥,석식,363kcal,2021-09-25,6176
146,콘푸로스트,조식,103.55kcal,2021-09-25,6176
147,황태채국(01)(05),중식,28.55kcal,2021-09-25,6176
148,무국(05)(16),석식,43.85kcal,2021-09-25,6176
149,가공우유(딸기)(02),조식,116kcal,2021-09-25,6176
150,가지굴소스볶음(05)(06),중식,49.85kcal,2021-09-25,6176
151,감자채볶음,석식,74.51kcal,2021-09-25,6176
152,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-25,6176
153,맛김,중식,0kcal,2021-09-25,6176
154,맛김,석식,0kcal,2021-09-25,6176
155,무나물(05)(06),중식,42.75kcal,2021-09-25,6176
156,닭고기단호박조림(05)(06)(15),석식,194.83kcal,2021-09-25,6176
157,열무김치,중식,12.8kcal,2021-09-25,6176
158,배추김치(7~9월),석식,6.5kcal,2021-09-25,6176
159,사인머스켓,중식,67.5kcal,2021-09-25,6176
160,건빵(참깨맛),중식,249kcal,2021-09-25,6176
161,밥,조식,363kcal,2021-09-26,6176
162,잡곡밥,중식,379.52kcal,2021-09-26,6176
163,밥,석식,363kcal,2021-09-26,6176
164,콩나물김치국(05),조식,27.79kcal,2021-09-26,6176
165,닭볶음탕(05)(06)(15),중식,172.26kcal,2021-09-26,6176
166,두부된장찌개(05)(06),석식,59.66kcal,2021-09-26,6176
167,쇠고기버섯볶음(05)(06)(16),조식,171.44kcal,2021-09-26,6176
168,잡채(05)(06)(10),중식,175.23kcal,2021-09-26,6176
169,오삼불고기(05)(06)(10)(17),석식,358.21kcal,2021-09-26,6176
170,오징어채무침(01)(06)(17),조식,81.86kcal,2021-09-26,6176
171,고등어순살조림(05)(06)(07),중식,135.68kcal,2021-09-26,6176
172,애호박나물(09),석식,45.9kcal,2021-09-26,6176
173,열무김치,조식,12.8kcal,2021-09-26,6176
174,배추김치(7~9월),중식,6.5kcal,2021-09-26,6176
175,오이무침(05)(06),석식,21.62kcal,2021-09-26,6176
176,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-26,6176
177,열무김치,석식,12.8kcal,2021-09-26,6176
178,과일푸딩,석식,126kcal,2021-09-26,6176
179,밥,조식,363kcal,2021-09-27,6176
180,밥,중식,363kcal,2021-09-27,6176
181,치킨마요덮밥(01)(06)(15),석식,1066.72kcal,2021-09-27,6176
182,쇠고기미역국(05)(16),조식,35.94kcal,2021-09-27,6176
183,꼬리곰탕,중식,558.97kcal,2021-09-27,6176
184,감자계란국(01)(05),석식,61.43kcal,2021-09-27,6176
185,생선묵맛살조림(05)(06),조식,75.87kcal,2021-09-27,6176
186,감자조림(05)(06),중식,50.75kcal,2021-09-27,6176
187,무초절이,석식,23.24kcal,2021-09-27,6176
188,스크램블에그(01)(12),조식,153.21kcal,2021-09-27,6176
189,갑오징어야채무침(05)(06)(17),중식,121.59kcal,2021-09-27,6176
190,멕시칸샐러드(01)(10),석식,147.1kcal,2021-09-27,6176
191,배추김치(7~9월),조식,6.5kcal,2021-09-27,6176
192,배추김치(7~9월),중식,6.5kcal,2021-09-27,6176
193,열무김치,석식,12.8kcal,2021-09-27,6176
194,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-27,6176
195,"주스,카프리썬 사과(200ml,파우치)",석식,60kcal,2021-09-27,6176
196,밥,조식,363kcal,2021-09-28,6176
197,밥,중식,363kcal,2021-09-28,6176
198,자장면(01)(05)(06)(10),석식,840.83kcal,2021-09-28,6176
199,생선묵국(05)(06),조식,61.97kcal,2021-09-28,6176
200,김치찌개(05)(10),중식,86.69kcal,2021-09-28,6176
201,만두튀김(01)(05)(06)(10),석식,588.94kcal,2021-09-28,6176
202,버섯야채볶음(05)(06),조식,49.39kcal,2021-09-28,6176
203,떡볶이(01)(05)(06),중식,350.44kcal,2021-09-28,6176
204,단무지무침,석식,17.78kcal,2021-09-28,6176
205,비엔나소시지케찹조림(05)(06)(10)(12),조식,282.91kcal,2021-09-28,6176
206,돈가스(06)(10),중식,589.76kcal,2021-09-28,6176
207,배추김치(7~9월),석식,6.5kcal,2021-09-28,6176
208,배추김치(7~9월),조식,6.5kcal,2021-09-28,6176
209,갓김치,중식,11.52kcal,2021-09-28,6176
210,맛있는 두유GT 달콤한맛,석식,,2021-09-28,6176
211,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-28,6176
212,망고 주스(180㎖/캔),중식,26kcal,2021-09-28,6176
213,밥,조식,363kcal,2021-09-29,6176
214,밥,중식,363kcal,2021-09-29,6176
215,밥,석식,363kcal,2021-09-29,6176
216,팽이버섯계란국(01)(05),조식,68.26kcal,2021-09-29,6176
217,호박고추장찌개(05)(06)(09)(10),중식,98.55kcal,2021-09-29,6176
218,쇠고기육개장(01)(05)(16),석식,79.32kcal,2021-09-29,6176
219,돼지고기김치볶음(10),조식,221.4kcal,2021-09-29,6176
220,햄버그스테이크,중식,55.25kcal,2021-09-29,6176
221,오징어채볶음(05)(06)(17),석식,77.95kcal,2021-09-29,6176
222,황태채무침,조식,88.02kcal,2021-09-29,6176
223,콩나물무침(05)(06),중식,24.77kcal,2021-09-29,6176
224,닭간장소스찜(05)(06)(15),석식,226.37kcal,2021-09-29,6176
225,열무김치,조식,12.8kcal,2021-09-29,6176
226,감자샐러드(01),중식,94.59kcal,2021-09-29,6176
227,오이무침(05)(06),석식,21.62kcal,2021-09-29,6176
228,유산균 발효 음료(02),조식,56kcal,2021-09-29,6176
229,배추김치(7~9월),중식,6.5kcal,2021-09-29,6176
230,열무김치,석식,12.8kcal,2021-09-29,6176
231,밥,조식,363kcal,2021-09-06,6176
232,밥,중식,363kcal,2021-09-06,6176
233,김치볶음밥(05)(06)(10),석식,528.93kcal,2021-09-06,6176
234,미역국(05),조식,13.67kcal,2021-09-06,6176
235,쇠고기육개장(01)(05)(16),중식,79.32kcal,2021-09-06,6176
236,감자계란국(01)(05),석식,61.43kcal,2021-09-06,6176
237,돈육굴소스양배추볶음(10),조식,272.06kcal,2021-09-06,6176
238,돈가스(06)(10),중식,589.76kcal,2021-09-06,6176
239,양파닭(06)(15),석식,272.09kcal,2021-09-06,6176
240,버섯야채볶음(05)(06),조식,49.39kcal,2021-09-06,6176
241,감자샐러드(01),중식,94.59kcal,2021-09-06,6176
242,파닭(파채닭튀김)(06)(15),석식,283.99kcal,2021-09-06,6176
243,배추김치(7~9월),조식,6.5kcal,2021-09-06,6176
244,깍두기(완제품)(09),중식,15.2kcal,2021-09-06,6176
245,백김치,석식,15.12kcal,2021-09-06,6176
246,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-06,6176
247,"주스,카프리썬 오렌지(200ml,파우치)",석식,60kcal,2021-09-06,6176
248,밥,조식,363kcal,2021-09-07,6176
249,잡곡밥,중식,379.52kcal,2021-09-07,6176
250,핫도그빵(01)(06)(10)(12),석식,633.77kcal,2021-09-07,6176
251,오징어국(05)(17),조식,53.31kcal,2021-09-07,6176
252,두부된장찌개(05)(06),중식,59.66kcal,2021-09-07,6176
253,콘푸로스트,석식,103.55kcal,2021-09-07,6176
254,쇠고기버섯볶음(05)(06)(16),조식,171.44kcal,2021-09-07,6176
255,애호박나물(09),중식,45.9kcal,2021-09-07,6176
256,"우유(백색우유(200ML,연간))(02)",석식,244kcal,2021-09-07,6176
257,두부조림(05)(06),조식,93.57kcal,2021-09-07,6176
258,돼지불고기(05)(06)(10),중식,304.68kcal,2021-09-07,6176
259,배추김치(7~9월),조식,6.5kcal,2021-09-07,6176
260,오이무침(05)(06),중식,21.62kcal,2021-09-07,6176
261,배추김치(7~9월),중식,6.5kcal,2021-09-07,6176
262,식혜,중식,82kcal,2021-09-07,6176
263,밥,조식,363kcal,2021-09-08,6176
264,밥,중식,363kcal,2021-09-08,6176
265,현미밥,석식,441.95kcal,2021-09-08,6176
266,콩나물무채국(05),조식,18.62kcal,2021-09-08,6176
267,감자탕(김치)(05)(06)(10),중식,363.68kcal,2021-09-08,6176
268,호박고추장찌개(05)(06)(09)(10),석식,98.55kcal,2021-09-08,6176
269,햄야채볶음(10)(12),조식,143.3kcal,2021-09-08,6176
270,고등어순살튀김(05)(06)(07),중식,438.8kcal,2021-09-08,6176
271,감자채볶음,석식,74.51kcal,2021-09-08,6176
272,깻잎조림(05)(06),조식,20.94kcal,2021-09-08,6176
273,오징어젓무침(17),중식,36.55kcal,2021-09-08,6176
274,닭간장소스찜(05)(06)(15),석식,226.37kcal,2021-09-08,6176
275,배추김치(7~9월),조식,6.5kcal,2021-09-08,6176
276,깍두기(완제품)(09),중식,15.2kcal,2021-09-08,6176
277,배추김치(7~9월),석식,6.5kcal,2021-09-08,6176
278,"우유(백색우유(200ML,연간))(02)",중식,122kcal,2021-09-08,6176
279,아이스 망고바,석식,126kcal,2021-09-08,6176
280,밥,조식,363kcal,2021-09-09,6176
281,쫄면(01)(05)(06),중식,817.52kcal,2021-09-09,6176
282,잡곡밥,석식,379.52kcal,2021-09-09,6176
283,쇠고기감자국(05)(16),조식,51.44kcal,2021-09-09,6176
284,치킨너겟(01)(06)(12)(15),중식,651.46kcal,2021-09-09,6176
285,감자양파찌개(05)(06),석식,65.46kcal,2021-09-09,6176
286,마파두부(05)(06)(12),조식,186.25kcal,2021-09-09,6176
287,단무지무침,중식,17.78kcal,2021-09-09,6176
288,야채삼겹살볶음(05)(06)(10),석식,438.25kcal,2021-09-09,6176
289,콩나물무침(05)(06),조식,24.77kcal,2021-09-09,6176
290,백김치,중식,15.12kcal,2021-09-09,6176
291,무생채,석식,22.49kcal,2021-09-09,6176
292,배추김치(7~9월),조식,6.5kcal,2021-09-09,6176
293,멜론(여름),중식,57.6kcal,2021-09-09,6176
294,모듬야채(05)(06),석식,65.24kcal,2021-09-09,6176
295,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-09,6176
296,배추김치(7~9월),석식,6.5kcal,2021-09-09,6176
297,"생수(500ML,후식)",석식,0kcal,2021-09-09,6176
298,밥,조식,363kcal,2021-09-10,6176
299,제육덮밥(05)(06)(10),중식,614.13kcal,2021-09-10,6176
300,깐풍버섯덮밥(05)(06),석식,475.26kcal,2021-09-10,6176
301,김치찌개(05)(10),조식,86.69kcal,2021-09-10,6176
302,무국(05)(16),중식,43.85kcal,2021-09-10,6176
303,해물짬뽕찌개(05)(06)(09)(17),석식,58.91kcal,2021-09-10,6176
