,메뉴이름,식사명,열량,날짜,부대
0,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-11,2171
1,콩나물매운무침(05)(06),중식,40.25kcal,2021-09-11,2171
2,오이양파무침(05)(06),석식,38.19kcal,2021-09-11,2171
3,열무김치,중식,12.8kcal,2021-09-11,2171
4,배추김치(7~9월),석식,8kcal,2021-09-11,2171
5,"아이스크림, 떠먹는형",중식,270kcal,2021-09-11,2171
6,밥,조식,363kcal,2021-09-12,2171
7,밥,중식,363kcal,2021-09-12,2171
8,현미밥,석식,381.15kcal,2021-09-12,2171
9,콩나물김치국(05),조식,24.27kcal,2021-09-12,2171
10,닭볶음탕(15),중식,230.21kcal,2021-09-12,2171
11,돼지고기무찌개(05)(06)(10),석식,108.34kcal,2021-09-12,2171
12,돼지불고기(05)(06)(10),조식,356.53kcal,2021-09-12,2171
13,게맛살야채볶음(05)(06),중식,94.21kcal,2021-09-12,2171
14,중화식잡채(05)(06)(16),석식,187.2kcal,2021-09-12,2171
15,양배추쌈(05)(06),조식,62.76kcal,2021-09-12,2171
16,순두부양념장(05)(06),중식,70.72kcal,2021-09-12,2171
17,조미김,석식,0kcal,2021-09-12,2171
18,깍두기(완제품)(09),조식,15.2kcal,2021-09-12,2171
19,배추김치(7~9월),중식,8kcal,2021-09-12,2171
20,삼치순살조림(05)(06),석식,100.37kcal,2021-09-12,2171
21,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-12,2171
22,대추방울토마토(비생산기)(12),중식,11.9kcal,2021-09-12,2171
23,배추김치(7~9월),석식,8kcal,2021-09-12,2171
24,"주스,망고코넛(340ml/캔)",석식,122.3kcal,2021-09-12,2171
25,밥,조식,363kcal,2021-09-13,2171
26,흑미밥,중식,381.75kcal,2021-09-13,2171
27,밥,석식,363kcal,2021-09-13,2171
28,쇠고기호박찌개(05)(06)(16),조식,53.34kcal,2021-09-13,2171
29,감자돈육짜글이(05)(06)(10),중식,142.18kcal,2021-09-13,2171
30,조갯살미역국(05),석식,11.02kcal,2021-09-13,2171
31,마파두부(05)(06),조식,177.27kcal,2021-09-13,2171
32,생선가스(01)(06),중식,633.11kcal,2021-09-13,2171
33,돈육표고장조림(05)(06)(10),석식,278.71kcal,2021-09-13,2171
34,계란찜(01)(09),조식,87.76kcal,2021-09-13,2171
35,단호박샐러드(01),중식,95.3kcal,2021-09-13,2171
36,미나리무생채(05)(06),석식,24.79kcal,2021-09-13,2171
37,배추김치(7~9월),조식,8kcal,2021-09-13,2171
38,열무김치,중식,12.8kcal,2021-09-13,2171
39,배추김치(7~9월),석식,8kcal,2021-09-13,2171
40,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-13,2171
41,농후 발효유(02),중식,96kcal,2021-09-13,2171
42,밥,조식,363kcal,2021-09-14,2171
43,중화비빔밥(05)(06)(09)(10)(17),중식,636.58kcal,2021-09-14,2171
44,잡곡밥,석식,355.24kcal,2021-09-14,2171
45,돼지고기김치찌개(05)(10),조식,99.05kcal,2021-09-14,2171
46,생선묵찌개(05)(06),중식,88.09kcal,2021-09-14,2171
47,쇠고기육개장(01)(05)(16),석식,67.85kcal,2021-09-14,2171
48,쇠고기야채볶음(05)(06)(16),조식,147.58kcal,2021-09-14,2171
49,조미김,중식,0kcal,2021-09-14,2171
50,데리야끼갈릭치킨(01)(05)(06)(15),석식,673.37kcal,2021-09-14,2171
51,오이양파무침(05)(06),조식,38.19kcal,2021-09-14,2171
52,계란후라이(01),중식,98.21kcal,2021-09-14,2171
53,오이풋고추된장무침(05),석식,47.22kcal,2021-09-14,2171
54,열무김치,조식,12.8kcal,2021-09-14,2171
55,배추김치(7~9월),중식,8kcal,2021-09-14,2171
56,딸기우유(02),석식,116kcal,2021-09-14,2171
57,"우유(백색우유(200ML,연간))(02)",조식,122kcal,2021-09-14,2171
58,"주스,과채",중식,,2021-09-14,2171
59,배추김치(7~9월),석식,8kcal,2021-09-14,2171
60,밥,조식,363kcal,2021-09-15,2171
