,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량
958,양배추/풋고추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.97kcal
959,홍합탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49.89kcal
960,채소스틱,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35kcal
961,가스오부시어묵탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57.73kcal
962,함박스테이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.88kcal
963,어묵야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64.59kcal
964,감자호박국,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.16kcal
965,해물짬뽕찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,92.45kcal
966,단무지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.16kcal
967,하이라이스,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,981.76kcal
968,오이파프리카무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.35kcal
969,소양념갈비,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730kcal
970,느타리버섯볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3kcal
971,닭고기덮밥,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,662.99kcal
972,소시지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251kcal
973,돼지고기덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,807.25kcal
974,궁중닭찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,229.82kcal
975,매운버섯국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.71kcal
976,연근닭순살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,187.02kcal
977,풋고추/쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.89kcal
978,돼지목살폭찹,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,385.64kcal
979,멸치매운양념조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71.56kcal
980,쇠고기야채볶음밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,522.79kcal
981,순두부오징어탕,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,118.53kcal
982,햄감자채볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72.77kcal
983,상추/깻잎쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.09kcal
984,치즈불닭,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,283.89kcal
985,신라면블랙사발,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,445kcal
986,삼겹살간장덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,866.8kcal
987,가지무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.38kcal
988,돼지고기부추볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,395.77kcal
989,매운소갈비찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,455.79kcal
990,케이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324kcal
991,쇠고기콩나물국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,52.8kcal
992,게맛살샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.16kcal
993,크림수프,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal
994,산채비빔밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,490.74kcal
995,순두부백탕,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.44kcal
996,참치마요,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07kcal
997,조기순살튀김,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,351.69kcal
998,1.5소스 깐풍기,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,583.1kcal
999,비엔나소시지감자조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,151.89kcal
1000,갈치튀김,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330.27kcal
1001,계란볶음밥,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.77kcal
1002,오징어덮밥,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,596.79kcal
1003,쇠고기새송이버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,159.65kcal
1004,두부매운조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122.08kcal
1005,나가사키짬뽕국,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,159.98kcal
1006,매일두유 검은콩 190ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1007,쇠고기배추볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,115.67kcal
1008,주꾸미비빔밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,607.1kcal
1009,전복미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39.72kcal
1010,고추참치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77kcal
1011,영양바,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1012,해물강된장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,181.59kcal
1013,매콤닭무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,177.01kcal
1014,건강담은 야채가득음료 V19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54kcal
1015,딸기맛우유,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116kcal
1016,달콤한베지밀비 190ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1017,양파/고추/쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.57kcal
1018,돼지고기부추덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,806.99kcal
1019,훈제오리볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.04kcal
1020,두부엿장조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135.76kcal
1021,쇠고기우거지국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50.48kcal
1022,"참깨라면,110g",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,459.09kcal
1023,얼큰북어채국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.68kcal
1024,만두국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,440.72kcal
1025,깻잎볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,243.28kcal
1026,오리고기버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152.17kcal
1027,"우유,살균형",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154kcal
1028,쌀국수비빔면,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,325kcal
1029,브로콜리어묵카레볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.97kcal
1030,불고기낙지볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,315kcal
1031,미나리나물,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67kcal
1032,고추참치통조림찌개,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.17kcal
1033,에그햄치즈버거,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1340.36kcal
1034,"요구르트,떠먹는형",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96kcal
1035,쇠고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,181.69kcal
1036,"음료수,과일맛",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4kcal
1037,부추된장샐러드,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.94kcal
1038,숙성김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5kcal
1039,꿔바로우,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,467.35kcal
1040,현동낙지볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255.34kcal
1041,풋마늘양념무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,70.02kcal
1042,달래된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.83kcal
1043,오리깻잎불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,364.25kcal
1044,"견과, 혼합식",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.3kcal
1045,패주미역국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27.12kcal
1046,양파볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.52kcal
1047,키조개,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.26kcal
1048,사과샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.45kcal
1049,오이풋고추&쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.34kcal
1050,명태순살강정,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,427.22kcal
1051,콩나물돼지불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,365.57kcal
1052,토마토계란볶음,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94.69kcal
1053,고등어튀김양념장소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,396.77kcal
1054,"두유, 고칼슘",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140kcal
1055,"쌀국수,사골맛",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1056,"진라면매운맛,110g용기라면",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,
1057,꽁치김치조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.05kcal
1058,골뱅이굴소스볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148.95kcal
1059,"용기면,쌀국수,김치맛,92g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1060,"김치왕뚜껑,110g,용기라면",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,431.81kcal
1061,쭈꾸미덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800.14kcal
1062,굴패주해산물야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156.01kcal
1063,야채스틱앤저염쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52kcal
1064,쇠고기당면국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.27kcal
1065,게맛살마요무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59kcal
1066,청양마요치킨,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,455.88kcal
1067,사이다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5kcal
1068,마요오징어실채무침,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,90.2kcal
1069,쇠고기팽이버섯떡볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,145.54kcal
1070,과일2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126kcal
1071,파채돈가스,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,475.2kcal
1072,뿌리채소닭순살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,236.72kcal
1073,달걀케첩볶음밥,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,524.35kcal
1074,"음료수,탄산,콜라",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5kcal
1075,햄버그스테이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal
1076,코코아 음료 분말,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412kcal
1077,감자수제비국,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.68kcal
1078,돈육굴소스양배추볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,164.07kcal
1079,모듬어묵조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107.09kcal
1080,베이컨김치볶음밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,472.32kcal
1081,배추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.23kcal
1082,중화식돈까스,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,617.64kcal
1083,임시3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167kcal
1084,쫄면야채무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.46kcal
1085,쫀득치킨꿔바로우후르츠소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,374.17kcal
1086,쇠고기야채죽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.42kcal
1087,쇠고기볶음밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,501.31kcal
1088,마라제육볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,502.21kcal
1089,오이김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65kcal
