,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량
362,가공우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167kcal
363,"주스,청포도",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.51kcal
364,해물볶음밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,487.29kcal
365,콩나물매운무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.25kcal
366,밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal
367,돼지고기무찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,108.34kcal
368,게맛살야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.21kcal
369,중화식잡채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,187.2kcal
370,조미김,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal
371,삼치순살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.37kcal
372,흑미밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.75kcal
373,쇠고기호박찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,53.34kcal
374,감자돈육짜글이,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,142.18kcal
375,조갯살미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02kcal
376,돈육표고장조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,278.71kcal
377,중화비빔밥,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,636.58kcal
378,잡곡밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.24kcal
379,생선묵찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88.09kcal
380,딸기우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116kcal
381,"주스,과채",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
382,밀쌀밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.55kcal
383,해물순두부찌개,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,116.51kcal
384,돈육새송이야채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,272.64kcal
385,방울토마토샐러드,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95.2kcal
386,돼지고기고추장찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,117.55kcal
387,쇠고기불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,270.94kcal
388,모듬쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.86kcal
389,들깨미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.38kcal
390,순두부김치찌개,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.95kcal
391,돈육호박볶음,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,200.17kcal
