,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1116,맛있는 두유 달콤한맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30 g,155,19,8,2,170,--
1117,팽이버섯계란국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.26kcal,1 Container,45,8,9,2,--,5
1118,유림기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,477.04kcal,1 portion,479,12,26,44,"1,462",125
1119,알감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.06kcal,150 g,109,22,1,2,647,--
1120,꼬막콩나물비빔밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,416.94kcal,1 bowl,350,60,8,10,"1,080",10
1121,콩자반,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119.22kcal,100 g,15,25,-,1,--,--
1122,귤주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1 개,37,9,-,-,1,--
1123,마카롱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1 인분(250g),452,89,6,17,"1,059",--
1124,참돔탕수,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,315.82kcal,1 컵,0,-,-,-,37,--
1125,바다장어순살강정,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,429.58kcal,180 ml,37,9,-,1,35,--
1126,핫바,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,252kcal,1 봉,135,8,9,6,--,--
1127,식탁비치용 양념,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.97kcal,5 g,25,1,1,-,35,--
1128,돼지갈비김치찜,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,427.62kcal,1 봉지,793,42,47,61,"1,940",195
1129,저염쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131.12kcal,100 g,178,32,2,8,"2,550",--
1130,전복영양밥달래양념장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,441.74kcal,1 토막,150,-,-,39,39,210
1131,얼갈이된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,49.33kcal,119 g/1 individual bowl,65,-,-,-,--,--
1132,오징어채버터볶음,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,121.47kcal,20 g,55,8,-,3,232,33
1133,멸치무침,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151.69kcal,32 g (2Tbsp),190,7,16,7,125,--
1134,민물장어튀김,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,427.11kcal,80 g,220,5,15,15,364,172
1135,새우살야채튀김,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,424.57kcal,100 g (약 3개),301,26,17,9,555,60
1136,오리훈제부추무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256.8kcal,200 g,144,9,8,9,"1,668",33
1137,마늘종볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.31kcal,150 g,235,6,7,38,"1,090",400
1138,연두부,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89.47kcal,300 g,135,6,6,15,15,--
1139,꽃게된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,61.28kcal,100 g,140,17,2,11,--,--
1140,기타 양념,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116kcal,100 g,111,14,1,9,"1,687",--
1141,오징어초고추장무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133.96kcal,150 g,190,34,1,9,990,21
1142,냉이조갯살된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,71.96kcal,300 g,126,15,3,9,"1,632",--
1143,찐고구마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.93kcal,100 g,138,32,-,1,9,--
1144,굴미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.41kcal,1 그릇,65,4,4,5,320,17
1145,굴순두부찌개,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,129.89kcal,1 bowl,205,14,10,15,--,--
1146,쇠고기달래된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,72.01kcal,1 pack,180,28,1,15,"1,770",50
1147,꽁치튀김케찹소스,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,352.31kcal,1 봉,355,76,1,9,133,5
1148,멸치깻잎조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.78kcal,1 인,80,-,-,3,--,--
1149,얼큰떡만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,568.19kcal,1 serving,625,110,11,20,"1,980",122
1150,새송이쇠고기볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,110.25kcal,285 g,160,26,3,6,620,10
1151,연두부샐러드,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5kcal,300 g,135,6,6,15,15,--
1152,소시지콩나물찜,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,279.82kcal,200 g,50,4,-,8,80,--
1153,치킨텐더샐러드,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,361.99kcal,1 컵,350,65,6,9,420,10
1154,호박잎양념장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.72kcal,15 g,5,-,-,-,--,--
1155,생선묵잡채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,186.9kcal,10 알,12,-,1,-,--,--
1156,두부돈육김치볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,223.48kcal,95 grams,116,3,9,4,--,--
1157,미나리오징어무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,80.19kcal,75 g,29,5,-,1,246,--
1158,도라지튀김,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,362.63kcal,500 미리,0,-,-,-,10,--
1159,오징어제육덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,752.9kcal,240 g,279,50,2,15,122,2
1160,연근소불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,270.2kcal,200 g,471,24,25,34,"1,431",36
1161,우유계란찜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.5kcal,1 dish,168,9,8,12,100,359
1162,상추샐러드,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.77kcal,1 인분,104,17,-,2,100,--
1163,햄김치볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,121.01kcal,120 g,288,43,7,11,660,--
1164,파불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,308.3kcal,110 g,245,31,8,12,580,15
1165,만두튀김만두강정,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,623.63kcal,1 인분,467,81,7,17,--,--
1166,양파커리핫도그,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,745.5kcal,1 개,36,8,-,1,2,--
1167,두부계란국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.86kcal,100 grams,54,2,2,4,283,124
1168,연근매운조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.39kcal,30 g (1/2 작은접시),78,18,-,-,200,--
1169,황태국,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.99kcal,180 ml,130,9,8,6,95,25
1170,양파고추장아찌,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3kcal,100 g,39,7,-,1,703,--
1171,미나리문어초무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84.47kcal,75 g,29,5,-,1,246,--
1172,돼지고기두부조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280kcal,200 g,128,6,8,8,477,18
1173,우엉간장떡볶이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263.36kcal,6 조각,195,19,12,3,25,5
1174,짬뽕덮밥,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,590.17kcal,1 봉지,520,77,18,12,"1,260",--
1175,근대쇠고기된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50.01kcal,1 봉,75,2,4,6,830,20
1176,햄소시지구이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,184.88kcal,1 piece,190,3,5,4,251,4
1177,고추장감자조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112.76kcal,1 캔,90,7,2,11,--,--
1178,프리타타,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,179kcal,1 개,295,16,17,20,"1,080",285
1179,맛살피망볶음,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,125.65kcal,1 개,20,4,-,-,3,--
1180,더덕강정,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,371.25kcal,0.5 컵 요리,60,12,-,1,20,--
1181,돈가스정식,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,627kcal,100 g,120,6,2,18,440,44
1182,전투식량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,1 개,339,60,6,12,940,5
1183,고등어마늘튀김,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,449.1kcal,1 serving,225,43,5,2,710,--
1184,쌀핫도그,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,773.53kcal,80 g,230,31,9,6,250,10
1185,우엉돼지불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,441.84kcal,100 g,205,8,6,26,471,80
1186,연근조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.22kcal,30 g (1/2 작은접시),78,18,-,-,200,--
1187,북어채도라지볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.62kcal,1 set,125,11,6,9,460,5
1188,깐풍새우,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,403.43kcal,100 g,169,-,7,23,793,--
1189,두부샐러드드레싱,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97.27kcal,1 bottle,275,25,18,3,--,--
1190,명태조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87.29kcal,301 g,94,-,5,9,--,--
1191,콩나물게맛살냉채,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.18kcal,5 개,90,4,-,3,--,--
1192,게맛살계란국,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81.07kcal,5 개,90,4,-,3,--,--
1193,당면고추장찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,263.29kcal,1 bowl,298,18,15,23,542,--
1194,치즈볼스테이크,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,184.37kcal,36 g,115,6,8,5,180,15
1195,짬뽕,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,564.38kcal,1 봉지,520,77,18,12,"1,260",--
1196,홍합미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95kcal,500 g,107,5,3,12,"1,453",13
1197,굴튀김,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,413.11kcal,250 ml,112,28,-,-,15,--
1198,너비아니구이,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,240.45kcal,55 g,137,9,7,9,204,16
1199,건새우호박볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.41kcal,1 컵 105g,440,65,16,8,970,--
1200,패주해물탕,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,110.62kcal,1 봉,305,68,1,6,460,--
1201,전복닭죽,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,448.46kcal,1 인분,135,20,3,5,530,20
1202,오이냉국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1kcal,100 g,18,3,-,-,288,--
1203,콩나물맛살무침,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.24kcal,1 소접시,38,5,1,2,401,--
1204,맑은된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.14kcal,10 g,35,5,-,1,--,--
1205,물냉면비빔냉면,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,919.5kcal,1 pack,358,53,14,5,305,9
1206,오징어청경채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111.42kcal,20 g,55,8,-,3,232,33
1207,게맛살무침,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.92kcal,5 개,90,4,-,3,--,--
1208,블루베리아몬드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.36kcal,100 g,57,14,3,1,1,--
1209,마늘장아찌,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.37kcal,20 g,12,2,-,-,189,--
1210,미나리초무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,75.64kcal,75 g,29,5,-,1,246,--
1211,햄구이,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,184.88kcal,100 g,167,-,11,14,597,--
1212,갑오징어미역초무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,91.29kcal,1 dish,45,9,-,1,997,--
1213,민대구탕,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,82.49kcal,1 bowl,165,5,2,31,--,--
1214,오징어김치전,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,206.09kcal,2 개,195,29,5,9,590,15
1215,연근야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,185.43kcal,1 소접시,90,-,-,-,--,--
1216,도라지사과무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80.98kcal,30 g,30,6,-,1,100,--
1217,돈까스치즈버거,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,993.83kcal,100 g,273,36,9,9,480,8
1218,콩나물밥달래양념장 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,454.150,1 bowl,300,66,4,8,400,--
1219,쇠고기버섯들깨탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97.460,500 g,310,11,22,19,"1,630",20
1220,생선묵조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.990,100 g,128,5,7,10,560,35
1221,배추김치 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,100 g,32,5,-,2,910,--
1222,조갯살미역국 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.950,1 그릇,65,4,4,5,320,17
1223,김치찌개 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160.860,400 g,243,11,15,15,"1,962",25
1224,순두부국 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,78.610,1 팩,145,24,-,12,200,--
1225,햄슬라이스야채볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224.440,1 소접시,90,-,-,-,--,--
1226,돼지고기가지볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,346.960,100 g,244,11,16,11,272,33
1227,오이부추무침 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.320,200 g,144,9,8,9,"1,668",33
1228,깍두기 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.100,1 small plate,18,3,-,-,323,--
1229,호박볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103.620,100 g,395,78,5,9,--,--
1230,중화식잡채 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189.570,90 grams,145,6,10,8,570,40
1231,양파간장절임 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.910,1 봉,45,11,-,-,5,--
1232,아욱고추장찌개 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.650,1 bowl,298,18,15,23,542,--
1233,돈육표고장조림 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,302.590,1 캔,90,7,2,11,--,--
1234,갈릭새우살버터볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.380,80 gr,420,50,24,2,--,--
1235,무생채 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.640,1 pack(190ml),100,4,5,10,120,--
1236,감자매운조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.590,150 g,109,22,1,2,647,--
1237,백김치 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.800,0.5 작은 접시 (50g),21,4,-,-,249,--
1238,햄야채덮밥 ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,680.350,300 g,515,95,10,11,840,15
1239,고추참치마파두부 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.740,10 g,70,-,7,-,--,--
1240,과일샐러드 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96.200,190 ml,85,21,-,-,35,--
1241,꼬리곰탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.640,700 g,765,4,37,102,765,251
1242,게맛살볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.030,5 개,90,4,-,3,--,--
1243,닭순살양배추볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,330.490,184 g,193,8,11,14,68,--
1244,두부강정 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.040,0.5 컵 요리,60,12,-,1,20,--
1245,깻잎조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.250,1 인,80,-,-,3,--,--
1246,오이풋고추쌈장 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.470,1 개 중간크기,24,5,2,1,4,--
1247,찰보리비빔밥 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,570.980,1 대접,599,92,13,26,492,55
1248,들깨미역국 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.760,200 ml,120,10,6,6,150,--
1249,비엔나소시지떡볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,380.570,2 개,95,1,8,5,230,15
1250,떡만둣국 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,570.460,1 serving,625,110,11,20,"1,980",122
1251,돼지갈비찜 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,575.300,1 봉지,793,42,47,61,"1,940",195
1252,무국 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.470,1 bowl,71,6,3,6,685,10
1253,닭순살피망볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,471.550,105 g,425,63,15,9,950,--
1254,김치덮밥 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,662.400,1 회,410,73,7,14,970,20
1255,시금치국 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.320,100 gram,110,12,6,2,470,5
1256,버섯야채볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.870,130 g,82,10,4,2,14,--
1257,갓김치 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.800,1 인분,97,16,2,7,658,--
1258,마파두부 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,197.850,10 g,70,-,7,-,--,--
1259,닭볶음탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,284.150,1 팩,52,11,-,1,3,--
1260,감자풋고추볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.870,20 g,52,3,2,4,275,36
1261,황태찜 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.920,180 ml,130,9,8,6,95,25
1262,미트볼데리야끼조림 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,283.150,20 g,15,3,-,-,--,--
1263,무두부조개탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,68.080,1 줌,665,-,68,14,--,--
1264,소시지케찹볶음 ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,328.150,1 dish,240,18,15,7,361,30
1265,갈비맛치킨 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,605.440,84 g,435,55,21,6,430,--
1266,연근조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.960,30 g (1/2 작은접시),78,18,-,-,200,--
1267,꽃게탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.870,600 g,238,18,5,28,"2,247",212
1268,매콤새송이버섯볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.760,70 g,201,44,-,5,16,--
1269,잡채 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,198.390,10 알,12,-,1,-,--,--
1270,얼갈이배추된장무침 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.950,138 g,71,6,4,4,181,--
1271,참치야채비빔밥 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.820,1 인분(300g),388,75,3,11,279,113
1272,오이무침 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.080,100 ml,65,4,4,3,50,15
1273,생선묵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.990,1 봉지,360,28,26,3,240,--
1274,삼겹살고추장볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,618.900,100 g,128,30,-,1,15,--
1275,김장김치 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,250 g (약8개),685,88,29,17,952,17
1276,고구마샐러드 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.040,110 g,165,28,3,1,170,10
1277,카레밥 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,613.800,480 G,663,108,19,15,"1,639",8
1278,순두부짬뽕찌개 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,105.480,1 bowl,205,14,10,15,--,--
1279,강된장찌개 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.210,350 g (1중간접시),941,29,59,72,"1,341",189
1280,생선묵김치찌개 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.360,1 봉지,160,12,8,10,"1,240",10
1281,버섯매운탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.870,100 g,337,59,8,8,84,2
1282,꽁치무조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.300,1 개 (180g),230,36,8,3,150,40
1283,청국장 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90.600,140 g,296,21,14,23,320,45
1284,돈육굴소스양배추볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,332.250,1 Package,630,90,26,9,--,--
1285,돼지고기육개장 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,131.610,30 g,149,16,8,5,10,--
1286,가지굴소스쇠고기볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123.970,165 g,190,6,10,18,666,148
1287,오징어삼겹볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,562.660,1 컵,85,12,2,3,50,10
1288,콩나물매운잡채 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,260.620,100 gram,45,3,1,5,--,--
1289,오징어채버터볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,138.350,20 g,55,8,-,3,232,33
1290,멸치고추장볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.110,100 g,128,30,-,1,15,--
1291,쇠고기야채덮밥 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,596.090,1 그릇,340,68,3,10,"1,020",5
1292,삼치순살튀김 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.140,250 ml,112,28,-,-,15,--
1293,돼지고기청경채볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,359.080,100 g,244,11,16,11,272,33
1294,꽈리고추조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.620,30 g,22,4,-,-,100,--
1295,주꾸미미나리초무침 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.110,75 g,29,5,-,1,246,--
1296,닭고기야채조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,297.220,1 box,168,23,-,16,255,--
1297,시금치고추장무침 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.020,32 g (2Tbsp),190,7,16,7,125,--
1298,비엔나소시지야채볶음 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,285.910,1 dish,240,18,15,7,361,30
1299,깻잎쇠고기볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136.170,165 g,190,6,10,18,666,148
1300,불닭덮밥 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,952.750,120 g,160,31,-,7,760,10
1301,고등어순살카레튀김 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.040,250 ml,112,28,-,-,15,--
1302,명태순살조림 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.990,301 g,94,-,5,9,--,--
1303,팝콘치킨 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,645.850,1 봉지,95,15,3,-,115,5
1304,아귀탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.450,95 g,59,-,-,13,--,52
