,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤
985,참치마요,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.07kcal,100 g,230,52,-,4,230,--
986,조기순살튀김,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,351.69kcal,20 g,67,16,-,-,2,--
987,소스 깐풍기,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,583.1kcal,200 g,450,33,25,20,858,67
988,비엔나소시지감자조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,151.89kcal,2 개,95,1,8,5,230,15
989,갈치튀김,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330.27kcal,2 oz,50,-,1,10,490,--
990,계란볶음밥,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.77kcal,1 bowl,493,-,-,-,--,--
991,오징어덮밥,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,596.79kcal,1 컵,485,67,20,8,--,--
992,쇠고기새송이버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,159.65kcal,1 container,840,-,-,-,--,--
993,두부매운조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122.08kcal,50 g,69,2,3,6,250,--
994,나가사키짬뽕국,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,159.98kcal,115 g,475,80,13,10,"1,679",--
995,매일두유 검은콩 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,200 ml,140,11,6,7,200,--
996,쇠고기배추볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,115.67kcal,165 g,190,6,10,18,666,148
997,주꾸미비빔밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,607.1kcal,1 대접,599,92,13,26,492,55
998,전복미역국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39.72kcal,250 g,85,8,3,6,--,--
