,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1762,매운쇠고기찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,148,29.84873949579832,1.2436974789915967,4.974789915966387,7.46218487394958,0.0
1763,미나리깨장냉채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0.0,0.0,0.0,0.0,0.0
1764,오징어채야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,115,16.727272727272727,0.0,6.2727272727272725,485.09090909090907,69.0
1765,마늘쫑해물잡채,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,203,40.6,0.0,6.246153846153846,31.23076923076923,0.0
1766,계란부추볶음,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,197,24.743961352657006,8.565217391304348,4.758454106280193,507.2512077294686,19.033816425120772
1767,쇠고기호박국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58,7.1506849315068495,1.1917808219178083,4.36986301369863,719.0410958904109,0.0
1768,고추장찌개,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3.3221476510067114,2.7684563758389262,4.24496644295302,100.03355704697987,0.0
1769,홍합계란찜,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,116,6.214285714285714,5.523809523809524,8.285714285714286,69.04761904761905,247.88095238095238
1770,생선묵야채튀김,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,446,38.78260869565217,9.695652173913043,38.78260869565217,2307.5652173913045,53.32608695652174
1771,해물떡볶이,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,310,77.5,0.0,0.0,11.071428571428571,0.0
1772,새우순살맑은짬뽕,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,99,14.659615384615385,3.4269230769230767,2.2846153846153845,239.8846153846154,0.0
1773,갑오징어풋마늘무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,154,9.777777777777779,4.888888888888889,14.666666666666666,405.77777777777777,207.77777777777777
