,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,두부김치,조식,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202.41kcal,2021-09-20,1691
1,1,오리불고기,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279.15kcal,2021-09-20,1691
2,2,궁중떡볶이,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,264.69kcal,2021-09-20,1691
3,3,김자반,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8kcal,2021-09-20,1691
4,4,깻잎조림,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98kcal,2021-09-20,1691
5,5,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,2021-09-20,1691
6,6,황태채무침,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16kcal,2021-09-20,1691
7,7,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,2021-09-20,1691
8,8,복숭아주스,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2021-09-20,1691
9,9,열무김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16kcal,2021-09-20,1691
10,10,사과,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.36kcal,2021-09-20,1691
11,11,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-20,1691
12,12,사골떡왕만둣국,조식,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,441.49kcal,2021-09-21,1691
13,13,밥1,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-21,1691
14,14,삼겹살덮밥,석식,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,911.88kcal,2021-09-21,1691
15,15,오징어젓무침,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53.06kcal,2021-09-21,1691
16,16,배추들깨국,중식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.91kcal,2021-09-21,1691
17,17,버섯육개장,석식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,104.07kcal,2021-09-21,1691
18,18,두부양념장,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141.91kcal,2021-09-21,1691
19,19,사각어묵잡채,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.03kcal,2021-09-21,1691
20,20,맛김,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,2021-09-21,1691
21,21,깍두기,조식,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.2kcal,2021-09-21,1691
22,22,쇠고기갈비찜,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793.85kcal,2021-09-21,1691
23,23,오이양파장아찌,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5kcal,2021-09-21,1691
24,24,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-21,1691
25,25,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,2021-09-21,1691
26,26,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,2021-09-21,1691
27,27,유산균 발효 음료,석식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56kcal,2021-09-21,1691
28,28,간장계란밥,조식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,442.19kcal,2021-09-22,1691
29,29,소불고기덮밥,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,624.95kcal,2021-09-22,1691
30,30,밥1,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-22,1691
31,31,참치김치찌개,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.61kcal,2021-09-22,1691
32,32,감자매운조림,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.93kcal,2021-09-22,1691
33,33,꼬리곰탕,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.02kcal,2021-09-22,1691
34,34,돼지고기장조림,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,268.01kcal,2021-09-22,1691
35,35,오이풋고추된장무침,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56kcal,2021-09-22,1691
36,36,찐만두,석식,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,307.13kcal,2021-09-22,1691
37,37,열무김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16kcal,2021-09-22,1691
38,38,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,2021-09-22,1691
39,39,미나리무생채,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.51kcal,2021-09-22,1691
40,40,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-22,1691
41,41,이온음료,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8kcal,2021-09-22,1691
42,42,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,2021-09-22,1691
43,43,밥1,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-23,1691
44,44,밥1,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-23,1691
45,45,영양밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.26kcal,2021-09-23,1691
46,46,계란국,조식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.75kcal,2021-09-23,1691
47,47,호박된장찌개,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.92kcal,2021-09-23,1691
48,48,쇠고기육개장,석식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,99.99kcal,2021-09-23,1691
49,49,돼지고기김치볶음,조식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171kcal,2021-09-23,1691
50,50,돼지고기콩나물볶음,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,379.74kcal,2021-09-23,1691
51,51,고등어순살강정,석식,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,442.74kcal,2021-09-23,1691
