,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,오이고추장무침,조식,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.81kcal,2021-09-16,9030
1,1,단무지무침,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27kcal,2021-09-16,9030
2,2,두부조림,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84.17kcal,2021-09-16,9030
3,3,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25kcal,2021-09-16,9030
4,4,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25kcal,2021-09-16,9030
5,5,백김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12kcal,2021-09-16,9030
6,6,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-16,9030
7,7,사과,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8380224kcal,2021-09-16,9030
8,8,우유,석식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-16,9030
9,9,사과 주스,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46kcal,2021-09-16,9030
10,10,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-17,9030
11,11,잡곡밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.36kcal,2021-09-17,9030
12,12,밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-17,9030
13,13,햄김치찌개,조식,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,136.31kcal,2021-09-17,9030
