,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,찐고구마,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.65,20201025,7652
1,1,잡곡밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.72,20201025,7652
2,2,흑미밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.55,20201025,7652
3,3,소떡소떡,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,645.28,20201025,7652
4,4,매콤닭순살덮밥,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,274.66,20201025,7652
5,5,돼지고기감자찌개,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,120.35,20201025,7652
6,6,구운계란,조식,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.08,20201025,7652
7,7,조미김,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,20201025,7652
8,8,오징어숙회/초고추장,석식,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,126.66,20201025,7652
9,9,혼합시리얼,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.32,20201025,7652
10,10,배추김치,중식,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.75,20201025,7652
11,11,마파두부,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,282.19,20201025,7652
12,12,배추김치,조식,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.75,20201025,7652
13,13,사과 주스,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,20201025,7652
14,14,배추김치,석식,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.75,20201025,7652
15,15,"요구르트,떠먹는형",조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,20201025,7652
16,16,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,20201025,7652
17,17,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.3,20201026,7652
18,18,밀쌀밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.85,20201026,7652
19,19,현미밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.82,20201026,7652
20,20,계란국,조식,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.41,20201026,7652
21,21,무청시래기국,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44.57,20201026,7652
22,22,북어미역국,석식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.86,20201026,7652
23,23,단무지무침,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36.77,20201026,7652
24,24,채소스틱,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,20201026,7652
25,25,연두부,석식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.8,20201026,7652
26,26,즉석자장소스,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,415.8,20201026,7652
27,27,돼지고기가지볶음,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,422.64,20201026,7652
28,28,브로콜리게맛살튀김,석식,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,350.23,20201026,7652
29,29,배추김치,조식,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.75,20201026,7652
30,30,배추김치,중식,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.75,20201026,7652
31,31,배추김치,석식,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13.75,20201026,7652
