,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,거봉포도,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.61kcal,2021-09-25,3296
1,1,오이양파장아찌,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8kcal,2021-09-25,3296
2,2,레몬에이드,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26kcal,2021-09-25,3296
3,3,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,2021-09-25,3296
4,4,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-26,3296
5,5,찹쌀밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.54kcal,2021-09-26,3296
6,6,밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-26,3296
7,7,두부김치국,조식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.02kcal,2021-09-26,3296
8,8,건새우아욱된장국,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5kcal,2021-09-26,3296
9,9,콩나물두부국,석식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29kcal,2021-09-26,3296
10,10,꽈리고추멸치볶음,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81.96kcal,2021-09-26,3296
11,11,두부김치,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,209.51kcal,2021-09-26,3296
12,12,쇠고기불고기,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,154.9kcal,2021-09-26,3296
13,13,쇠고기감자조림,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,101.34kcal,2021-09-26,3296
14,14,콩나물매운무침,중식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.22kcal,2021-09-26,3296
15,15,배추겉절이,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.16kcal,2021-09-26,3296
16,16,열무김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8kcal,2021-09-26,3296
17,17,열무김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8kcal,2021-09-26,3296
18,18,열무김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8kcal,2021-09-26,3296
19,19,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-26,3296
20,20,파인애플에이드 190ml,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2021-09-26,3296
21,21,라면,석식,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,365kcal,2021-09-26,3296
22,22,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-27,3296
23,23,밀쌀밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.83kcal,2021-09-27,3296
24,24,밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-27,3296
25,25,감자짜글이,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,132.75kcal,2021-09-27,3296
26,26,사골곰탕,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.4kcal,2021-09-27,3296
27,27,대파국,석식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.53kcal,2021-09-27,3296
28,28,맛김,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,2021-09-27,3296
29,29,비빔만두,중식,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,601.12kcal,2021-09-27,3296
30,30,양념통닭,석식,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,632.93kcal,2021-09-27,3296
31,31,두부조림,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120.43kcal,2021-09-27,3296
