,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,우유,중식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-29,6176
1,1,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-30,6176
2,2,잡곡밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.52kcal,2021-09-30,6176
3,3,핫도그빵,석식,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,633.77kcal,2021-09-30,6176
4,4,콩나물국,조식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24kcal,2021-09-30,6176
5,5,돼지불고기,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,304.68kcal,2021-09-30,6176
6,6,가공우유,석식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167kcal,2021-09-30,6176
7,7,감자채볶음,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.51kcal,2021-09-30,6176
8,8,파겉절이,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.43kcal,2021-09-30,6176
9,9,콘푸로스트,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.55kcal,2021-09-30,6176
10,10,호박쇠고기볶음,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,83.53kcal,2021-09-30,6176
11,11,무생채,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49kcal,2021-09-30,6176
12,12,사인머스켓,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5kcal,2021-09-30,6176
13,13,맛김,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,2021-09-30,6176
14,14,모듬쌈,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67.77kcal,2021-09-30,6176
15,15,우유,석식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-30,6176
16,16,열무김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8kcal,2021-09-30,6176
17,17,갓김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52kcal,2021-09-30,6176
18,18,생수,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,2021-09-30,6176
19,19,가공우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126kcal,2021-09-18,6176
20,20,콩나물국,중식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24kcal,2021-09-18,6176
21,21,명태매운탕,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,102.48kcal,2021-09-18,6176
22,22,콘푸로스트,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.55kcal,2021-09-18,6176
23,23,닭갈비,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,219.4kcal,2021-09-18,6176
24,24,오삼불고기,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,358.21kcal,2021-09-18,6176
25,25,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-18,6176
26,26,깻잎조림,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94kcal,2021-09-18,6176
27,27,애호박나물,석식,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.9kcal,2021-09-18,6176
28,28,감자조림,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50.75kcal,2021-09-18,6176
29,29,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5kcal,2021-09-18,6176
