,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.000,20200312,6335
1,1,콩나물밥&달래양념장 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,454.150,20200312,6335
2,2,새우버거 ,석식,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1123.530,20200312,6335
3,3,쇠고기버섯들깨탕 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97.460,20200312,6335
4,4,근대된장국 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.030,20200312,6335
5,5,혼합시리얼,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.000,20200312,6335
6,6,맛김,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.250,20200312,6335
7,7,오징어볶음 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,261.290,20200312,6335
8,8,생선묵조림 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.990,20200312,6335
9,9,배추김치 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200312,6335
10,10,배추김치 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200312,6335
11,11,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.000,20200313,6335
12,12,잡곡밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.390,20200313,6335
13,13,밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.000,20200313,6335
14,14,조갯살미역국 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.950,20200313,6335
15,15,김치찌개 ,중식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,160.860,20200313,6335
16,16,순두부국 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,78.610,20200313,6335
17,17,햄슬라이스야채볶음 ,조식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,224.440,20200313,6335
18,18,떡볶이 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475.090,20200313,6335
19,19,돼지고기가지볶음 ,석식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,346.960,20200313,6335
20,20,오이부추무침 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.320,20200313,6335
21,21,연근튀김 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.350,20200313,6335
22,22,시금치무침 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.160,20200313,6335
23,23,배추김치 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200313,6335
24,24,깍두기 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.100,20200313,6335
25,25,배추김치 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200313,6335
26,26,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.000,20200314,6335
27,27,밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.000,20200314,6335
28,28,조밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.960,20200314,6335
29,29,콩나물국 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.410,20200314,6335
30,30,광어매운탕 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.030,20200314,6335
31,31,닭고기육개장 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,226.910,20200314,6335
32,32,맛김,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.250,20200314,6335
33,33,새송이버섯야채볶음 ,중식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119.740,20200314,6335
34,34,호박볶음 ,석식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103.620,20200314,6335
35,35,계란찜 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.290,20200314,6335
36,36,중화식잡채 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,189.570,20200314,6335
37,37,양파간장절임 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.910,20200314,6335
38,38,깍두기 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.100,20200314,6335
39,39,배추김치 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200314,6335
40,40,배추김치 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200314,6335
41,41,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.000,20200315,6335
42,42,현미밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.260,20200315,6335
43,43,밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.000,20200315,6335
44,44,생선묵국 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.840,20200315,6335
45,45,비엔나소시지찌개 ,중식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135.490,20200315,6335
46,46,아욱고추장찌개 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.650,20200315,6335
47,47,돈육표고장조림 ,조식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,302.590,20200315,6335
48,48,두부조림 ,중식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103.910,20200315,6335
49,49,갈릭새우살버터볶음 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.380,20200315,6335
50,50,무생채 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.640,20200315,6335
51,51,부추겉절이 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.740,20200315,6335
52,52,감자매운조림 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.590,20200315,6335
53,53,배추김치 ,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200315,6335
54,54,백김치 ,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.800,20200315,6335
55,55,배추김치 ,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.500,20200315,6335
