,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,쇠고기부추무침,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,223.99kcal,2021-09-17,8623
1,1,고등어순살조림,중식,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,142.9kcal,2021-09-17,8623
2,2,방울토마토샐러드,석식,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70.85kcal,2021-09-17,8623
3,3,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10kcal,2021-09-17,8623
4,4,갓김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52kcal,2021-09-17,8623
5,5,깍두기,석식,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.2kcal,2021-09-17,8623
6,6,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-17,8623
7,7,감귤 주스,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180kcal,2021-09-17,8623
8,8,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-19,8623
9,9,찰보리밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378.8kcal,2021-09-19,8623
10,10,밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-19,8623
11,11,쇠고기미역국,조식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.33kcal,2021-09-19,8623
12,12,순두부국,중식,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.54kcal,2021-09-19,8623
13,13,감자호박국,석식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.57kcal,2021-09-19,8623
14,14,비엔나소시지야채볶음,조식,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,282.58kcal,2021-09-19,8623
15,15,중화풍삼겹살조림,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,487.79kcal,2021-09-19,8623
