,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-03,3389
1,1,흑미밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.25kcal,2021-09-03,3389
2,2,현미밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.51kcal,2021-09-03,3389
3,3,중화식계란탕,조식,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.98kcal,2021-09-03,3389
4,4,버섯쇠고기찌개,중식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58.19kcal,2021-09-03,3389
5,5,닭곰탕,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,164.11kcal,2021-09-03,3389
6,6,돼지고기청경채볶음,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,300kcal,2021-09-03,3389
7,7,마파두부,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,228.81kcal,2021-09-03,3389
8,8,멸치볶음,석식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71.32kcal,2021-09-03,3389
9,9,맛김,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,2021-09-03,3389
10,10,오징어채볶음,중식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,79.81kcal,2021-09-03,3389
11,11,돼지고기김치찜,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,270.33kcal,2021-09-03,3389
12,12,감자조림,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87.24kcal,2021-09-03,3389
13,13,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9kcal,2021-09-03,3389
14,14,열무김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84kcal,2021-09-03,3389
15,15,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9kcal,2021-09-03,3389
16,16,아이스샌드,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252kcal,2021-09-03,3389
17,17,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-03,3389
18,18,핫도그빵,조식,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,914.88kcal,2021-09-04,3389
19,19,잡곡밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.79kcal,2021-09-04,3389
20,20,김치덮밥,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,573.36kcal,2021-09-04,3389
21,21,삶은계란,조식,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.18kcal,2021-09-04,3389
22,22,바싹불고기/파채,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,313.84kcal,2021-09-04,3389
23,23,감자조림,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87.24kcal,2021-09-04,3389
