,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,열무된장국,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55.26kcal,2021-09-26,7369
1,1,쇠고기무국,중식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75.42kcal,2021-09-26,7369
2,2,콩나물닭볶음,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,335.62kcal,2021-09-26,7369
3,3,돼지고기부추볶음,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,298.31kcal,2021-09-26,7369
4,4,오징어채볶음,중식,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,115.6kcal,2021-09-26,7369
5,5,상추겉절이,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.22kcal,2021-09-26,7369
6,6,마파두부,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,165.72kcal,2021-09-26,7369
7,7,백김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12kcal,2021-09-26,7369
8,8,가공우유,석식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167kcal,2021-09-26,7369
9,9,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25kcal,2021-09-26,7369
10,10,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25kcal,2021-09-26,7369
11,11,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-26,7369
12,12,가공우유,석식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167kcal,2021-09-26,7369
13,13,감귤 주스,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180kcal,2021-09-26,7369
14,14,간장계란밥,조식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,574.4kcal,2021-09-27,7369
15,15,밥1,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-27,7369
