,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75kcal,2021-09-17,5322
1,1,"우유,살균형",중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154kcal,2021-09-17,5322
2,2,무초절이,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.67kcal,2021-09-17,5322
3,3,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-17,5322
4,4,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75kcal,2021-09-17,5322
5,5,라면,조식,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,365kcal,2021-09-17,5322
6,6,핫도그빵,조식,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,883.11kcal,2021-09-18,5322
7,7,밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.15kcal,2021-09-18,5322
8,8,후리카케밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.57kcal,2021-09-18,5322
9,9,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-18,5322
10,10,돼지고기수육,중식,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,641.95kcal,2021-09-18,5322
11,11,돈가스,석식,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,451.63kcal,2021-09-18,5322
12,12,콩나물매운무침,중식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.12kcal,2021-09-18,5322
13,13,야채샐러드,석식,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,46.59kcal,2021-09-18,5322
14,14,상추쌈,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51.57kcal,2021-09-18,5322
15,15,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75kcal,2021-09-18,5322
16,16,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75kcal,2021-09-18,5322
17,17,거봉포도,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.61kcal,2021-09-18,5322
18,18,우유,중식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-18,5322
19,19,밥1,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-19,5322
20,20,잡곡밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.81kcal,2021-09-19,5322
21,21,돼지고기부추덮밥,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,973.72kcal,2021-09-19,5322
22,22,쇠고기미역국,조식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.08kcal,2021-09-19,5322
23,23,김치찌개,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,129.74kcal,2021-09-19,5322
24,24,콩나물김치국,석식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.65kcal,2021-09-19,5322
25,25,비엔나소시지야채볶음,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,326.76kcal,2021-09-19,5322
26,26,쇠고기불고기,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,163.72kcal,2021-09-19,5322
27,27,두부조림,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189.23kcal,2021-09-19,5322
28,28,김자반,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5kcal,2021-09-19,5322
29,29,계란찜,중식,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.59kcal,2021-09-19,5322
30,30,열무김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16kcal,2021-09-19,5322
31,31,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75kcal,2021-09-19,5322
32,32,야채스틱앤저염쌈장,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52kcal,2021-09-19,5322
33,33,감귤 주스,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180kcal,2021-09-19,5322
34,34,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-19,5322
35,35,우유,중식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-19,5322
36,36,밥1,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-20,5322
37,37,흑미밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.88kcal,2021-09-20,5322
38,38,검은콩밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.61kcal,2021-09-20,5322
39,39,쇠고기당면국,조식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.27kcal,2021-09-20,5322
40,40,감자탕,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,380.69kcal,2021-09-20,5322
41,41,새송이버섯야채볶음,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,234.81kcal,2021-09-20,5322
42,42,돼지고기김치볶음,조식,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,225.19kcal,2021-09-20,5322
43,43,게맛살마요무침,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59kcal,2021-09-20,5322
44,44,궁중닭찜,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,270.29kcal,2021-09-20,5322
45,45,맛김,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,2021-09-20,5322
46,46,콩나물매운무침,중식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.12kcal,2021-09-20,5322
47,47,연두부양념장,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83.72kcal,2021-09-20,5322
48,48,감자조림,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129.96kcal,2021-09-20,5322
49,49,열무김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16kcal,2021-09-20,5322
50,50,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75kcal,2021-09-20,5322
51,51,감귤 주스,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180kcal,2021-09-20,5322
52,52,감귤 주스,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,180kcal,2021-09-20,5322
53,53,떡만둣국,조식,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,535.12kcal,2021-09-21,5322
54,54,잡곡밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.81kcal,2021-09-21,5322
55,55,잡곡밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.81kcal,2021-09-21,5322
56,56,오징어젓무침,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.05kcal,2021-09-21,5322
57,57,잡채,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,159.07kcal,2021-09-21,5322
58,58,김치찌개,석식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,129.74kcal,2021-09-21,5322
59,59,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75kcal,2021-09-21,5322
60,60,조기튀김,중식,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,248.96kcal,2021-09-21,5322
61,61,청양마요치킨,석식,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,455.88kcal,2021-09-21,5322
62,62,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-21,5322
63,63,소양념갈비,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730kcal,2021-09-21,5322
64,64,무초절이,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.67kcal,2021-09-21,5322
65,65,백김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12kcal,2021-09-21,5322
66,66,야채샐러드,석식,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,46.59kcal,2021-09-21,5322
67,67,"포도,신선형",중식,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47.61kcal,2021-09-21,5322
68,68,사이다,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5kcal,2021-09-21,5322
69,69,간장계란밥,조식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,486.65kcal,2021-09-22,5322
70,70,밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.15kcal,2021-09-22,5322
71,71,잡곡밥,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.81kcal,2021-09-22,5322
72,72,쇠고기감자국,조식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43.34kcal,2021-09-22,5322
73,73,돼지불고기,중식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,497.92kcal,2021-09-22,5322
74,74,생선묵국,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67.04kcal,2021-09-22,5322
75,75,마요오징어실채무침,조식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,90.2kcal,2021-09-22,5322
