,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤,맛
1310,오이풋고추된장무침 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,6.25,2.5,1.25,5.0,0.0,7
1311,오이피클,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,8.88888888888889,0.0,0.0,236.44444444444449,0.0,9
1312,미트볼튀김 ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,490.0,33.04651162790697,30.76744186046512,20.511627906976745,1800.4651162790697,74.06976744186046,6
1313,가지굴소스볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,10.571428571428571,3.0539682539682538,1.0571428571428572,0.0,0.0,7
1314,만두탕수 ,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,614.0,42.93008130081301,36.93983739837398,26.95609756097561,0.0,0.0,6
1315,햄치즈,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1301.0,42.81772151898734,75.75443037974684,111.98481012658227,3326.6075949367087,279.9620253164557,8
1316,낙지볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0,6.97119341563786,9.506172839506172,9.506172839506172,1243.4074074074074,15.843621399176955,11
1317,명태무찌개 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.0,9.469565217391304,5.611594202898551,8.066666666666666,301.6231884057971,0.0,3
1318,낙지연포탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0.0,0.0,0.0,0.0,0.0,10
1319,오징어실채케찹볶음 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,155.0,22.545454545454547,0.0,8.454545454545455,653.8181818181819,93.0,3
1320,꼬꼬떡만둣국 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,633.0,111.408,11.1408,20.256,2005.344,123.5616,4
1321,쇠고기가지볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,167.0,5.273684210526316,8.789473684210526,15.821052631578947,585.3789473684211,130.0842105263158,7
1322,장어순살강정 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.0,123.6,0.0,10.3,206.0,0.0,6
1323,시래기된장국 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107.0,9.59163346613546,5.968127490039841,4.049800796812749,170.9442231075697,0.0,10
1324,갑오징어가지굴소스볶음 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,112.0,8.96,4.48,7.84,448.0,67.2,4
1325,육우갈비탕 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.0,11.76824034334764,30.401287553648068,32.362660944206006,1338.637339055794,121.60515021459229,6
