날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-25","사인머스켓","90kcal","감자양파찌개(05)(06)","70.03kcal","버섯쇠고기찌개(05)(06)(16)","78.72kcal","","","2746.60kcal"
"2021-09-25","우유(백색우유(200ML,연간))(02)","244kcal","쇠고기불고기(05)(06)(16)","300.59kcal","계란찜(01)(09)","88.45kcal","","","2746.60kcal"
"2021-09-25","커피음료","","계란말이(01)","60.53kcal","닭고기야채조림(05)(06)(15)","245.84kcal","","","2746.60kcal"
"2021-09-25","","","갓김치","11.52kcal","배추김치(7~9월)","9.5kcal","","","2746.60kcal"
"2021-09-26","김치덮밥(05)(06)(10)","614.49kcal","잡곡밥","378.29kcal","밥","363kcal","","","2619.27kcal"
"2021-09-26","조개국(01)(05)","49.69kcal","감자호박국(05)(09)","32.16kcal","들깨미역국(05)","90.32kcal","","","2619.27kcal"
"2021-09-26","오징어채간장볶음(01)(05)(06)(17)","96.26kcal","돼지고기고추장볶음(05)(06)(10)","455.68kcal","닭갈비(05)(06)(15)","306.55kcal","","","2619.27kcal"
"2021-09-26","깍두기(완제품)(09)","15.2kcal","배추된장무침(05)(06)","41.26kcal","콩나물매운무침(05)(06)","32.07kcal","","","2619.27kcal"
"2021-09-26","우유(백색우유(200ML,연간))(02)","122kcal","열무김치","12.8kcal","배추김치(7~9월)","9.5kcal","","","2619.27kcal"
"2021-09-27","밥","363kcal","잡채볶음밥","727.63kcal","찹쌀밥","391.72kcal","","","2983.61kcal"
"2021-09-27","부대찌개(05)(06)(10)","176.99kcal","북어채국(05)","20.34kcal","생선묵국(05)(06)","63.95kcal","","","2983.61kcal"
"2021-09-27","조미김","0kcal","오이양파장아찌(05)(06)","28.37kcal","떡볶이(05)(06)","286.08kcal","","","2983.61kcal"
"2021-09-27","돈육표고장조림(05)(06)(10)","223.92kcal","배추김치(7~9월)","9.5kcal","야채튀김(06)(12)","380.34kcal","","","2983.61kcal"
"2021-09-27","오이무침","19.49kcal","복숭아 주스(340㎖/캔)","81kcal","삶은계란(01)","70.28kcal","","","2983.61kcal"
"2021-09-27","배추김치(7~9월)","9.5kcal","","","배추김치(7~9월)","9.5kcal","","","2983.61kcal"
"2021-09-27","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2983.61kcal"
"2021-09-28","밥","363kcal","자장면(05)(06)(10)","803.2kcal","찰보리밥","386.7kcal","","","2873.72kcal"
"2021-09-28","쇠고기무국(05)(16)","36.62kcal","해물짬뽕찌개(05)(06)(17)(18)","92.45kcal","강된장찌개(05)(06)","131.12kcal","","","2873.72kcal"
"2021-09-28","버섯호박볶음(05)(06)(09)","45.81kcal","삶은계란(01)","70.28kcal","삼겹살구이(05)(06)(10)","480.53kcal","","","2873.72kcal"
"2021-09-28","오징어볶음(05)(06)(17)","216.33kcal","단무지","11.16kcal","모듬야채","17.02kcal","","","2873.72kcal"
"2021-09-28","김자반","43kcal","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","","","2873.72kcal"
"2021-09-28","배추김치(7~9월)","9.5kcal","우유(백색우유(200ML,연간))(02)","122kcal","망고 주스(180㎖/캔)","26kcal","","","2873.72kcal"
"2021-09-29","밥","363kcal","하이라이스(01)(05)(06)(10)","981.76kcal","흑미밥","381.75kcal","","","3322.83kcal"
"2021-09-29","계란국(01)(05)","76.56kcal","돼지고기김치찌개(05)(06)(10)","75.6kcal","콩나물김치국(05)","16.18kcal","","","3322.83kcal"
"2021-09-29","비엔나소시지야채볶음(10)","169.82kcal","오이파프리카무침(05)(06)","12.35kcal","소양념갈비","730kcal","","","3322.83kcal"
"2021-09-29","닭고기감자조림(05)(06)(15)","221.63kcal","배추김치(7~9월)","9.5kcal","감자샐러드(01)","138.06kcal","","","3322.83kcal"
"2021-09-29","배추김치(7~9월)","9.5kcal","","","백김치","15.12kcal","","","3322.83kcal"
"2021-09-29","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3322.83kcal"
"2021-09-30","밥","363kcal","비빔밥(05)(06)(16)","648.02kcal","햄치즈버거(01)(02)(06)(10)(12)","829.47kcal","","","3155.60kcal"
"2021-09-30","쇠고기미역국(05)(16)","29.49kcal","계란국(01)(05)","76.56kcal","감자튀김","444.61kcal","","","3155.60kcal"
"2021-09-30","두부김치(05)(06)(10)","375.2kcal","함박스테이크","0kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","3155.60kcal"
"2021-09-30","느타리버섯볶음","71.3kcal","갓김치","11.52kcal","","","","","3155.60kcal"
"2021-09-30","조미김","0kcal","사과(홍로)","47.232kcal","","","","","3155.60kcal"
"2021-09-30","깍두기(완제품)(09)","15.2kcal","","","","","","","3155.60kcal"
"2021-09-10","멸치볶음(05)(06)","61.93kcal","깍두기(완제품)(09)","15.2kcal","오징어튀김(05)(06)","375.96kcal","","","2669.55kcal"
"2021-09-10","조미김","0kcal","","","상추쌈","1.35kcal","","","2669.55kcal"
"2021-09-10","배추김치(7~9월)","9.5kcal","","","배추김치(7~9월)","9.5kcal","","","2669.55kcal"
"2021-09-10","우유(백색우유(200ML,연간))(02)","122kcal","","","감귤 주스(340㎖/ 페트)","44kcal","","","2669.55kcal"
"2021-09-11","핫도그빵(01)(06)(10)(12)","771.88kcal","닭고기덮밥(01)(05)(06)(15)","662.99kcal","김치덮밥(05)(06)(10)","614.49kcal","","","2848.63kcal"
"2021-09-11","가공우유(초코맛)(02)","126kcal","버섯육개장(05)(06)","41.29kcal","계란국(01)(05)","76.56kcal","","","2848.63kcal"
"2021-09-11","소시지","251kcal","꽈리고추건새우볶음(05)(06)","83.07kcal","순두부양념장(05)(06)","69.37kcal","","","2848.63kcal"
"2021-09-11","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","열무김치","12.8kcal","","","2848.63kcal"
"2021-09-11","바나나(3사교)","7.68kcal","","","","","","","2848.63kcal"
"2021-09-12","돼지고기덮밥(05)(06)(10)","807.25kcal","잡곡밥","378.29kcal","밥","363kcal","","","2721.38kcal"
"2021-09-12","두부김치국(05)","28.59kcal","명태매운탕(05)(06)","117.36kcal","감자짜글이(05)(06)(10)","119.3kcal","","","2721.38kcal"
"2021-09-12","계란찜(01)(09)","88.45kcal","쇠고기느타리버섯잡채(05)(06)(16)","337.72kcal","궁중닭찜(05)(06)(15)","229.82kcal","","","2721.38kcal"
"2021-09-12","배추김치(7~9월)","9.5kcal","오이고추장무침(06)","21.71kcal","무나물(05)(06)","53.39kcal","","","2721.38kcal"
"2021-09-12","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","","","2721.38kcal"
"2021-09-12","망고 주스(180㎖/캔)","26kcal","","","","","","","2721.38kcal"
"2021-09-13","깐풍버섯덮밥(05)(06)(16)","655.3kcal","찹쌀밥","391.72kcal","밥","363kcal","","","2742.62kcal"
"2021-09-13","두부고추장찌개(05)(06)(10)","99.91kcal","콩나물국(05)","12.86kcal","매운버섯국(05)(06)","44.71kcal","","","2742.62kcal"
"2021-09-13","무생채","27.43kcal","참치김치볶음(05)(06)","49.2kcal","소시지야채볶음(05)(06)(10)","233.71kcal","","","2742.62kcal"
"2021-09-13","배추김치(7~9월)","9.5kcal","연근닭순살조림(05)(06)(15)","187.02kcal","제육볶음(05)(06)(10)","485.56kcal","","","2742.62kcal"
"2021-09-13","우유(백색우유(200ML,연간))(02)","122kcal","열무김치","12.8kcal","배추김치(7~9월)","9.5kcal","","","2742.62kcal"
"2021-09-13","","","짜먹는요구르트(02)","38.4kcal","","","","","2742.62kcal"
"2021-09-14","밥","363kcal","쫄면(05)(06)","723.36kcal","찰보리밥","386.7kcal","","","3048.99kcal"
"2021-09-14","쇠고기감자국(05)(16)","46.93kcal","돈가스(06)(10)","534.51kcal","두부김치국(05)","28.59kcal","","","3048.99kcal"
"2021-09-14","비엔나소시지케찹볶음(10)(12)","221.89kcal","삶은계란(01)","70.28kcal","돼지불고기(05)(06)(10)","411.69kcal","","","3048.99kcal"
"2021-09-14","조미김","0kcal","열무김치","12.8kcal","풋고추/쌈장(05)(06)","55.89kcal","","","3048.99kcal"
"2021-09-14","오이파프리카무침(05)(06)","12.35kcal","배 주스(238㎖/캔)","40kcal","배추김치(7~9월)","9.5kcal","","","3048.99kcal"
"2021-09-14","배추김치(7~9월)","9.5kcal","","","","","","","3048.99kcal"
"2021-09-14","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3048.99kcal"
"2021-09-15","밥","363kcal","잡곡밥","378.29kcal","밥","363kcal","","","3283.85kcal"
"2021-09-15","어묵콩나물국(05)(06)(09)","60.89kcal","두부고추장찌개(05)(06)(10)","99.91kcal","매운버섯국(05)(06)","44.71kcal","","","3283.85kcal"
"2021-09-15","조미김","0kcal","궁중떡볶이(05)(06)(16)","383.02kcal","돼지목살폭찹(05)(06)(10)","385.64kcal","","","3283.85kcal"
"2021-09-15","돼지고기감자조림(05)(06)(10)","224.84kcal","닭강정(01)(06)(15)","612.3kcal","황태채무침","90.41kcal","","","3283.85kcal"
"2021-09-15","멸치매운양념조림(05)(06)","71.56kcal","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","","","3283.85kcal"
"2021-09-15","배추김치(7~9월)","9.5kcal","","","컵과일(사과, 거봉)","55.78kcal","","","3283.85kcal"
"2021-09-15","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3283.85kcal"
"2021-09-16","밥","363kcal","쇠고기야채볶음밥(05)(06)","522.79kcal","새우버거(01)(06)(09)(12)","947.13kcal","","","3153.44kcal"
"2021-09-16","쇠고기무국(05)(16)","36.62kcal","순두부오징어탕(05)(06)(09)(17)","118.53kcal","감자튀김","444.61kcal","","","3153.44kcal"
"2021-09-16","조미김","0kcal","단무지","11.16kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","3153.44kcal"
"2021-09-16","계란찜(01)(09)","88.45kcal","열무김치","12.8kcal","","","","","3153.44kcal"
"2021-09-16","닭고기김치찜(05)(06)(15)","169.15kcal","아이스크림, 떠먹는형","180kcal","","","","","3153.44kcal"
"2021-09-16","깍두기(완제품)(09)","15.2kcal","","","","","","","3153.44kcal"
"2021-09-17","밥","363kcal","밥1","181.5kcal","찰보리밥","386.7kcal","","","3136.07kcal"
"2021-09-17","닭곰탕(05)(15)","159.8kcal","떡만둣국(01)(05)(06)(10)(16)","475.67kcal","강된장찌개(05)(06)","131.12kcal","","","3136.07kcal"
"2021-09-17","두부김치(05)(06)(10)","375.2kcal","햄감자채볶음(10)","72.77kcal","돼지불고기(05)(06)(10)","411.69kcal","","","3136.07kcal"
"2021-09-17","콩나물무침(05)","31.04kcal","오징어젓무침(17)","49.99kcal","상추/깻잎쌈(05)(06)","68.09kcal","","","3136.07kcal"
"2021-09-17","열무김치","12.8kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.5kcal","","","3136.07kcal"
"2021-09-17","","","우유(백색우유(200ML,연간))(02)","122kcal","아이스크림 콘,완제품(02)","270kcal","","","3136.07kcal"
"2021-09-18","햄치즈버거(01)(02)(06)(10)(12)","829.47kcal","현미밥","397.49kcal","밥","363kcal","","","2725.48kcal"
"2021-09-18","가공우유(바나나맛)(02)","167kcal","조개국(01)(05)","49.69kcal","순두부해물찌개(01)(05)(17)","97.43kcal","","","2725.48kcal"
"2021-09-18","우유(백색우유(200ML,연간))(02)","122kcal","치즈불닭(05)(06)(15)","283.89kcal","돈육표고장조림(05)(06)(10)","223.92kcal","","","2725.48kcal"
"2021-09-18","거봉포도","63.48kcal","모듬야채(쌈장)(05)(06)","77.02kcal","풋고추된장무침(05)(06)","26.47kcal","","","2725.48kcal"
"2021-09-18","","","백김치","15.12kcal","배추김치(7~9월)","9.5kcal","","","2725.48kcal"
"2021-09-19","김치덮밥(05)(06)(10)","614.49kcal","잡곡밥","378.29kcal","밥","363kcal","","","2949.08kcal"
"2021-09-19","쇠고기미역국(05)(16)","29.49kcal","짬뽕찌개(05)(06)(17)","88.17kcal","감자호박국(05)(09)","32.16kcal","","","2949.08kcal"
"2021-09-19","계란찜(01)(09)","88.45kcal","야채샐러드(01)(12)","99.63kcal","오리불고기(05)(06)","356.81kcal","","","2949.08kcal"
"2021-09-19","열무김치","12.8kcal","데리야끼치킨(05)(06)(12)(15)","231.37kcal","오이부추무침(05)(06)","20.81kcal","","","2949.08kcal"
"2021-09-19","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","","","2949.08kcal"
"2021-09-19","","","포도,신선형(포도(811월))","47.61kcal","신라면블랙사발(용기라면, 다수공급자, 영내자증식, 농심, 101g)","445kcal","","","2949.08kcal"
"2021-09-20","삼겹살간장덮밥(01)(05)(06)(10)","866.8kcal","흑미밥","381.75kcal","밥","363kcal","","","2893.28kcal"
"2021-09-20","버섯육개장(05)(06)","41.29kcal","콩나물두부국(05)","25.05kcal","아귀탕(05)(06)","90.74kcal","","","2893.28kcal"
"2021-09-20","가지무침(05)(06)","22.38kcal","닭볶음탕(05)(06)(15)","241.15kcal","돼지고기부추볶음(05)(06)(10)","395.77kcal","","","2893.28kcal"
"2021-09-20","배추김치(7~9월)","9.5kcal","생선묵조림(05)(06)","90.29kcal","배추된장무침(05)(06)","41.26kcal","","","2893.28kcal"
"2021-09-20","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","열무김치","12.8kcal","","","2893.28kcal"
"2021-09-20","","","","","감귤 주스(180㎖/병)","180kcal","","","2893.28kcal"
"2021-09-21","밥1","181.5kcal","잡채밥(05)(06)(10)","689.03kcal","잡곡밥","378.29kcal","","","3151.14kcal"
"2021-09-21","사골떡왕만둣국(01)(05)(06)(10)","522.65kcal","콩나물국(05)","12.86kcal","돼지고기김치찌개(05)(06)(10)","75.6kcal","","","3151.14kcal"
"2021-09-21","버섯호박볶음(05)(06)(09)","45.81kcal","궁중닭찜(05)(06)(15)","229.82kcal","매운소갈비찜(05)(06)","455.79kcal","","","3151.14kcal"
"2021-09-21","오징어젓무침(17)","49.99kcal","배추김치(7~9월)","9.5kcal","배추겉절이(09)","26.3kcal","","","3151.14kcal"
"2021-09-21","깍두기(완제품)(09)","15.2kcal","케이크","324kcal","열무김치","12.8kcal","","","3151.14kcal"
"2021-09-21","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3151.14kcal"
"2021-09-22","찹쌀밥","391.72kcal","흑미밥","381.75kcal","밥","363kcal","","","2967.19kcal"
"2021-09-22","꼬리곰탕","383.42kcal","부대찌개(05)(06)(10)","176.99kcal","황태채미역국(05)","8.9kcal","","","2967.19kcal"
"2021-09-22","오징어채볶음(01)(05)(06)(17)","137.35kcal","스크램블에그(01)","118.53kcal","표고버섯돼지고기볶음(05)(06)(10)","381.67kcal","","","2967.19kcal"
"2021-09-22","콩나물매운무침(05)(06)","32.07kcal","오징어야채무침(05)(06)(17)","124.4kcal","풋고추/쌈장(05)(06)","55.89kcal","","","2967.19kcal"
"2021-09-22","깍두기(완제품)(09)","15.2kcal","열무김치","12.8kcal","배추김치(7~9월)","9.5kcal","","","2967.19kcal"
"2021-09-22","우유(백색우유(200ML,연간))(02)","122kcal","아이스샌드","252kcal","","","","","2967.19kcal"
"2021-09-23","간장계란밥(01)(05)(06)","474.37kcal","현미밥","397.49kcal","마파두부덮밥(05)(06)(10)","765.96kcal","","","3021.53kcal"
"2021-09-23","쇠고기콩나물국(05)(06)(16)","52.8kcal","쇠고기미역국(05)(16)","29.49kcal","무생채","27.43kcal","","","3021.53kcal"
"2021-09-23","오징어실채무침(06)(12)(17)","123.68kcal","꽈리고추멸치볶음(05)(06)","82.57kcal","게맛살샐러드(01)","178.16kcal","","","3021.53kcal"
"2021-09-23","배추김치(7~9월)","9.5kcal","양념통닭(01)(06)(15)","616.78kcal","배추김치(7~9월)","9.5kcal","","","3021.53kcal"
"2021-09-23","","","크림수프","0kcal","주스,망고코넛(340ml/캔)","122.3kcal","","","3021.53kcal"
"2021-09-23","","","배추김치(7~9월)","9.5kcal","","","","","3021.53kcal"
"2021-09-23","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3021.53kcal"
"2021-09-24","밥","363kcal","산채비빔밥(05)(06)(16)","490.74kcal","짬뽕밥(05)(06)(10)(17)","630.82kcal","","","3238.44kcal"
"2021-09-24","돼지고기김치찌개(05)(06)(10)","75.6kcal","쇠고기무국(05)(16)","36.62kcal","순두부백탕(01)(05)","78.44kcal","","","3238.44kcal"
"2021-09-24","햄야채볶음(01)(10)","141.96kcal","고등어카레튀김(06)","377.48kcal","치킨너겟(01)(06)(15)","579.91kcal","","","3238.44kcal"
"2021-09-24","조미김","0kcal","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","","","3238.44kcal"
"2021-09-24","참치마요(01)","40.07kcal","아이스크림 콘,완제품(02)","270kcal","","","","","3238.44kcal"
"2021-09-24","열무김치","12.8kcal","","","","","","","3238.44kcal"
"2021-09-24","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3238.44kcal"
"2021-09-25","불고기버거(01)(06)(10)(12)","797.72kcal","찰보리밥","386.7kcal","밥","363kcal","","","2746.60kcal"
"2021-08-27","마파두부덮밥(05)(06)(10)","816.21kcal","현미밥","397.49kcal","밥","363kcal","","","3134.05kcal"
"2021-08-27","어묵김칫국(05)(06)","56.78kcal","콩나물국(05)","12.86kcal","감자호박국(05)(09)","32.16kcal","","","3134.05kcal"
"2021-08-27","무생채","27.43kcal","햄감자채볶음(10)","73.63kcal","제육볶음(05)(06)(10)","485.56kcal","","","3134.05kcal"
"2021-08-27","배추김치(7~9월)","9.5kcal","고등어김치조림(05)(06)(07)","169.29kcal","오징어튀김(01)(06)","415.99kcal","","","3134.05kcal"
"2021-08-27","","","오이소박이","20.35kcal","배추김치(7~9월)","9.5kcal","","","3134.05kcal"
"2021-08-27","","","우유(백색우유(200ML,연간))(02)","122kcal","주스,망고코넛(340ml/캔)","122.3kcal","","","3134.05kcal"
"2021-08-28","핫도그빵(01)(06)(10)(12)","772.51kcal","밥","363kcal","잡곡밥","378.29kcal","","","2885.10kcal"
"2021-08-28","스크램블에그(01)","125.54kcal","들깨미역국(05)","90.32kcal","버섯쇠고기찌개(05)(06)(16)","96.02kcal","","","2885.10kcal"
"2021-08-28","우유(백색우유(200ML,연간))(02)","244kcal","비엔나소시지케찹볶음(10)(12)","257.59kcal","멸치매운양념조림(05)(06)","71.56kcal","","","2885.10kcal"
"2021-08-28","유산균 발효유(3사교)","84.5kcal","매쉬포테이토","56.8kcal","돈육표고장조림(05)(06)(10)","235.97kcal","","","2885.10kcal"
"2021-08-28","사인머스켓","90kcal","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","","","2885.10kcal"
"2021-08-29","간장계란밥(01)(05)(06)","478.94kcal","흑미밥","381.75kcal","밥","363kcal","","","2866.54kcal"
"2021-08-29","쇠고기무국(05)(16)","43.12kcal","두부고추장찌개(05)(06)(10)","98.99kcal","황태채미역국(05)","8.9kcal","","","2866.54kcal"
"2021-08-29","오징어실채무침(06)(12)(17)","128.43kcal","돼지고기장조림(05)(06)(10)","204.05kcal","표고버섯돼지고기볶음(05)(06)(10)","405.77kcal","","","2866.54kcal"
"2021-08-29","배추김치(7~9월)","9.5kcal","배추겉절이(09)","26.3kcal","계란찜(01)(09)","88.49kcal","","","2866.54kcal"
"2021-08-29","우유(백색우유(200ML,연간))(02)","122kcal","열무김치","12.8kcal","배추김치(7~9월)","9.5kcal","","","2866.54kcal"
"2021-08-29","","","배 주스(238㎖/캔)","40kcal","신라면블랙사발(용기라면, 다수공급자, 영내자증식, 농심, 101g)","445kcal","","","2866.54kcal"
"2021-08-30","밥","363kcal","찹쌀밥","391.72kcal","밥","363kcal","","","3241.07kcal"
"2021-08-30","꼬리곰탕","383.42kcal","부대찌개(05)(06)(10)","156.12kcal","콩나물국(05)","12.86kcal","","","3241.07kcal"
"2021-08-30","풋고추된장무침(05)(06)","33.35kcal","생선가스(01)(06)","498.4kcal","생선묵볶음(05)(06)","129.62kcal","","","3241.07kcal"
"2021-08-30","배추겉절이(09)","26.3kcal","오이고추장무침(06)","21.71kcal","매운소갈비찜(05)(06)(16)","481.27kcal","","","3241.07kcal"
"2021-08-30","깍두기(완제품)(09)","15.2kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.5kcal","","","3241.07kcal"
"2021-08-30","","","우유(백색우유(200ML,연간))(02)","122kcal","반건조고구마","218.4kcal","","","3241.07kcal"
"2021-08-31","밥","363kcal","비빔냉면(03)(06)","906.4kcal","찰보리밥","386.7kcal","","","3283.23kcal"
"2021-08-31","돼지고기김치찌개(05)(06)(10)","76.44kcal","돼지불고기(05)(06)(10)","423.74kcal","명태매운탕(05)(06)","112.06kcal","","","3283.23kcal"
"2021-08-31","버섯호박볶음(05)(06)(09)","45.81kcal","삶은계란(01)","70.28kcal","비엔나소시지야채볶음(10)(12)","187.97kcal","","","3283.23kcal"
"2021-08-31","닭고기야채조림(05)(06)(15)","245.84kcal","열무김치","12.8kcal","오이무침","19.49kcal","","","3283.23kcal"
"2021-08-31","깍두기(완제품)(09)","15.2kcal","초콜릿(3사교)","286kcal","배추김치(7~9월)","9.5kcal","","","3283.23kcal"
"2021-08-31","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3283.23kcal"
"2021-09-01","밥","363kcal","현미밥","397.49kcal","하이라이스(01)(05)(06)(10)","981.76kcal","","","3187.31kcal"
"2021-09-01","콩나물무채국(05)","23.28kcal","감자탕(김치)(05)(06)(10)","396.75kcal","해물짬뽕찌개(05)(06)(17)(18)","92.45kcal","","","3187.31kcal"
"2021-09-01","돼지불고기(05)(06)(10)","411.69kcal","생선묵볶음(05)(06)","126.5kcal","순두부양념장(추가)(05)(06)","72.07kcal","","","3187.31kcal"
"2021-09-01","계란찜(01)(09)","88.45kcal","오이양파장아찌(05)(06)","28.37kcal","배추김치(7~9월)","9.5kcal","","","3187.31kcal"
"2021-09-01","조미김","0kcal","깍두기(완제품)(09)","15.2kcal","컵과일(거봉)","46kcal","","","3187.31kcal"
"2021-09-01","열무김치","12.8kcal","","","","","","","3187.31kcal"
"2021-09-01","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3187.31kcal"
"2021-09-02","마파두부덮밥(05)(06)(10)","765.96kcal","찹쌀밥","391.72kcal","밥","363kcal","","","3140.46kcal"
"2021-09-02","쇠고기무국(05)(16)","36.62kcal","삼계탕(15)","814.72kcal","순두부찌개(01)(05)(06)(10)","128.02kcal","","","3140.46kcal"
"2021-09-02","무생채","27.43kcal","풋고추된장무침(05)(06)","26.47kcal","새송이버섯야채볶음(05)(06)","52.33kcal","","","3140.46kcal"
"2021-09-02","배추김치(7~9월)","9.5kcal","배추겉절이(09)","26.3kcal","조기순살튀김(06)","351.69kcal","","","3140.46kcal"
"2021-09-02","","","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.5kcal","","","3140.46kcal"
"2021-09-02","","","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3140.46kcal"
"2021-09-03","밥","363kcal","콩나물밥(05)(06)","404.62kcal","밥","363kcal","","","3146.62kcal"
"2021-09-03","어묵김칫국(05)(06)","56.78kcal","근대된장국(05)(06)(16)","42.85kcal","1.5소스 깐풍기(01)(05)(06)(15)","583.1kcal","","","3146.62kcal"
"2021-09-03","햄감자채볶음(10)","72.77kcal","두부김치(05)(06)(10)","375.2kcal","비엔나소시지감자조림(05)(06)(10)","151.89kcal","","","3146.62kcal"
"2021-09-03","오이고추장무침(06)","21.71kcal","갈치튀김(06)","330.27kcal","야채샐러드(01)(12)","99.63kcal","","","3146.62kcal"
"2021-09-03","열무김치","12.8kcal","깍두기(완제품)(09)","15.2kcal","배추김치(7~9월)","9.5kcal","","","3146.62kcal"
"2021-09-03","","","우유(백색우유(200ML,연간))(02)","122kcal","주스,망고코넛(340ml/캔)","122.3kcal","","","3146.62kcal"
"2021-09-04","불고기버거(01)(06)(10)(12)","797.72kcal","계란볶음밥(01)","525.77kcal","오징어덮밥(06)","596.79kcal","","","2964.11kcal"
"2021-09-04","가공우유(딸기맛)(02)","116kcal","감자양파찌개(05)(06)","70.03kcal","북어채국(05)","20.34kcal","","","2964.11kcal"
"2021-09-04","우유(백색우유(200ML,연간))(02)","122kcal","비엔나소시지구이(01)(10)(12)","281.1kcal","쇠고기새송이버섯볶음(05)(06)(16)","159.65kcal","","","2964.11kcal"
"2021-09-04","아이스크림 팩형(02)","234kcal","오이고추장무침(06)","21.71kcal","배추김치(7~9월)","9.5kcal","","","2964.11kcal"
"2021-09-04","","","배추김치(7~9월)","9.5kcal","","","","","2964.11kcal"
"2021-09-05","밥","363kcal","찰보리밥","386.7kcal","찹쌀밥","391.72kcal","","","2632.49kcal"
"2021-09-05","부대찌개(05)(06)(10)","176.99kcal","닭곰탕(05)(15)","159.8kcal","감자호박국(05)(09)","32.16kcal","","","2632.49kcal"
"2021-09-05","호박쇠고기볶음(05)(06)(16)","96.93kcal","멸치볶음(05)(06)","61.93kcal","돼지고기고추장볶음(05)(06)(10)","455.68kcal","","","2632.49kcal"
"2021-09-05","두부매운조림(05)(06)","122.08kcal","오징어야채무침(05)(06)(17)","124.4kcal","배추겉절이(09)","26.3kcal","","","2632.49kcal"
"2021-09-05","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","열무김치","12.8kcal","","","2632.49kcal"
"2021-09-05","우유(백색우유(200ML,연간))(02)","122kcal","복숭아 주스(340㎖/캔)","81kcal","","","","","2632.49kcal"
"2021-09-06","밥","363kcal","흑미밥","381.75kcal","밥","363kcal","","","2631.53kcal"
"2021-09-06","돼지고기김치찌개(05)(06)(10)","75.6kcal","나가사키짬뽕국(05)(09)(10)(17)","159.98kcal","닭고기육개장(05)(06)(15)","199.16kcal","","","2631.53kcal"
"2021-09-06","햄슬라이스야채볶음(10)","144.58kcal","탕수육(완제품용)(05)(06)(10)(12)","431.96kcal","감자채볶음","90.53kcal","","","2631.53kcal"
"2021-09-06","조미김","0kcal","오이무침","19.49kcal","고등어김치조림(05)(06)(07)","169.29kcal","","","2631.53kcal"
"2021-09-06","무나물(05)(06)","53.39kcal","배추김치(7~9월)","9.5kcal","열무김치","12.8kcal","","","2631.53kcal"
"2021-09-06","배추김치(7~9월)","9.5kcal","레몬에이드","26kcal","","","","","2631.53kcal"
"2021-09-06","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2631.53kcal"
"2021-09-07","간장계란밥(01)(05)(06)","474.37kcal","현미밥","397.49kcal","밥","363kcal","","","2838.13kcal"
"2021-09-07","두부고추장찌개(05)(06)(10)","99.91kcal","부대찌개(05)(06)(10)","176.99kcal","쇠고기육개장(01)(05)(06)(16)","89.97kcal","","","2838.13kcal"
"2021-09-07","멸치매운양념조림(05)(06)","71.56kcal","데리야끼치킨(05)(06)(12)(15)","231.37kcal","코다리조림(05)(06)","123.7kcal","","","2838.13kcal"
"2021-09-07","배추김치(7~9월)","9.5kcal","매쉬포테이토","52.93kcal","콩나물무침(05)","31.04kcal","","","2838.13kcal"
"2021-09-07","매일두유 검은콩 190ml","","배추김치(7~9월)","9.5kcal","열무김치","12.8kcal","","","2838.13kcal"
"2021-09-07","","","","","신라면블랙사발(용기라면, 다수공급자, 영내자증식, 농심, 101g)","445kcal","","","2838.13kcal"
"2021-09-07","","","","","건빵(참깨맛)","249kcal","","","2838.13kcal"
"2021-09-08","밥","363kcal","잡곡밥","378.29kcal","밥","363kcal","","","2843.15kcal"
