,메뉴이름,다른메뉴,조합점수
0,가공우유,감자샐러드,3.0
1,가공우유,갓김치,3.0
2,가공우유,거봉포도,2.0
3,가공우유,고등어순살조림,3.0
4,가공우유,궁중닭찜,3.0
5,가공우유,김장김치,2.8
6,가공우유,김치덮밥,3.0
7,가공우유,까르보나라떡볶이,3.0
8,가공우유,깍두기,3.0
9,가공우유,꽈리고추건새우볶음,3.0
10,가공우유,냉이국,3.0
11,가공우유,닭고기감자조림,3.0
12,가공우유,돈육표고장조림,3.0
13,가공우유,돼지고기감자조림,3.0
14,가공우유,돼지고기고추장볶음,3.0
15,가공우유,돼지고기김치찌개,3.0
16,가공우유,된장국,3.0
17,가공우유,두부고추장찌개,2.0
18,가공우유,두부김치,3.0
19,가공우유,두부김치국,3.0
20,가공우유,두부맑은국,3.0
21,가공우유,마파두부덮밥,4.0
22,가공우유,맛김,3.0
23,가공우유,무생채,3.0
24,가공우유,바나나,4.0
25,가공우유,밥,3.0
26,가공우유,배추김치,3.2
27,가공우유,배추된장국,3.0
28,가공우유,백김치,3.0
29,가공우유,버섯쇠고기찌개,3.0
30,가공우유,부대찌개,3.0
31,가공우유,북어채국,3.0
32,가공우유,불고기버거,2.0
33,가공우유,브로콜리초고추장,2.0
34,가공우유,비엔나소시지케찹볶음,3.0
35,가공우유,사과샐러드,3.0
36,가공우유,삼겹살간장덮밥,3.0
37,가공우유,생선가스,3.0
38,가공우유,생선묵볶음,3.0
39,가공우유,생선묵조림,3.0
40,가공우유,소스 깐풍기,3.5
41,가공우유,소시지,4.0
42,가공우유,쇠고기느타리버섯잡채,2.0
43,가공우유,쇠고기무국,3.0
44,가공우유,쇠고기미역국,3.0
45,가공우유,쇠고기육개장,3.0
46,가공우유,아이스크림 팩형,2.0
47,가공우유,오이고추장무침,3.0
48,가공우유,우유,2.6666666666666665
49,가공우유,잡곡밥,2.0
50,가공우유,찰보리밥,3.0
51,가공우유,총각김치,3.0
52,가공우유,코다리콩나물찜,3.0
53,가공우유,콩나물밥,3.0
54,가공우유,팽이버섯국,4.0
55,가공우유,핫도그빵,4.0
56,가공우유,햄슬라이스야채볶음,3.0
57,가공우유,햄야채볶음,3.0
58,가공우유,햄치즈버거,2.0
59,가공우유,현미밥,3.0
60,가공우유,흑미밥,3.0
61,가지무침,배추김치,4.0
62,가지무침,버섯육개장,4.0
63,가지무침,삼겹살간장덮밥,4.0
64,가지무침,우유,4.0
65,가지튀김,깍두기,3.0
66,가지튀김,마파두부덮밥,4.0
67,가지튀김,배추김치,3.5
68,가지튀김,순두부백탕,3.0
69,가지튀김,오징어찌개,4.0
70,가지튀김,우유,3.5
71,가지튀김,잡채밥,3.0
72,가지튀김,짬뽕밥,3.0
73,가지튀김,해물짬뽕찌개,3.0
74,간장계란밥,깍두기,5.0
75,간장계란밥,두부고추장찌개,3.0
76,간장계란밥,매일두유 검은콩 ,3.0
77,간장계란밥,멸치매운양념조림,3.0
78,간장계란밥,멸치볶음,5.0
79,간장계란밥,배추김치,3.0
80,간장계란밥,쇠고기무국,3.0
