,메뉴이름,다른메뉴,조합점수
0,가공우유,불고기버거,2.0
1,가공우유,사인머스켓,2.0
2,가공우유,새우버거,1.0
3,가공우유,식탁비치용 양념,1.0
4,가공우유,에너지바,1.0
5,가공우유,우유,1.8571428571428572
6,가공우유,임시,2.0
7,가공우유,콘푸로스트,1.8571428571428572
8,가공우유,핫도그빵,2.0
9,가공우유,햄치즈버거,1.75
10,가지굴소스볶음,갈치순살튀김,2.0
11,가지굴소스볶음,감자탕,2.0
12,가지굴소스볶음,건빵,2.0
13,가지굴소스볶음,귤주스,3.0
14,가지굴소스볶음,맛김,2.0
15,가지굴소스볶음,무나물,2.857142857142857
16,가지굴소스볶음,미역오이냉국,3.0
17,가지굴소스볶음,배추김치,2.857142857142857
18,가지굴소스볶음,복숭아,3.0
19,가지굴소스볶음,사인머스켓,2.0
20,가지굴소스볶음,생수,3.0
21,가지굴소스볶음,열무김치,2.0
22,가지굴소스볶음,잡곡밥,2.0
23,가지굴소스볶음,조기튀김,3.0
24,가지굴소스볶음,찰보리비빔밥,2.857142857142857
25,가지굴소스볶음,참외신선형,3.0
26,가지굴소스볶음,토마토신선형,2.0
27,가지굴소스볶음,황태채국,2.0
28,간장 돼지불고기,감귤,3.0
29,간장 돼지불고기,감자국,3.0
30,간장 돼지불고기,감자양파찌개,3.0
31,간장 돼지불고기,갓김치,3.0
32,간장 돼지불고기,김장김치,3.0
33,간장 돼지불고기,도라지오이무침,3.0
34,간장 돼지불고기,두부된장찌개,3.0
35,간장 돼지불고기,딸기,3.0
36,간장 돼지불고기,맛김,3.0
37,간장 돼지불고기,멜론,3.0
38,간장 돼지불고기,모듬쌈,3.0
39,간장 돼지불고기,모듬야채,3.0
40,간장 돼지불고기,무국,3.0
41,간장 돼지불고기,무생채,3.0
42,간장 돼지불고기,밥,3.0
43,간장 돼지불고기,배추김치,3.0
44,간장 돼지불고기,브로콜리초고추장,3.0
45,간장 돼지불고기,비타민음료,3.0
46,간장 돼지불고기,생수,3.0
47,간장 돼지불고기,순두부백탕,3.0
48,간장 돼지불고기,식탁비치용 양념,3.0
49,간장 돼지불고기,아이스크림 팩형,3.0
50,간장 돼지불고기,야채튀김,3.0
51,간장 돼지불고기,오이무침,3.0
52,간장 돼지불고기,오징어국,3.0
53,간장 돼지불고기,우유,3.0
54,간장 돼지불고기,잡곡밥,3.0
55,간장 돼지불고기,콩나물무침,3.0
56,간장 돼지불고기,파겉절이,3.0
57,간장 돼지불고기,파김치,3.0
58,간장 돼지불고기,풋고추된장무침,3.0
59,간장 돼지불고기,피크닉청포도 ,3.0
60,갈치순살튀김,가지굴소스볶음,2.0
61,갈치순살튀김,감귤,2.0
62,갈치순살튀김,감자탕,2.0
63,갈치순살튀김,김장김치,2.0
64,갈치순살튀김,김치찌개,1.0
65,갈치순살튀김,깍두기,1.0
66,갈치순살튀김,농후 발효유,1.0
67,갈치순살튀김,닭갈비,1.0
68,갈치순살튀김,닭볶음탕,2.0
69,갈치순살튀김,밥,1.0
70,갈치순살튀김,배추김치,2.0
71,갈치순살튀김,식탁비치용 양념,1.0
72,갈치순살튀김,오징어실채무침,2.0
73,갈치순살튀김,우유,2.0
74,갈치순살튀김,잡곡밥,2.0
75,갈치순살튀김,토마토신선형,2.0
76,감귤,간장 돼지불고기,3.0
77,감귤,갈치순살튀김,2.0
78,감귤,감자국,3.0
79,감귤,감자양파찌개,2.0
80,감귤,감자채볶음,4.0
81,감귤,고등어순살조림,4.0
82,감귤,김장김치,2.625
83,감귤,김치찌개,3.0
84,감귤,깍두기,3.0
85,감귤,단무지무침,3.0
86,감귤,닭곰탕,4.0
87,감귤,닭볶음탕,2.0
88,감귤,돼지고기고추장볶음,4.0
89,감귤,돼지불고기,3.0
90,감귤,두부된장찌개,3.0
91,감귤,두부조림,2.0
92,감귤,만두튀김,3.0
93,감귤,맛김,2.5
94,감귤,무생채,2.3333333333333335
95,감귤,밥,3.0
96,감귤,불고기덮밥,3.0
97,감귤,삼겹살구이,2.0
98,감귤,생우동,3.0
99,감귤,쇠고기불고기,2.0
100,감귤,식탁비치용 양념,2.6666666666666665
101,감귤,야채튀김,3.0
102,감귤,양배추쌈,2.0
103,감귤,오삼불고기,2.0
104,감귤,오징어국,3.0
105,감귤,오징어실채무침,2.0
106,감귤,우유,2.0
107,감귤,잡곡밥,2.0
108,감귤,잡채,3.0
109,감귤,콩나물무침,4.0
110,감귤,파겉절이,2.0
111,감귤,파김치,4.0
112,감귤 주스,감자계란국,1.5
113,감귤 주스,감자샐러드,2.0
114,감귤 주스,감자조림,3.0
115,감귤 주스,감자탕,3.0
116,감귤 주스,김장김치,2.3333333333333335
117,감귤 주스,김치볶음밥,1.5
118,감귤 주스,김치찌개,2.0
119,감귤 주스,깍두기,3.0
120,감귤 주스,꽈리고추찜,3.0
121,감귤 주스,닭고기단호박조림,3.0
122,감귤 주스,닭볶음탕,3.0
123,감귤 주스,데리야끼갈릭치킨,3.0
124,감귤 주스,돈가스,2.0
125,감귤 주스,돼지고기김치볶음,3.0
126,감귤 주스,돼지불고기,3.0
127,감귤 주스,라면,3.0
128,감귤 주스,마파가지덮밥,4.0
129,감귤 주스,명태순살튀김,3.0
130,감귤 주스,무초절이,3.0
131,감귤 주스,미트볼케찹조림,3.0
132,감귤 주스,밥,2.6666666666666665
133,감귤 주스,배추김치,3.0
134,감귤 주스,백김치,1.5
135,감귤 주스,버섯덮밥,3.0
136,감귤 주스,버섯쇠고기찌개,2.0
137,감귤 주스,볶음김치,3.0
138,감귤 주스,사골곰탕,3.0
139,감귤 주스,새우튀김,3.0
140,감귤 주스,생선묵찌개,2.5
141,감귤 주스,쇠고기육개장,3.0
142,감귤 주스,식탁비치용 양념,1.3333333333333333
143,감귤 주스,양배추쌈,3.0
144,감귤 주스,양파닭,1.0
145,감귤 주스,오리불고기,2.0
146,감귤 주스,오이부추무침,2.0
147,감귤 주스,오이소박이,3.0
148,감귤 주스,오징어국,3.0
149,감귤 주스,오징어젓무침,3.0
150,감귤 주스,오징어채볶음,3.0
151,감귤 주스,잡곡밥,3.0
152,감귤 주스,찹쌀밥,3.0
153,감귤 주스,총각김치,2.5
154,감귤 주스,카레밥,1.0
155,감귤 주스,코다리강정,3.0
156,감귤 주스,콩나물김치국,3.0
157,감귤 주스,파겉절이,3.0
158,감귤 주스,파닭,1.0
159,감자계란국,감귤 주스,1.5
160,감자계란국,감자조림,3.0
161,감자계란국,고추참치덮밥,2.6
162,감자계란국,김자반,2.0
163,감자계란국,김장김치,2.0
164,감자계란국,김치볶음밥,1.7777777777777777
165,감자계란국,깍두기,3.0
166,감자계란국,깐풍기,2.0
167,감자계란국,낙지야채볶음,2.0
168,감자계란국,단무지무침,2.0
169,감자계란국,닭간장소스찜,3.0
170,감자계란국,닭강정,2.2857142857142856
171,감자계란국,데리야끼갈릭치킨,1.4285714285714286
172,감자계란국,돼지고기김치볶음,3.3333333333333335
173,감자계란국,떠먹는 토핑형 발효유,1.0
174,감자계란국,레몬에이드,2.0
175,감자계란국,만두튀김,2.0
176,감자계란국,맛김,3.0
177,감자계란국,멕시칸샐러드,1.0
178,감자계란국,무생채,2.0
179,감자계란국,무초절이,1.75
180,감자계란국,밥,3.1666666666666665
181,감자계란국,배 주스,2.5
182,감자계란국,배추김치,2.375
183,감자계란국,백김치,2.0
184,감자계란국,버섯야채볶음,2.0
185,감자계란국,사과,1.0
186,감자계란국,스트링치즈,2.5
187,감자계란국,시금치무침,3.0
188,감자계란국,식탁비치용 양념,1.5
189,감자계란국,아이스크림 콘완제품,2.0
190,감자계란국,애호박나물,4.0
191,감자계란국,야채샐러드,2.0
192,감자계란국,양파닭,2.0
193,감자계란국,열무김치,1.0
194,감자계란국,오삼불고기,2.0
195,감자계란국,오이무침,2.0
196,감자계란국,오이양파장아찌,2.0
197,감자계란국,오징어덮밥,3.5
198,감자계란국,오징어젓무침,3.0
199,감자계란국,우유,3.4
200,감자계란국,이온음료,3.0
201,감자계란국,자장밥,1.3333333333333333
202,감자계란국,전투식량 형식단,1.0
203,감자계란국,주스망고코넛,1.0
204,감자계란국,주스카프리썬 사과,1.0
205,감자계란국,주스카프리썬 오렌지,2.0
206,감자계란국,짜먹는요구르트,0.0
207,감자계란국,참외신선형,2.0
208,감자계란국,총각김치,2.0
209,감자계란국,치킨마요덮밥,1.0
210,감자계란국,콩나물무침,4.0
211,감자계란국,탄산음료,3.0
212,감자계란국,탕수육,1.0
213,감자계란국,파닭,2.0
214,감자계란국,피크닉청포도 ,2.0
215,감자계란국,햄야채볶음,3.0
216,감자계란국,호박쇠고기볶음,2.0
217,감자계란국,흑미밥,2.0
218,감자국,간장 돼지불고기,3.0
219,감자국,감귤,3.0
220,감자국,계란찜,3.0
221,감자국,과일푸딩,3.0
222,감자국,김자반,3.0
223,감자국,김장김치,2.6666666666666665
224,감자국,깻잎조림,3.0
225,감자국,낙지야채볶음,3.0
226,감자국,닭갈비,1.0
227,감자국,돈육굴소스양배추볶음,3.0
228,감자국,딸기신선형,2.0
229,감자국,마파두부,3.0
230,감자국,맛김,3.0
231,감자국,망고 주스,1.0
232,감자국,멜론,3.0
233,감자국,무생채,3.0
234,감자국,밥,2.857142857142857
235,감자국,배추김치,2.7
236,감자국,새우살야채튀김,3.0
237,감자국,쇠고기불고기,2.0
238,감자국,스크램블에그,2.0
239,감자국,식탁비치용 양념,2.5
240,감자국,애호박나물,3.0
241,감자국,열무김치,3.0
242,감자국,오리불고기,3.0
243,감자국,오삼불고기,3.0
244,감자국,오이무침,2.0
245,감자국,오징어덮밥,2.0
246,감자국,오징어채무침,3.0
247,감자국,우유,2.75
248,감자국,잡곡밥,2.3333333333333335
249,감자국,제육덮밥,3.0
250,감자국,주스망고코넛,3.0
251,감자국,콩나물무침,2.5
252,감자국,탄산음료,3.0
253,감자국,풋고추된장무침,3.0
254,감자국,피크닉청포도 ,3.0
255,감자국,현미밥,3.0
256,감자국,호박쇠고기볶음,3.0
257,감자맛탕,과일샐러드,1.0
258,감자맛탕,김장김치,1.5
259,감자맛탕,깍두기,1.0
260,감자맛탕,농후 발효유,2.0
261,감자맛탕,레몬에이드,1.0
262,감자맛탕,배추김치,2.0
263,감자맛탕,버섯쇠고기찌개,2.0
264,감자맛탕,비타민음료,2.0
265,감자맛탕,생수,1.0
266,감자맛탕,쇠고기버섯죽,2.0
267,감자맛탕,스파게티,1.0
268,감자맛탕,식탁비치용 양념,1.5
269,감자맛탕,오징어젓무침,2.0
270,감자맛탕,짬뽕찌개,1.0
271,감자맛탕,통새우볶음밥,2.0
272,감자맛탕,햄야채볶음밥,1.0
273,감자샐러드,감귤 주스,2.0
274,감자샐러드,고기덮밥,3.0
275,감자샐러드,과일푸딩,5.0
276,감자샐러드,김장김치,2.6666666666666665
277,감자샐러드,김치찌개,3.0
278,감자샐러드,깍두기,3.2857142857142856
279,감자샐러드,닭고기육개장,3.0
280,감자샐러드,닭볶음탕,3.0
281,감자샐러드,돈가스,2.7857142857142856
282,감자샐러드,라면,3.0
283,감자샐러드,레몬에이드,3.0
284,감자샐러드,멜론,4.0
285,감자샐러드,무국,3.0
286,감자샐러드,밥,2.9
287,감자샐러드,배추김치,3.142857142857143
288,감자샐러드,북어채콩나물국,3.0
289,감자샐러드,사과,3.0
290,감자샐러드,생선가스,3.4285714285714284
291,감자샐러드,생선묵국,2.0
292,감자샐러드,쇠고기육개장,2.875
293,감자샐러드,식탁비치용 양념,2.5714285714285716
294,감자샐러드,식혜,3.0
295,감자샐러드,아이스크림 콘완제품,3.0
296,감자샐러드,에너지바,3.0
297,감자샐러드,열무김치,2.5
298,감자샐러드,오이소박이,3.0
299,감자샐러드,오이양파장아찌,2.0
300,감자샐러드,우유,3.2
301,감자샐러드,유림기,3.0
302,감자샐러드,유산균 발효 음료,3.0
303,감자샐러드,이온음료,2.6666666666666665
304,감자샐러드,잡곡밥,5.0
305,감자샐러드,주스카프리썬 오렌지,2.0
306,감자샐러드,참치김치찌개,3.0
307,감자샐러드,총각김치,2.6666666666666665
308,감자샐러드,콩나물무침,3.0
309,감자샐러드,햄버그스테이크,3.0
310,감자샐러드,호박고추장찌개,3.6666666666666665
311,감자샐러드,흑미밥,3.0
312,감자양파찌개,간장 돼지불고기,3.0
313,감자양파찌개,감귤,2.0
314,감자양파찌개,건빵,3.0
315,감자양파찌개,계란찜,2.0
316,감자양파찌개,김장김치,2.625
317,감자양파찌개,깻잎조림,3.0
318,감자양파찌개,꽈리고추찜,3.0
319,감자양파찌개,돼지고기고추장볶음,2.7
320,감자양파찌개,돼지고기김치볶음,4.0
321,감자양파찌개,돼지고기청경채볶음,3.0
322,감자양파찌개,돼지불고기,2.875
323,감자양파찌개,두부조림,1.0
324,감자양파찌개,딸기신선형,2.0
325,감자양파찌개,라면,3.0
326,감자양파찌개,마카롱,2.0
327,감자양파찌개,맛김,2.75
328,감자양파찌개,명태순살튀김,2.0
329,감자양파찌개,모듬쌈,3.5
330,감자양파찌개,모듬야채,2.4285714285714284
331,감자양파찌개,무생채,2.7
332,감자양파찌개,바나나,3.0
333,감자양파찌개,밥,2.793103448275862
334,감자양파찌개,배추김치,2.7142857142857144
335,감자양파찌개,복숭아,3.0
336,감자양파찌개,비타민음료,2.0
337,감자양파찌개,사과,3.0
338,감자양파찌개,삼겹살구이,2.5
339,감자양파찌개,생수,2.8
340,감자양파찌개,쇠고기버섯덮밥,3.0
341,감자양파찌개,시금치무침,3.0
342,감자양파찌개,식탁비치용 양념,2.5714285714285716
343,감자양파찌개,아이스샌드,2.5
344,감자양파찌개,아이스크림 떠먹는형,3.0
345,감자양파찌개,아이스크림 팩형,3.0
346,감자양파찌개,애호박나물,3.0
347,감자양파찌개,야채삼겹살볶음,2.5
348,감자양파찌개,야채튀김,3.0
349,감자양파찌개,양배추쌈,2.6666666666666665
350,감자양파찌개,에너지바,3.0
351,감자양파찌개,열무김치,2.6666666666666665
352,감자양파찌개,오리불고기,3.0
353,감자양파찌개,오삼불고기,2.6
354,감자양파찌개,오이무침,3.0
355,감자양파찌개,오이부추무침,3.0
356,감자양파찌개,우유,3.2222222222222223
357,감자양파찌개,유산균 발효 음료,3.0
358,감자양파찌개,잡곡밥,2.5
359,감자양파찌개,저염쌈장,3.0
360,감자양파찌개,주꾸미삼겹살볶음,3.0
361,감자양파찌개,주스자연은샤인머스캣,1.0
362,감자양파찌개,주스카프리썬 오렌지,2.5
363,감자양파찌개,즉석쌀국수,2.0
364,감자양파찌개,초콜릿,3.5
365,감자양파찌개,콩나물닭볶음,1.0
366,감자양파찌개,콩나물무침,3.3333333333333335
367,감자양파찌개,파겉절이,2.5384615384615383
368,감자양파찌개,파김치,3.5
369,감자양파찌개,포도신선형,3.0
370,감자양파찌개,풋고추된장무침,3.0
371,감자양파찌개,한우불고기,3.0
372,감자양파찌개,흑미밥,3.0
373,감자조림,감귤 주스,3.0
374,감자조림,감자계란국,3.0
375,감자조림,갑오징어야채무침,4.0
376,감자조림,거봉포도,3.0
377,감자조림,계란찜,4.0
378,감자조림,광어매운탕,3.0
379,감자조림,궁중떡볶이,3.0
380,감자조림,김자반,2.0
381,감자조림,김장김치,3.0
382,감자조림,김치찌개,3.3
383,감자조림,깍두기,3.4
384,감자조림,깻잎조림,3.0
385,감자조림,꼬리곰탕,4.0
386,감자조림,꽈리고추찜,3.0
387,감자조림,낙지야채볶음,2.5
388,감자조림,느타리버섯국,3.0
389,감자조림,닭갈비,3.0
390,감자조림,닭고기육개장,2.0
391,감자조림,닭곰탕,3.3333333333333335
392,감자조림,닭매운찜,3.0
393,감자조림,닭볶음탕,3.3333333333333335
394,감자조림,돼지갈비김치찜,4.0
395,감자조림,돼지고기강정,3.3333333333333335
396,감자조림,돼지고기김치볶음,3.6666666666666665
397,감자조림,돼지고기청경채볶음,5.0
398,감자조림,두부김치,2.5
399,감자조림,두부된장찌개,3.0
400,감자조림,떡볶이,3.0
401,감자조림,라면,3.0
402,감자조림,마요오징어실채무침,3.0
403,감자조림,마파두부,3.5
404,감자조림,맛김,2.5714285714285716
405,감자조림,멜론,4.0
406,감자조림,무국,3.0
407,감자조림,무생채,3.0
408,감자조림,미역국,5.0
409,감자조림,밥,3.3714285714285714
410,감자조림,배추김치,3.473684210526316
411,감자조림,배추된장국,5.0
412,감자조림,복숭아 주스,2.0
413,감자조림,북어채국,2.0
414,감자조림,사과,3.0
415,감자조림,생선묵국,4.0
416,감자조림,생선묵볶음,3.0
417,감자조림,생선묵찌개,3.0
418,감자조림,생수,3.6666666666666665
419,감자조림,소시지야채볶음,5.0
420,감자조림,소시지찌개,3.0
421,감자조림,쇠고기갈비찜,3.0
422,감자조림,쇠고기감자국,3.0
423,감자조림,쇠고기미역국,5.0
424,감자조림,쇠고기버섯볶음,3.0
425,감자조림,순두부찌개,5.0
426,감자조림,스크램블에그,3.3333333333333335
427,감자조림,식탁비치용 양념,2.5
428,감자조림,아이스샌드,2.0
429,감자조림,에너지바,3.0
430,감자조림,열무김치,3.0
431,감자조림,오리불고기,3.0
432,감자조림,오이무침,3.0
433,감자조림,오이양파장아찌,3.0
434,감자조림,오징어국,2.6666666666666665
435,감자조림,오징어덮밥,3.5
436,감자조림,오징어볶음,4.333333333333333
437,감자조림,오징어채무침,3.0
438,감자조림,오징어채볶음,2.0
439,감자조림,오징어튀김,5.0
440,감자조림,우유,3.3333333333333335
441,감자조림,워터젤리,3.0
442,감자조림,이온음료,3.0
443,감자조림,잡곡밥,3.25
444,감자조림,잡채,2.5
445,감자조림,주스망고코넛,3.0
446,감자조림,즉석쌀국수,3.0
447,감자조림,짜먹는요구르트,3.0
448,감자조림,쭈꾸미덮밥,3.0
449,감자조림,총각김치,3.25
450,감자조림,코다리강정,3.0
451,감자조림,콩나물국,3.0
452,감자조림,콩나물무채국,2.5
453,감자조림,콩나물무침,4.0
454,감자조림,토마토신선형,3.0
455,감자조림,패주미역국,3.0
456,감자조림,호박고추장찌개,4.0
457,감자조림,호박쇠고기볶음,3.3333333333333335
458,감자채볶음,감귤,4.0
459,감자채볶음,계란찜,3.0
460,감자채볶음,고등어순살조림,3.25
461,감자채볶음,고등어순살튀김,4.0
462,감자채볶음,김장김치,3.142857142857143
463,감자채볶음,김치찌개,2.8
464,감자채볶음,깍두기,3.4545454545454546
465,감자채볶음,꼬리곰탕,5.0
466,감자채볶음,낙지불고기덮밥,2.0
467,감자채볶음,낙지야채볶음,2.0
468,감자채볶음,농후 발효유,3.0
469,감자채볶음,닭간장소스찜,3.0
470,감자채볶음,닭갈비,3.0
471,감자채볶음,닭고기단호박조림,3.0
472,감자채볶음,닭곰탕,3.0
473,감자채볶음,닭매운찜,3.0
474,감자채볶음,닭볶음탕,3.0
475,감자채볶음,대추방울토마토,3.0
476,감자채볶음,돼지고기강정,3.0
477,감자채볶음,두부김치,4.0
478,감자채볶음,떡만둣국,4.0
479,감자채볶음,떡볶이,3.0
480,감자채볶음,라면,2.5
481,감자채볶음,마파두부,3.0
482,감자채볶음,맛김,2.857142857142857
483,감자채볶음,멜론,4.0
484,감자채볶음,무국,3.0
485,감자채볶음,밥,3.225806451612903
486,감자채볶음,방어순살조림,2.0
487,감자채볶음,배추김치,3.1578947368421053
488,감자채볶음,버섯쇠고기찌개,4.0
489,감자채볶음,버섯야채볶음,3.0
490,감자채볶음,복숭아 주스,3.0
491,감자채볶음,북어채국,2.0
492,감자채볶음,북어채콩나물국,5.0
493,감자채볶음,비엔나소시지케찹조림,2.0
494,감자채볶음,생선묵국,2.5
495,감자채볶음,생선묵맛살조림,3.0
496,감자채볶음,소시지찌개,5.0
497,감자채볶음,쇠고기버섯덮밥,2.0
498,감자채볶음,쇠고기버섯볶음,2.0
499,감자채볶음,쇠고기육개장,3.0
500,감자채볶음,쇠고기장조림,5.0
501,감자채볶음,순두부찌개,3.0
502,감자채볶음,스크램블에그,3.0
503,감자채볶음,시금치된장국,3.0
504,감자채볶음,식탁비치용 양념,2.3333333333333335
505,감자채볶음,식혜,3.0
506,감자채볶음,아이스 망고바,3.0
507,감자채볶음,아이스크림 팩형,3.0
508,감자채볶음,열무김치,3.5
509,감자채볶음,오이무침,3.0
510,감자채볶음,오징어덮밥,5.0
511,감자채볶음,오징어볶음,6.0
512,감자채볶음,오징어야채무침,5.0
513,감자채볶음,오징어젓무침,4.0
514,감자채볶음,우유,3.7857142857142856
515,감자채볶음,워터젤리,3.0
516,감자채볶음,잡곡밥,2.75
517,감자채볶음,잡채,3.0
518,감자채볶음,주스카프리썬 오렌지,3.0
519,감자채볶음,참외신선형,2.0
520,감자채볶음,총각김치,3.0
521,감자채볶음,코다리강정,2.0
522,감자채볶음,콩나물국,3.3333333333333335
523,감자채볶음,콩나물김치국,4.0
524,감자채볶음,콩나물닭볶음,4.0
525,감자채볶음,파인애플에이드 ,3.0
526,감자채볶음,현미밥,3.0
527,감자채볶음,호박고추장찌개,2.75
528,감자채볶음,호박쇠고기볶음,2.0
529,감자탕,가지굴소스볶음,2.0
530,감자탕,갈치순살튀김,2.0
531,감자탕,감귤 주스,3.0
532,감자탕,고등어순살튀김,3.0
533,감자탕,김장김치,3.0
534,감자탕,깍두기,2.5
535,감자탕,꽈리고추찜,3.0
536,감자탕,두부조림,2.0
537,감자탕,망고 주스,4.0
538,감자탕,명태순살튀김,3.0
539,감자탕,밥,3.0
540,감자탕,배 주스,3.0
541,감자탕,배추김치,3.0
542,감자탕,버섯강정,3.5
543,감자탕,버섯야채볶음,3.0
544,감자탕,삼치순살튀김,3.0
545,감자탕,시금치무침,3.0
546,감자탕,오징어젓무침,3.0
547,감자탕,우엉채조림,4.0
548,감자탕,우유,3.0
549,감자탕,잡곡밥,2.857142857142857
550,감자탕,조기튀김,2.5
551,감자탕,탄산음료,3.0
552,감자탕,토마토신선형,2.0
553,갑오징어숙회,계란말이,3.0
554,갑오징어숙회,계란찜,2.0
555,갑오징어숙회,닭볶음탕,2.0
556,갑오징어숙회,라면,2.0
557,갑오징어숙회,마파가지덮밥,3.0
558,갑오징어숙회,밥,2.0
559,갑오징어숙회,배추김치,2.6666666666666665
560,갑오징어숙회,사골곰탕,3.0
561,갑오징어숙회,생선묵찌개,3.0
562,갑오징어숙회,식탁비치용 양념,2.0
563,갑오징어숙회,잡채,3.0
564,갑오징어숙회,주스사과,3.0
565,갑오징어숙회,찹쌀밥,3.0
566,갑오징어야채무침,감자조림,4.0
567,갑오징어야채무침,꼬리곰탕,4.0
568,갑오징어야채무침,밥,4.0
569,갑오징어야채무침,배추김치,4.0
570,갓김치,간장 돼지불고기,3.0
571,갓김치,김치찌개,3.0
572,갓김치,꽁치튀김케찹소스,3.0
573,갓김치,꽈리고추찜,3.0
574,갓김치,닭곰탕,5.0
575,갓김치,돈가스,3.0
576,갓김치,돼지불고기,2.6666666666666665
577,갓김치,두부된장찌개,3.0
578,갓김치,두부조림,3.0
579,갓김치,딸기,3.0
580,갓김치,떡볶이,3.0
581,갓김치,맛김,3.0
582,갓김치,망고 주스,3.0
583,갓김치,멜론,3.0
584,갓김치,모듬쌈,2.5
585,갓김치,무생채,2.5
586,갓김치,밥,3.0
587,갓김치,부대찌개,3.0
588,갓김치,사골곰탕,3.0
589,갓김치,생수,2.0
590,갓김치,순두부백탕,3.0
591,갓김치,아귀찜,5.0
592,갓김치,야채튀김,5.0
593,갓김치,얼갈이된장국,3.0
594,갓김치,오이부추무침,3.0
595,갓김치,오징어브로콜리숙회,3.0
596,갓김치,우유,3.6666666666666665
597,갓김치,잡곡밥,3.25
598,갓김치,찹쌀밥,3.0
599,갓김치,파겉절이,2.5
600,갓김치,흑미밥,3.0
601,거봉포도,감자조림,3.0
602,거봉포도,깍두기,2.5
603,거봉포도,깻잎조림,3.0
604,거봉포도,닭갈비,3.0
605,거봉포도,닭매운찜,3.0
606,거봉포도,라면,3.0
607,거봉포도,마요오징어실채무침,2.0
608,거봉포도,맛김,3.0
609,거봉포도,밥,3.0
