,메뉴이름,다른메뉴,조합점수
0,가지굴소스,계란국 ,3.0
1,가지굴소스,김장김치 ,3.0
2,가지굴소스,마파두부 ,3.0
3,가지굴소스,현미밥,3.0
4,가지굴소스볶음 ,김치덮밥 ,3.0
5,가지굴소스볶음 ,깍두기 ,3.0
6,가지굴소스볶음 ,콩나물국 ,3.0
7,가지굴소스쇠고기볶음,가지굴소스쇠고기볶음,2.0
8,가지굴소스쇠고기볶음,감귤,2.0
9,가지굴소스쇠고기볶음,고등어순살조림,2.0
10,가지굴소스쇠고기볶음,김장김치,3.0
11,가지굴소스쇠고기볶음,두부조림,3.0
12,가지굴소스쇠고기볶음,맛김,2.5
13,가지굴소스쇠고기볶음,밥,2.2857142857142856
14,가지굴소스쇠고기볶음,배추김치,2.2
15,가지굴소스쇠고기볶음,백색우유,3.0
16,가지굴소스쇠고기볶음,버섯된장찌개,2.0
17,가지굴소스쇠고기볶음,생선묵김치찌개,2.0
18,가지굴소스쇠고기볶음,순두부찌개,3.0
19,가지굴소스쇠고기볶음,시금치국,3.0
20,가지굴소스쇠고기볶음,오이무침,2.0
21,가지굴소스쇠고기볶음,콩나물국,2.0
22,가지굴소스쇠고기볶음,파김치,2.0
23,가지굴소스쇠고기볶음,현미밥,2.0
24,가지굴소스쇠고기볶음 ,가지굴소스쇠고기볶음 ,4.0
25,가지굴소스쇠고기볶음 ,감자양파찌개 ,3.0
26,가지굴소스쇠고기볶음 ,깍두기 ,4.0
27,가지굴소스쇠고기볶음 ,돼지고기육개장 ,4.0
28,가지굴소스쇠고기볶음 ,맛김,3.0
29,가지굴소스쇠고기볶음 ,밥,3.5
30,가지굴소스쇠고기볶음 ,배추김치,3.8
31,가지굴소스쇠고기볶음 ,배추김치 ,3.0
32,가지굴소스쇠고기볶음 ,브로콜리초고추장 ,4.0
33,가지굴소스쇠고기볶음 ,생선묵국 ,3.0
34,가지굴소스쇠고기볶음 ,순두부찌개 ,3.8
35,가지굴소스쇠고기볶음 ,오이풋고추쌈장 ,4.0
36,가지굴소스쇠고기볶음 ,잡곡밥,4.0
37,가지볶음,감자양파찌개,3.0
38,가지볶음,돈가스,4.0
39,가지볶음,밥,4.0
40,가지볶음,배추김치,3.5
41,가지볶음,쇠고기무국,4.0
42,가지볶음,제육덮밥,3.0
43,가지탕수,낙지새우볶음,3.0
44,가지탕수,닭곰탕,2.0
45,가지탕수,대구탕,2.0
46,가지탕수,두부고추장찌개,3.0
47,가지탕수,떡볶이,2.0
48,가지탕수,바나나우유,3.0
49,가지탕수,밥,2.0
50,가지탕수,배추김치,2.5
51,가지탕수,사과 주스,3.0
52,가지탕수,소시지케찹볶음,2.0
53,가지탕수,수박,2.0
54,가지탕수,얼큰황태채국,3.0
55,가지탕수,오징어삼겹볶음,3.0
56,가지탕수,조미김,2.0
57,가지탕수,조밥,3.0
58,가지탕수,포도신선형,2.0
59,가지탕수,현미밥,3.0
60,갈리새우살버터볶음 ,배추김치 ,4.0
61,갈리새우살버터볶음 ,쇠고기야채덮밥 ,4.0
62,갈리새우살버터볶음 ,콩나물국 ,4.0
63,갈릭새우살버터볶음 ,갈릭새우살버터볶음 ,4.0
64,갈릭새우살버터볶음 ,감자매운조림 ,3.8
65,갈릭새우살버터볶음 ,고추잡채 ,2.0
66,갈릭새우살버터볶음 ,김자반,3.0
67,갈릭새우살버터볶음 ,김장김치 ,2.6666666666666665
68,갈릭새우살버터볶음 ,김치찌개 ,3.0
69,갈릭새우살버터볶음 ,두부고추장찌개 ,2.0
70,갈릭새우살버터볶음 ,두부양념장 ,2.0
71,갈릭새우살버터볶음 ,밥,3.4285714285714284
72,갈릭새우살버터볶음 ,배추김치 ,4.0
73,갈릭새우살버터볶음 ,아욱고추장찌개 ,4.0
74,갈릭새우살버터볶음 ,콩나물무채국 ,3.0
75,갈비맛치킨 ,갈비맛치킨 ,2.0
76,갈비맛치킨 ,검은콩밥,3.0
77,갈비맛치킨 ,과일샐러드 ,3.0
78,갈비맛치킨 ,김장김치 ,3.0
79,갈비맛치킨 ,깍두기 ,3.0
80,갈비맛치킨 ,두부조림 ,3.0
81,갈비맛치킨 ,무국 ,3.0
82,갈비맛치킨 ,무생채 ,2.0
83,갈비맛치킨 ,미더덕된장찌개 ,2.0
84,갈비맛치킨 ,밥,2.75
85,갈비맛치킨 ,배추김치 ,2.0
86,갈비맛치킨 ,쇠고기버섯들깨탕 ,3.0
87,갈비맛치킨 ,순두부국 ,3.0
88,갈비맛치킨 ,얼갈이배추된장무침 ,3.0
89,갈비맛치킨 ,오징어실채케찹볶음 ,3.0
