,메뉴이름,다른메뉴,조합점수
0,가지볶음,감자양파찌개,3.0
1,가지볶음,근대된장국,3.0
2,가지볶음,김장김치,2.0
3,가지볶음,깍두기,3.0
4,가지볶음,농후 발효유,3.0
5,가지볶음,닭고기부추밥,3.0
6,가지볶음,돈가스,4.0
7,가지볶음,맛김,2.0
8,가지볶음,밥,3.0
9,가지볶음,배추김치,3.5
10,가지볶음,버섯된장찌개,2.0
11,가지볶음,쇠고기무국,4.0
12,가지볶음,우유,2.0
13,가지볶음,제육덮밥,3.0
14,가지탕수,낙지새우볶음,3.0
15,가지탕수,닭곰탕,2.0
16,가지탕수,대구탕,2.0
17,가지탕수,두부고추장찌개,3.0
18,가지탕수,떡볶이,2.0
19,가지탕수,바나나우유,3.0
20,가지탕수,밥,2.0
21,가지탕수,배추김치,2.5
22,가지탕수,사과 주스,3.0
23,가지탕수,소시지케찹볶음,2.0
24,가지탕수,수박,2.0
25,가지탕수,얼큰황태채국,3.0
26,가지탕수,오징어삼겹볶음,3.0
27,가지탕수,조미김,2.0
28,가지탕수,조밥,3.0
29,가지탕수,포도신선형,2.0
30,가지탕수,현미밥,3.0
31,갈비탕,감자매운조림,3.0
32,갈비탕,감자풋고추볶음,3.0
33,갈비탕,과일푸딩,3.0
34,갈비탕,김장김치,3.0
35,갈비탕,깍두기,2.0
36,갈비탕,농후 발효유,1.0
37,갈비탕,대추방울토마토,3.0
38,갈비탕,밥,2.0
39,갈비탕,영양밥,3.0
40,갈비탕,오이풋고추된장무침,2.0
41,갈비탕,오징어젓무침,3.0
42,갈비탕,콩나물매운잡채,1.0
43,갈비탕,포도신선형,1.0
44,갈치순살조림,감자된장국,3.0
45,갈치순살조림,김장김치,3.0
46,갈치순살조림,쇠고기버섯덮밥,3.0
47,갈치순살조림,오렌지 주스,3.0
48,갈치순살카레튀김,배추김치,2.0
49,갈치순살카레튀김,안동찜닭,2.0
50,갈치순살카레튀김,잡곡밥,2.0
51,갈치순살카레튀김,주스망고코넛,2.0
52,갈치순살카레튀김,해물순두부찌개,2.0
53,갈치순살튀김,검은콩밥,3.0
54,갈치순살튀김,계란장조림,3.0
55,갈치순살튀김,무국,3.0
56,갈치순살튀김,배추김치,3.0
57,감귤,계란국,3.0
58,감귤,근대된장국,4.0
59,감귤,김장김치,3.25
60,감귤,돼지고기고추장볶음,3.0
61,감귤,돼지고기수육,4.0
62,감귤,라면,3.0
63,감귤,맛김,3.0
64,감귤,밥,3.0
65,감귤,백김치,3.0
66,감귤,삶은계란,3.0
67,감귤,시금치고추장무침,3.0
68,감귤,시금치국,3.0
69,감귤,양배추쌈,3.5
70,감귤,양파피클,3.0
71,감귤,잡곡밥,4.0
72,감귤,주꾸미볶음,3.0
73,감귤,콩나물국,3.0
74,감귤,해물덮밥,3.0
75,감귤,현미밥,3.0
76,감귤 주스,감자된장국,3.0
77,감귤 주스,감자양파찌개,3.0
78,감귤 주스,감자조림,3.0
79,감귤 주스,건빵,3.0
80,감귤 주스,건새우아욱된장국,3.0
81,감귤 주스,건새우애호박찌개,2.0
82,감귤 주스,검은콩밥,3.0
83,감귤 주스,고등어순살조림,3.0
84,감귤 주스,궁중떡볶이,3.0
85,감귤 주스,근대된장국,3.0
86,감귤 주스,김장김치,3.0
87,감귤 주스,김치덮밥,3.0
88,감귤 주스,깍두기,3.0
89,감귤 주스,깐풍버섯덮밥,3.0
90,감귤 주스,꽈리고추조림,3.0
91,감귤 주스,닭고기야채조림,3.0
92,감귤 주스,닭순살감자조림,3.0
93,감귤 주스,돈가스,3.0
94,감귤 주스,돼지고기고추장볶음,3.0
95,감귤 주스,라면,3.0
96,감귤 주스,마파두부,2.0
97,감귤 주스,맛김,3.0
98,감귤 주스,멸치고추장볶음,3.0
99,감귤 주스,멸치볶음,3.0
100,감귤 주스,모듬쌈,2.0
101,감귤 주스,미나리무생채,3.0
102,감귤 주스,밥,2.857142857142857
103,감귤 주스,배추김치,2.857142857142857
104,감귤 주스,백김치,2.0
105,감귤 주스,삶은계란,3.0
106,감귤 주스,삼치순살조림,2.0
