,메뉴이름,다른메뉴,조합점수
0,가공우유,감자채볶음,3.0
1,가공우유,감자튀김,3.0
2,가공우유,계란후라이,3.5
3,가공우유,고구마맛탕,3.0
4,가공우유,고추참치김치덮밥,3.0
5,가공우유,굴맑은짬뽕,3.0
6,가공우유,김장김치,3.5
7,가공우유,깍두기,3.0
8,가공우유,꼬꼬떡국,4.0
9,가공우유,꽃게탕,3.0
10,가공우유,단무지,3.0
11,가공우유,닭갈비,2.0
12,가공우유,닭매운양념조림,3.0
13,가공우유,돼지고기감자조림,3.0
14,가공우유,돼지고기김치찌개,3.0
15,가공우유,돼지고기장조림,3.0
16,가공우유,된장국,4.0
17,가공우유,된장찌개,3.0
18,가공우유,두부고추장찌개,2.0
19,가공우유,두부김치,3.0
20,가공우유,두부김치국,3.0
21,가공우유,떡볶이,3.0
22,가공우유,만두튀김,3.0
23,가공우유,모듬김치,3.0
24,가공우유,무초절이,4.0
25,가공우유,밥,3.142857142857143
26,가공우유,배추김치,3.0
27,가공우유,버섯쇠고기찌개,3.0
28,가공우유,버섯잡채,3.0
29,가공우유,불고기버거,5.0
30,가공우유,비빔냉면,4.0
31,가공우유,비빔밥,4.0
32,가공우유,사골곰탕,3.0
33,가공우유,삶은계란,4.0
34,가공우유,새우버거,3.0
35,가공우유,생선가스,3.5
36,가공우유,생우동,3.0
37,가공우유,쇠고기미역국,3.0
38,가공우유,쇠고기야채볶음,3.0
39,가공우유,스크램블에그,3.0
40,가공우유,시금치고추장무침,3.0
41,가공우유,애호박조갯살나물,2.5
42,가공우유,열무김치,4.0
43,가공우유,오징어젓무침,3.0
44,가공우유,오징어튀김,3.0
45,가공우유,우유,3.125
46,가공우유,잡곡밥,3.0
47,가공우유,제육볶음,4.0
48,가공우유,주먹밥,3.0
49,가공우유,짬뽕찌개,3.0
50,가공우유,쫄면,3.0
51,가공우유,찐고구마,4.0
52,가공우유,찰보리밥,3.0
53,가공우유,참치마요덮밥,3.0
54,가공우유,총각김치,3.0
55,가공우유,코다리강정,3.0
56,가공우유,콩나물매운무침,3.0
57,가공우유,토마토신선형,1.5
58,가공우유,표고버섯굴소스볶음,3.0
59,가공우유,피망잡채,3.0
60,가공우유,핫도그빵,2.8333333333333335
61,가공우유,해물순두부찌개,3.0
62,가공우유,흑미밥,2.5
63,가지굴소스볶음,감자호박국,3.0
64,가지굴소스볶음,돈육표고장조림,3.0
65,가지굴소스볶음,돼지고기애호박찌개,3.0
66,가지굴소스볶음,멜론,3.0
67,가지굴소스볶음,바다장어순살강정,3.0
68,가지굴소스볶음,밥,3.0
69,가지굴소스볶음,배추김치,3.0
70,가지굴소스볶음,복숭아 주스,3.0
71,가지굴소스볶음,삼겹살덮밥,3.0
72,가지굴소스볶음,열무김치,3.0
73,가지굴소스볶음,우유,3.0
74,가지굴소스볶음,잡곡밥,3.0
75,가지굴소스볶음,짬뽕국,3.0
76,가지굴소스쇠고기볶음,계란찜,3.0
77,가지굴소스쇠고기볶음,깍두기,3.0
78,가지굴소스쇠고기볶음,꽈리고추멸치조림,3.0
79,가지굴소스쇠고기볶음,밥,3.0
80,가지굴소스쇠고기볶음,배추김치,3.0
81,가지굴소스쇠고기볶음,우유,3.0
82,가지굴소스쇠고기볶음,콩나물김치국,3.0
83,가지굴소스쇠고기볶음,홍합미역국,3.0
84,가지무침,돼지고기호박볶음,3.0
85,가지무침,밥,3.0
86,가지무침,배추김치,3.0
87,가지무침,버섯쇠고기찌개,3.0
88,가지무침,우유,3.0
89,가지탕수,감자수제비국,4.0
90,가지탕수,배추김치,4.0
91,가지탕수,오징어삼겹볶음,4.0
92,가지탕수,우유,4.0
93,가지탕수,조밥,4.0
94,갈비맛통닭,김장김치,3.0
95,갈비맛통닭,단감,3.0
96,갈비맛통닭,된장국,3.0
97,갈비맛통닭,모듬김치,3.0
98,갈비맛통닭,밥,3.0
99,갈비맛통닭,순두부찌개,3.0
100,갈비맛통닭,키조개버섯볶음,3.0
101,갈비맛통닭,팔보채덮밥,3.0
102,갈비탕,깍두기,3.0
103,갈비탕,농후 발효유,3.0
104,갈비탕,밥,3.0
105,갈비탕,오이풋고추된장무침,3.0
106,갈비탕,콩나물매운잡채,3.0
107,갈비폭찹,감자튀김,2.0
108,갈비폭찹,깻잎양념무침,2.0
109,갈비폭찹,농후 발효유,2.0
110,갈비폭찹,맛김,2.0
111,갈비폭찹,밀쌀밥,2.0
112,갈비폭찹,밥,2.0
113,갈비폭찹,배추김치,2.0
114,갈비폭찹,배추찜,2.0
115,갈비폭찹,아욱된장국,2.0
116,갈비폭찹,짜먹는요구르트,2.0
117,갈비폭찹,파김치,2.0
118,갈치단호박조림,매운소시지떡볶음,3.0
119,갈치단호박조림,백김치,3.0
120,갈치단호박조림,복숭아,3.0
121,갈치단호박조림,오리탕,3.0
122,갈치단호박조림,현미밥,3.0
123,갈치순살카레튀김,매운소시지떡볶음,3.0
124,갈치순살카레튀김,밥,3.0
125,갈치순살카레튀김,배추김치,3.0
126,갈치순살카레튀김,쇠고기모듬버섯찌개,3.0
127,갈치순살카레튀김,이온음료,3.0
128,감귤,계란장,2.0
129,감귤,계란후라이,3.0
130,감귤,고구마샐러드,3.0
131,감귤,김장김치,2.8
132,감귤,돈육굴소스양배추볶음,3.0
133,감귤,돼지고기깻잎볶음,3.0
134,감귤,떡만둣국,3.0
135,감귤,무국,2.0
136,감귤,무나물,3.0
137,감귤,미나리불고기,2.0
138,감귤,밥,2.5
139,감귤,백김치,3.0
140,감귤,삼치순살조림,2.0
141,감귤,쇠고기무국,2.0
142,감귤,스파게티,3.0
143,감귤,애호박나물,3.0
144,감귤,양배추쌈,2.0
145,감귤,우유,3.0
146,감귤,잡곡밥,2.5
147,감귤,잡채볶음밥,3.0
148,감귤,짬뽕찌개,3.0
149,감귤,치킨너겟,3.0
150,감귤,콩나물매운잡채,3.0
151,감귤,파김치,2.0
152,감귤,팽이버섯국,3.0
153,감귤,해물된장찌개,3.0
154,감귤 주스,감자튀김,3.0
155,감귤 주스,갓김치,2.0
156,감귤 주스,건새우애호박찌개,3.0
157,감귤 주스,검은콩밥,2.0
158,감귤 주스,고등어순살조림,2.0
159,감귤 주스,고추참치야채볶음,3.0
160,감귤 주스,골뱅이오징어채볶음,3.0
161,감귤 주스,김장김치,3.0
162,감귤 주스,깍두기,3.5
163,감귤 주스,깐쇼새우,3.0
164,감귤 주스,꽈리고추가지찜,3.0
165,감귤 주스,꽈리고추멸치조림,3.0
166,감귤 주스,단무지무침,2.0
167,감귤 주스,닭매운양념조림,3.0
168,감귤 주스,닭볶음탕,3.0
169,감귤 주스,돈까스치즈버거,3.0
170,감귤 주스,돈육김치볶음,4.0
171,감귤 주스,돈육새송이야채볶음,3.0
172,감귤 주스,돼지고기김치찜,3.0
173,감귤 주스,돼지고기육개장,3.0
174,감귤 주스,된장찌개,3.0
175,감귤 주스,두부강정,3.0
176,감귤 주스,두부김치,3.0
177,감귤 주스,들깨순볶음,3.0
178,감귤 주스,맑은육개장,3.0
179,감귤 주스,맛김,3.0
180,감귤 주스,멸치고추장볶음,3.0
181,감귤 주스,명태순살튀김,3.0
182,감귤 주스,미트볼데리야끼조림,3.0
183,감귤 주스,밥,3.1
184,감귤 주스,배추김치,2.8333333333333335
185,감귤 주스,배추찜,3.0
186,감귤 주스,버섯두부탕,3.0
187,감귤 주스,버섯매운탕,4.0
188,감귤 주스,새우버거,3.0
189,감귤 주스,생선가스,4.0
190,감귤 주스,쇠고기무국,3.0
191,감귤 주스,쇠고기미역국,2.0
192,감귤 주스,쇠고기부추무침,3.0
193,감귤 주스,쇠고기육개장,3.0
194,감귤 주스,순두부찌개,3.0
195,감귤 주스,시금치어묵잡채,3.0
196,감귤 주스,애호박조갯살나물,3.0
197,감귤 주스,양념떡볶이치킨,2.0
198,감귤 주스,얼큰황태채국,2.0
199,감귤 주스,오이된장초무침,3.0
200,감귤 주스,우유,3.0
201,감귤 주스,잡곡밥,2.6666666666666665
202,감귤 주스,제육볶음,3.0
203,감귤 주스,짬뽕찌개,3.0
204,감귤 주스,청양풍닭볶음,2.0
205,감귤 주스,총각김치,3.0
206,감귤 주스,크림새우,3.0
207,감귤 주스,토마토신선형,3.0
208,감귤 주스,파김치,3.0
209,감자간장조림,닭고기양배추볶음,3.0
210,감자간장조림,닭튀김,3.0
211,감자간장조림,두부고추장찌개,3.0
212,감자간장조림,맑은육개장,3.0
213,감자간장조림,맛김,3.0
214,감자간장조림,밥,3.0
215,감자간장조림,배추김치,3.0
216,감자간장조림,생선묵볶음,3.0
217,감자간장조림,쇠고기미역국,3.0
218,감자간장조림,우유,3.0
219,감자간장조림,짜먹는요구르트,3.0
220,감자간장조림,콩나물무채국,3.0
221,감자간장조림,팥빙수,3.0
222,감자국,김장김치,2.0
223,감자국,깍두기,4.0
224,감자국,닭갈비,2.0
225,감자국,닭고기김치찜,4.0
226,감자국,닭순살꽈리고추조림,3.0
227,감자국,닭순살야채조림,3.0
228,감자국,돈육굴소스양배추볶음,3.0
229,감자국,돈육표고장조림,3.0
230,감자국,돼지고기고추장볶음,4.0
231,감자국,돼지고기김치찜,5.0
232,감자국,돼지고기두부조림,4.0
233,감자국,맛김,2.6666666666666665
234,감자국,망고 주스,3.0
235,감자국,밥,3.3
236,감자국,배추김치,3.1666666666666665
237,감자국,사과 주스,4.0
238,감자국,생선묵볶음,3.0
239,감자국,애호박조갯살나물,5.0
240,감자국,양배추쌈,4.0
241,감자국,오이나물,3.0
242,감자국,오이부추무침,4.0
243,감자국,오이양파장아찌,3.0
244,감자국,우유,3.6
245,감자국,젤리,2.0
246,감자국,청양풍닭볶음,2.0
247,감자국,총각김치,4.0
248,감자국,표고버섯호박매운볶음,3.0
249,감자국,혼합시리얼,3.0
250,감자돈육짜글이,계란찜,3.0
251,감자돈육짜글이,닭순살샐러드,1.0
252,감자돈육짜글이,배추김치,2.3333333333333335
253,감자돈육짜글이,복숭아 주스,3.0
254,감자돈육짜글이,썬업 파인애플,3.0
255,감자돈육짜글이,아이스크림 콘완제품,1.0
256,감자돈육짜글이,애호박조갯살나물,1.0
257,감자돈육짜글이,오징어실채볶음,3.0
258,감자돈육짜글이,잡곡밥,2.0
259,감자돈육짜글이,조기튀김,3.0
260,감자돈육짜글이,조미김,2.0
261,감자돈육짜글이,콩나물밥,3.0
262,감자마늘쫑조림,깍두기,3.0
263,감자마늘쫑조림,매운소시지떡볶음,3.0
264,감자마늘쫑조림,밥,3.0
265,감자마늘쫑조림,짬뽕찌개,3.0
266,감자매운조림,계란국,4.0
267,감자매운조림,깍두기,5.0
268,감자매운조림,농후 발효유,4.0
269,감자매운조림,닭곰탕,3.0
270,감자매운조림,돼지고기김치찌개,5.0
271,감자매운조림,돼지고기청경채볶음,4.0
272,감자매운조림,마늘멸치볶음,5.0
273,감자매운조림,마파두부,3.0
274,감자매운조림,멸치비엔나볶음,3.0
275,감자매운조림,무두부조개탕,2.0
276,감자매운조림,밥,3.0
277,감자매운조림,배추김치,2.888888888888889
278,감자매운조림,비엔나소시지야채볶음,2.0
279,감자매운조림,새우순두부계란탕,3.0
280,감자매운조림,쇠고기무국,3.0
281,감자매운조림,쇠고기미역국,2.0
282,감자매운조림,쇠고기불낙볶음,3.0
283,감자매운조림,쇠고기야채볶음,2.0
284,감자매운조림,쇠고기오이표고볶음,3.0
285,감자매운조림,쇠고기호박찌개,4.0
286,감자매운조림,아이스크림 팩형,2.0
287,감자매운조림,우유,3.0
288,감자매운조림,이온음료,3.0
289,감자매운조림,잡곡밥,4.0
290,감자매운조림,조미김,3.0
291,감자매운조림,중화식잡채,2.0
292,감자매운조림,짬뽕찌개,2.0
293,감자매운조림,피망잡채,4.0
294,감자매운조림,호박된장국,3.0
295,감자샐러드,꼬꼬떡국,3.0
296,감자샐러드,된장국,3.0
297,감자샐러드,맛김,3.0
298,감자샐러드,밥,3.0
299,감자샐러드,배 주스,3.0
300,감자샐러드,배추김치,2.3333333333333335
301,감자샐러드,불닭덮밥,2.0
302,감자샐러드,생선가스,3.0
303,감자샐러드,중화식계란탕,1.0
304,감자샐러드,참외,1.0
305,감자샐러드,포도 주스,3.0
306,감자수제비국,가지탕수,4.0
307,감자수제비국,갓김치,2.0
308,감자수제비국,건빵,3.0
309,감자수제비국,검은콩밥,3.0
310,감자수제비국,계란찜,2.0
311,감자수제비국,고등어카레튀김,3.0
312,감자수제비국,김자반,3.0
313,감자수제비국,김장김치,3.0
314,감자수제비국,깍두기,3.5
315,감자수제비국,낙지불고기,3.0
316,감자수제비국,농후 발효유,3.0
317,감자수제비국,닭고기오이냉채,1.0
318,감자수제비국,닭매운양념조림,3.0
319,감자수제비국,돼지고기깻잎볶음,3.0
320,감자수제비국,두부김치,4.0
321,감자수제비국,두부조림,3.0
322,감자수제비국,라면,3.5
323,감자수제비국,마늘멸치볶음,4.0
324,감자수제비국,마늘종멸치볶음,4.0
325,감자수제비국,마요오징어실채무침,3.0
326,감자수제비국,맛김,3.0
327,감자수제비국,매운돼지갈비찜,3.0
328,감자수제비국,미나리나물,3.0
329,감자수제비국,바나나,4.0
330,감자수제비국,밥,3.3
331,감자수제비국,배,3.0
332,감자수제비국,배 주스,3.0
333,감자수제비국,배추김치,3.142857142857143
334,감자수제비국,부추잡채,3.0
335,감자수제비국,브로콜리돼지목살볶음,3.0
336,감자수제비국,삼겹살덮밥,3.0
337,감자수제비국,생선가스,1.0
338,감자수제비국,쇠고기느타리버섯잡채,4.0
339,감자수제비국,쇠고기마늘종볶음,4.0
340,감자수제비국,쇠고기부추무침,3.0
341,감자수제비국,수박,3.0
342,감자수제비국,애호박나물,3.0
343,감자수제비국,애호박조갯살나물,4.0
344,감자수제비국,오이양파장아찌,3.0
345,감자수제비국,오징어삼겹볶음,4.0
346,감자수제비국,우유,4.0
347,감자수제비국,이온음료,3.0
348,감자수제비국,잡곡밥,2.0
349,감자수제비국,제육볶음,3.0
350,감자수제비국,조밥,4.0
351,감자수제비국,짜먹는요구르트,2.0
352,감자수제비국,참외신선형,1.0
353,감자수제비국,총각김치,3.0
354,감자수제비국,컵과일,4.0
355,감자수제비국,코다리강정,3.0
356,감자수제비국,콩나물매운무침,3.0
357,감자수제비국,포도 주스,3.0
358,감자수제비국,한라봉,3.0
359,감자양파찌개,깐풍기,3.0
360,감자양파찌개,밥,3.0
361,감자양파찌개,배추김치,3.0
362,감자양파찌개,복숭아 주스,3.0
363,감자양파찌개,삼치순살튀김,3.0
364,감자양파찌개,쇠고기느타리버섯잡채,3.0
365,감자양파찌개,수박,3.0
366,감자양파찌개,아이스크림 샌드위치,3.0
367,감자양파찌개,오이고추장무침,3.0
368,감자양파찌개,오징어채야채무침,3.0
369,감자양파찌개,잡곡밥,3.0
370,감자양파찌개,청양풍닭볶음,3.0
371,감자잡채,돼지고기가지볶음,6.0
372,감자잡채,돼지고기고추장볶음,4.0
373,감자잡채,무국,4.0
374,감자잡채,밥,5.0
375,감자잡채,배추김치,4.333333333333333
376,감자잡채,쇠고기미역국,6.0
377,감자잡채,얼큰한오징어국,3.0
378,감자잡채,오이무침,3.0
379,감자잡채,우유,4.333333333333333
380,감자잡채,조밥,3.0
381,감자조림,건빵,2.0
382,감자조림,게맛살어묵볶음,5.0
383,감자조림,계란국,4.0
384,감자조림,고등어마늘튀김,4.0
385,감자조림,근대콩나물조개국,3.0
386,감자조림,김장김치,3.0
387,감자조림,김치짜글이찌개,3.0
388,감자조림,깍두기,3.0
389,감자조림,닭간장소스찜,3.0
390,감자조림,닭순살피망볶음,3.0
391,감자조림,데리야끼갈릭치킨,3.0
392,감자조림,돼지고기김치찌개,3.0
393,감자조림,만두탕수,3.0
394,감자조림,망고 주스,3.0
395,감자조림,멸치비엔나볶음,3.0
396,감자조림,밥,3.272727272727273
397,감자조림,배추김치,3.6
398,감자조림,배추된장국,3.0
399,감자조림,복숭아 주스,3.0
400,감자조림,사과,2.0
401,감자조림,쇠고기미역국,3.0
402,감자조림,순두부계란찜,3.0
403,감자조림,순두부찌개,4.0
404,감자조림,아귀탕,2.0
405,감자조림,안동찜닭,3.0
406,감자조림,연두부양념장,2.0
407,감자조림,오렌지 주스,3.0
408,감자조림,오징어채간장볶음,3.0
409,감자조림,우유,3.5
410,감자조림,잡곡밥,3.0
411,감자조림,콩나물김치국,3.0
412,감자조림,햄소시지찌개,3.3333333333333335
413,감자조림,호박쇠고기볶음,4.0
414,감자짜글이,고등어순살조림,3.0
415,감자짜글이,고추참치야채볶음,4.0
416,감자짜글이,김장김치,4.0
417,감자짜글이,깍두기,4.0
418,감자짜글이,꽈리고추가지찜,5.0
419,감자짜글이,돈가스,4.5
420,감자짜글이,떡볶이,4.0
421,감자짜글이,미나리맛살튀김,3.0
422,감자짜글이,바나나맛우유,3.0
