,메뉴이름,다른메뉴,조합점수
0,가공우유,감자조림,2.0
1,가공우유,과일,2.0
2,가공우유,깍두기,2.0
3,가공우유,닭죽,2.0
4,가공우유,돼지고기김치볶음,2.0
5,가공우유,밥,2.0
6,가공우유,배추김치,2.0
7,가공우유,사골곰탕,2.0
8,가공우유,쇠고기미역국,2.0
9,가공우유,순두부양념장,2.0
10,가공우유,오이부추무침,2.0
11,가공우유,오징어채볶음,2.0
12,가공우유,우유,2.0
13,가공우유,임시,2.0
14,가스오부시어묵탕,감귤 주스,3.0
15,가스오부시어묵탕,갓김치,1.0
16,가스오부시어묵탕,계란후라이,1.0
17,가스오부시어묵탕,김자반,2.0
18,가스오부시어묵탕,깍두기,4.0
19,가스오부시어묵탕,돼지고기김치볶음,4.0
20,가스오부시어묵탕,두부김치,3.0
21,가스오부시어묵탕,라면,2.5
22,가스오부시어묵탕,맛김,4.0
23,가스오부시어묵탕,밥,2.6666666666666665
24,가스오부시어묵탕,배추김치,2.6666666666666665
25,가스오부시어묵탕,삼치순살튀김,3.0
26,가스오부시어묵탕,쇠고기버섯볶음,2.0
27,가스오부시어묵탕,쇠고기팽이버섯떡볶음,3.0
28,가스오부시어묵탕,순두부양념장,3.0
29,가스오부시어묵탕,연두부양념장,4.0
30,가스오부시어묵탕,열무김치,3.0
31,가스오부시어묵탕,오징어젓무침,2.0
32,가스오부시어묵탕,오징어채무침,3.0
33,가스오부시어묵탕,우유,3.0
34,가스오부시어묵탕,유산균 발효 음료,1.0
35,가스오부시어묵탕,잡곡밥,4.0
36,가스오부시어묵탕,전투식량 형식단,1.0
37,가스오부시어묵탕,제육볶음,3.0
38,가스오부시어묵탕,흑미밥,3.0
39,가지굴소스볶음,검은콩밥,3.0
40,가지굴소스볶음,닭강정,3.0
41,가지굴소스볶음,배추김치,3.0
42,가지굴소스볶음,시금치된장국,3.0
43,가지굴소스볶음,우유,3.0
44,가지굴소스쇠고기볶음,밥,3.0
45,가지굴소스쇠고기볶음,브로콜리초고추장,3.0
46,가지굴소스쇠고기볶음,총각김치,3.0
47,가지굴소스쇠고기볶음,햄소시지찌개,3.0
48,가지무침,감귤 주스,3.0
49,가지무침,닭고기매운조림,3.0
50,가지무침,두부고추장찌개,3.0
51,가지무침,밥,3.0
52,가지무침,배추김치,3.0
53,가지튀김,닭곰탕,4.0
54,가지튀김,매운소시지떡볶음,4.0
55,가지튀김,오징어젓무침,4.0
56,가지튀김,흑미밥,4.0
57,간장계란밥,감자수제비국,3.0
58,간장계란밥,두부조림,3.0
59,간장계란밥,마요오징어실채무침,3.0
60,간장계란밥,맛김,3.0
61,간장계란밥,배추김치,3.0
62,간장계란밥,쇠고기감자국,3.0
63,간장계란밥,쇠고기당면국,3.0
64,간장계란밥,쇠고기미역국,3.0
65,간장계란밥,쇠고기버섯볶음,3.0
66,간장계란밥,연두부양념장,3.0
67,간장계란밥,열무김치,3.0
68,간장계란밥,우유,3.0
69,간장계란밥,임시,3.0
70,갈치순살튀김,감자탕,3.0
71,갈치순살튀김,검은콩밥,3.0
72,갈치순살튀김,계란찜,3.0
73,갈치순살튀김,과일푸딩,3.0
74,갈치순살튀김,궁중닭찜,3.0
75,갈치순살튀김,김장김치,3.0
76,갈치순살튀김,깍두기,3.0
77,갈치순살튀김,두부간장볶음,3.0
78,갈치순살튀김,배추김치,3.0
79,갈치순살튀김,버섯쇠고기찌개,3.0
80,갈치순살튀김,쇠고기미역국,3.0
81,갈치순살튀김,쇠고기육개장,3.0
82,갈치순살튀김,시금치된장무침,3.0
83,갈치순살튀김,아이스크림 샌드위치,3.0
84,갈치순살튀김,우유,3.0
85,갈치순살튀김,이온음료,3.0
86,갈치순살튀김,참치김치볶음,3.0
87,갈치순살튀김,커피음료,3.0
88,갈치순살튀김,흑미밥,3.0
89,감귤,계란찜,3.0
90,감귤,계란후라이,4.0
91,감귤,고구마샐러드,2.0
92,감귤,고추잡채,4.0
93,감귤,김장김치,3.0
94,감귤,까르보나라떡볶이,2.0
95,감귤,마파두부,4.0
96,감귤,바지락비빔밥,4.0
97,감귤,밥,3.0
98,감귤,배추된장국,4.0
99,감귤,버섯된장찌개,3.0
100,감귤,쇠고기미역국,4.0
101,감귤,순두부찌개,2.0
102,감귤,스파게티,2.0
103,감귤,오리불고기,3.0
104,감귤,오이양파장아찌,2.0
105,감귤,오징어튀김,2.0
106,감귤,우유살균형,2.0
107,감귤 주스,가스오부시어묵탕,3.0
108,감귤 주스,가지무침,3.0
109,감귤 주스,감자샐러드,2.3333333333333335
110,감귤 주스,감자수제비국,3.0
111,감귤 주스,감자양파찌개,2.6666666666666665
112,감귤 주스,감자어묵조림,3.0
113,감귤 주스,감자조림,3.0
114,감귤 주스,감자짜글이,3.0
115,감귤 주스,감자탕,2.0
116,감귤 주스,건빵,3.0
117,감귤 주스,검은콩밥,3.0
118,감귤 주스,게맛살마요무침,2.0
119,감귤 주스,계란국,2.5
120,감귤 주스,계란찜,3.0
121,감귤 주스,계란후라이,2.75
122,감귤 주스,고구마샐러드,3.0
123,감귤 주스,고구마샐러드게맛살과일샐러드대,2.0
124,감귤 주스,고등어순살강정,3.0
125,감귤 주스,고등어순살조림,3.0
126,감귤 주스,고추잡채,3.0
127,감귤 주스,고추참치덮밥,2.0
128,감귤 주스,골뱅이오징어채볶음,3.0
129,감귤 주스,광어매운탕,3.0
130,감귤 주스,궁중닭찜,2.0
131,감귤 주스,김자반,3.0
132,감귤 주스,김장김치,2.5
133,감귤 주스,김치덮밥,3.0
134,감귤 주스,김치찌개,2.857142857142857
135,감귤 주스,까르보나라떡볶이,3.0
136,감귤 주스,깍두기,2.888888888888889
137,감귤 주스,깐풍기,3.0
138,감귤 주스,깻잎무침,3.0
139,감귤 주스,꼬리곰탕,3.0
140,감귤 주스,꽈리고추멸치볶음,1.0
141,감귤 주스,낙지볶음,3.0
142,감귤 주스,농후 발효유,3.0
143,감귤 주스,느타리버섯볶음,2.0
144,감귤 주스,단무지무침,3.0
145,감귤 주스,단호박튀김,3.0
146,감귤 주스,달걀케첩볶음밥,2.5
147,감귤 주스,닭갈비,3.0
148,감귤 주스,닭고기매운조림,2.5
149,감귤 주스,닭고기부추밥,3.0
150,감귤 주스,닭고기육개장,3.0
151,감귤 주스,닭고기튀김양념,3.0
152,감귤 주스,닭곰탕,2.5
153,감귤 주스,닭볶음탕,2.5
154,감귤 주스,데리야끼갈릭치킨,2.5
155,감귤 주스,돈가스,3.0
156,감귤 주스,돈파육,2.0
157,감귤 주스,돼지고기김치볶음,3.0
158,감귤 주스,돼지고기부추덮밥,3.0
159,감귤 주스,돼지고기부추볶음,3.0
160,감귤 주스,돼지고기콩나물볶음,3.0
161,감귤 주스,돼지불고기,2.0
162,감귤 주스,된장국,2.7142857142857144
163,감귤 주스,두부고추장찌개,3.0
164,감귤 주스,두부김치,3.0
165,감귤 주스,두부맑은국,3.0
166,감귤 주스,두부양념장,2.6666666666666665
167,감귤 주스,두부조림,2.5
168,감귤 주스,두부케첩조림,3.0
169,감귤 주스,라면,3.0
170,감귤 주스,마라제육볶음,3.0
171,감귤 주스,마파두부,3.0
172,감귤 주스,맛김,3.0
173,감귤 주스,매쉬포테이토,3.0
