,메뉴이름,다른메뉴,조합점수
0,가공우유,삶은계란,2.0
1,가공우유,새우버거,2.0
2,가공우유,생수,2.0
3,가공우유,우유,2.0
4,가공우유,주스카프리썬 오렌지,2.0
5,가공우유,초코씨리얼,2.0
6,가공우유,콘푸로스트,2.0
7,가공우유,햄치즈버거,2.0
8,가지굴소스쇠고기볶음,감자튀김,3.0
9,가지굴소스쇠고기볶음,깍두기,3.0
10,가지굴소스쇠고기볶음,닭매운탕,3.0
11,가지굴소스쇠고기볶음,밥,3.0
12,가지굴소스쇠고기볶음,유산균 발효 음료,3.0
13,간장 돼지불고기,밥,4.0
14,간장 돼지불고기,배추김치,4.0
15,간장 돼지불고기,오곡곡물후레이크,3.0
16,간장 돼지불고기,우유,3.0
17,간장 돼지불고기,짬뽕찌개,4.0
18,간장 돼지불고기,코다리강정,4.0
19,간장 돼지불고기,핫도그빵,3.0
20,간장계란밥,김장김치,5.0
21,간장계란밥,닭곰탕,5.0
22,간장계란밥,돼지고기김치찌개,4.0
23,간장계란밥,돼지고기장조림,5.0
24,간장계란밥,두부양념장,5.0
25,간장계란밥,맛김,3.0
26,간장계란밥,배추김치,3.0
27,간장계란밥,생선묵조림,3.0
28,간장계란밥,쇠고기미역국,3.0
29,간장계란밥,애호박나물,4.0
30,간장계란밥,열무김치,5.0
31,간장계란밥,우유,4.25
32,간장계란밥,참치김치찌개,5.0
33,간장계란밥,총각김치,4.0
34,갈치순살튀김,감자양파찌개,3.0
35,갈치순살튀김,김장김치,3.0
36,갈치순살튀김,두부조림,3.0
37,갈치순살튀김,딸기,3.0
38,갈치순살튀김,배추김치,3.0
39,갈치순살튀김,사골곰탕,3.0
40,갈치순살튀김,소불고기,3.0
41,갈치순살튀김,영양밥,3.0
42,갈치순살튀김,오삼불고기,3.0
43,갈치순살튀김,오징어국,3.0
44,갈치순살튀김,현미밥,3.0
45,감귤,검은콩밥,2.0
46,감귤,고추잡채,1.0
47,감귤,고추참치덮밥,3.0
48,감귤,근대된장국,2.0
49,감귤,김자반,1.0
50,감귤,김장김치,2.5384615384615383
51,감귤,김치국,3.0
52,감귤,닭간장소스찜,3.0
53,감귤,대구탕,2.0
54,감귤,돈쭈꾸미볶음,2.0
55,감귤,돼지고기고추장볶음,2.0
56,감귤,돼지고기김치찌개,3.0
57,감귤,돼지불고기,3.0
58,감귤,라면,2.5
59,감귤,마파두부,2.0
60,감귤,멸치고추장볶음,3.0
61,감귤,명태매운탕,3.0
62,감귤,무밥,2.0
63,감귤,버섯쇠고기찌개,2.5
64,감귤,비빔만두,3.0
65,감귤,삶은계란,2.0
66,감귤,삼치간장조림,4.0
67,감귤,새우버거,2.0
68,감귤,생선묵볶음,2.0
69,감귤,소시지야채볶음,2.0
70,감귤,순두부찌개,1.0
71,감귤,시금치된장국,2.5
72,감귤,시금치된장무침,3.0
73,감귤,양배추쌈,2.0
74,감귤,에너지바,2.0
75,감귤,영양밥,2.6
76,감귤,오리훈제파프리카볶음,3.0
77,감귤,오이무침,3.0
78,감귤,워터젤리,3.0
79,감귤,유산균 발효 음료,2.0
80,감귤,음료수 탄산 과일,3.0
81,감귤,이온음료,3.0
82,감귤,자장밥,3.0
83,감귤,잡채볶음밥,3.0
84,감귤,주스망고코넛,1.5
85,감귤,즉석쌀국수,2.0
86,감귤,짬뽕찌개,3.0
87,감귤,초콜릿,3.0
88,감귤,카레밥,2.0
89,감귤,코다리조림,3.0
90,감귤,콘푸로스트,2.0
91,감귤,콩나물국,4.0
92,감귤,콩나물김치국,2.0
93,감귤,콩나물된장덮밥,2.0
94,감귤,탄산음료,2.5
95,감귤,탕수육,3.0
96,감귤,파겉절이,2.0
97,감귤,한우불고기,3.0
98,감귤,현미밥,3.0
99,감귤 주스,감자맛탕,2.0
100,감귤 주스,고등어순살강정,2.0
101,감귤 주스,과일푸딩,2.5
102,감귤 주스,김장김치,2.0
103,감귤 주스,김치덮밥,3.0
104,감귤 주스,냉이국,2.0
105,감귤 주스,닭고기부추밥,3.0
