,메뉴이름,다른메뉴,조합점수
0,가공우유,가공우유,3.0
1,가공우유,과일푸딩,3.0
2,가공우유,깍두기,3.0
3,가공우유,냉동바지락살무침 ,3.0
4,가공우유,단호박샐러드,2.0
5,가공우유,돈가스,2.0
6,가공우유,밥,2.0
7,가공우유,불고기버거,3.0
8,가공우유,수박,3.0
9,가공우유,열무김치,2.0
10,가공우유,우유,2.8333333333333335
11,가공우유,이온음료,3.0
12,가공우유,주스카프리썬오렌지망고,2.0
13,가공우유,주스프레주망고,2.0
14,가공우유,콩나물두부국,2.0
15,가공우유,핫도그빵,2.5
16,가공우유,햄치즈버거,3.25
17,가지무침 ,건새우아욱된장국 ,3.0
18,가지무침 ,고추참치덮밥 ,3.0
19,가지무침 ,닭강정 ,5.0
20,가지무침 ,돼지불고기 ,3.0
21,가지무침 ,미역오이냉국,5.0
22,가지무침 ,밥,5.0
23,가지무침 ,배추김치,4.0
24,가지무침 ,새송이버섯야채볶음 ,3.0
25,가지무침 ,양념통닭 ,3.0
26,가지무침 ,잡곡밥,3.0
27,가지무침 ,찰보리밥,3.0
28,가지무침 ,총각김치,3.0
29,가지무침 ,해물찌개 ,3.0
30,가지탕수,돼지불고기,3.0
31,가지탕수,두부김치국,3.0
32,가지탕수,배추김치,3.0
33,가지탕수,생수,3.0
34,가지탕수,순무김치,2.0
35,가지탕수,잡채볶음밥,2.0
36,가지탕수,햄버거스테이크,2.0
37,가지탕수,현미밥,3.0
38,간장계란밥,배추김치,3.0
39,간장계란밥,생선묵꽈리고추볶음,3.0
40,간장계란밥,우유,3.0
41,간장계란밥,탄산음료,3.0
42,간장계란밥,포도신선형,3.0
43,간장계란밥,햄김치찌개,3.0
44,간장계란밥,햄치즈버거,3.0
45,갈치순살튀김,쇠고기미역국,3.0
46,갈치순살튀김,열무김치,3.0
47,갈치순살튀김,우유,3.0
48,갈치순살튀김,전복장조림,3.0
49,갈치순살튀김,찹쌀밥,3.0
50,갈치순살튀김 ,깍두기,4.0
51,갈치순살튀김 ,돼지고기김치볶음 ,4.0
52,갈치순살튀김 ,밥,4.0
53,갈치순살튀김 ,쇠고기미역국 ,2.0
54,갈치순살튀김 ,순두부양념장 ,2.0
55,갈치순살튀김 ,조개국 ,4.0
56,갈치순살튀김 ,찹쌀밥,2.0
57,감귤 주스,감자샐러드,3.0
58,감귤 주스,고등어카레튀김,3.0
59,감귤 주스,대추방울토마토,3.0
60,감귤 주스,두부조림,3.0
61,감귤 주스,맛김,2.0
62,감귤 주스,매운소시지떡볶음,3.0
