,메뉴이름,다른메뉴,조합점수
0,가공우유,가공우유,3.5
1,가공우유,감자샐러드,2.5
2,가공우유,감자튀김,3.0
3,가공우유,계란국,3.0
4,가공우유,계란후라이,2.5
5,가공우유,고구마샐러드,3.0
6,가공우유,곶감,3.0
7,가공우유,과일푸딩,3.0
8,가공우유,김장김치,3.0
9,가공우유,깻잎찜,3.0
10,가공우유,농후 발효유,2.0
11,가공우유,돈까스치즈버거,3.0
12,가공우유,돼지불고기,3.0
13,가공우유,레몬에이드,2.0
14,가공우유,밥,3.0
15,가공우유,복숭아,3.0
16,가공우유,불고기버거,3.5
17,가공우유,블루베리아몬드,2.0
18,가공우유,비타민음료,3.0
19,가공우유,새우버거,2.875
20,가공우유,스트링치즈,2.0
21,가공우유,아이스샌드,3.0
22,가공우유,양파커리핫도그,3.0
23,가공우유,우유,3.2
24,가공우유,유산균 발효 음료,3.0
25,가공우유,탄산음료,3.0
26,가공우유,팥빙수,2.0
27,가공우유,핫도그빵,6.0
28,가공우유,햄구이,2.0
29,가공우유,햄치즈버거,3.2
30,가지볶음,감자탕,5.0
31,가지볶음,고등어마늘튀김,2.0
32,가지볶음,닭간장소스찜,3.0
33,가지볶음,돼지고기김치찌개,2.0
34,가지볶음,두부돈육김치볶음,2.0
35,가지볶음,맑은순두부계란탕,3.0
36,가지볶음,맛김,2.0
37,가지볶음,밥,3.0
38,가지볶음,배추김치,4.0
39,가지볶음,쇠고기호박찌개,2.0
40,가지볶음,수박,2.0
41,가지볶음,열무김치,2.0
42,가지볶음,오징어젓무침,5.0
43,가지볶음,총각김치,2.0
44,가지볶음,현미밥,3.0
45,가지탕수,갑오징어미역초무침,4.0
46,가지탕수,근대된장국,3.0
47,가지탕수,배추김치,3.5
48,가지탕수,쇠고기호박찌개,4.0
49,가지탕수,우유,3.0
50,가지탕수,쭈꾸미볶음,3.0
51,가지탕수,컵과일,4.0
52,가지탕수,현미밥,3.5
53,갈치순살튀김,돼지고기김치찌개,4.0
54,갈치순살튀김,돼지고기콩나물볶음,3.0
55,갈치순살튀김,밥,4.0
56,갈치순살튀김,배추김치,3.0
57,갈치순살튀김,찹쌀밥,3.0
58,갈치순살튀김,총각김치,4.0
59,갈치순살튀김,콩나물무침,4.0
60,갈치순살튀김,호박된장찌개,3.0
61,감귤,김장김치,3.0
62,감귤,무생채,3.0
63,감귤,쇠고기감자조림,3.0
64,감귤,쇠고기불고기,3.0
65,감귤,시금치된장국,3.0
66,감귤,우유,3.0
67,감귤,잡채밥,3.0
68,감귤,짬뽕찌개,3.0
69,감귤,현미밥,3.0
70,감귤 주스,밀쌀밥,3.0
71,감귤 주스,쇠고기갈비찜,3.0
72,감귤 주스,열무김치,3.0
73,감귤 주스,콩나물무침,3.0
74,감귤 주스,호박된장찌개,3.0
75,감자된장국,건빵,3.0
76,감자된장국,계란찜,3.0
77,감자된장국,계란후라이,2.0
78,감자된장국,과일푸딩,4.0
79,감자된장국,김장김치,3.1666666666666665
80,감자된장국,깍두기,3.5
81,감자된장국,닭고기김치찜,3.6666666666666665
82,감자된장국,돼지고기고추장볶음,3.0
83,감자된장국,두부샐러드드레싱,2.5
84,감자된장국,딸기,4.0
85,감자된장국,마늘쫑볶음,4.0
86,감자된장국,명태순살강정,4.0
87,감자된장국,무생채,2.0
88,감자된장국,미트볼튀김,3.0
89,감자된장국,밥,3.3333333333333335
90,감자된장국,배추김치,3.2222222222222223
91,감자된장국,백김치,3.0
92,감자된장국,삼겹살구이,4.333333333333333
93,감자된장국,시금치무침,3.0
94,감자된장국,애호박나물,3.0
95,감자된장국,양배추쌈,4.0
96,감자된장국,오리불고기,3.0
97,감자된장국,오이고추장무침,5.0
98,감자된장국,오이소박이,3.0
99,감자된장국,오이양파장아찌,3.0
100,감자된장국,우유,2.75
101,감자된장국,잡채밥,4.0
102,감자된장국,짜먹는요구르트,2.5
103,감자된장국,쭈삼불고기,3.0
104,감자된장국,찰보리밥,2.5
105,감자된장국,찰보리비빔밥,2.0
106,감자된장국,찹쌀밥,3.0
107,감자된장국,파불고기,2.6666666666666665
108,감자된장국,표고버섯돼지고기볶음,3.0
109,감자된장국,한라봉,3.0
110,감자된장국,한우불고기,2.0
111,감자된장국,현미밥,3.1666666666666665
112,감자된장국,호박잎양념장,3.0
113,감자된장국,흑미밥,4.0
114,감자샐러드,가공우유,2.5
115,감자샐러드,계란후라이,2.75
116,감자샐러드,과일푸딩,3.0
117,감자샐러드,광어매운탕,3.0
118,감자샐러드,김장김치,3.0
119,감자샐러드,깍두기,3.0
