,메뉴이름,다른메뉴,조합점수
0,가공우유,가공우유,3.0
1,가공우유,불고기버거,4.333333333333333
2,가공우유,삶은계란,3.230769230769231
3,가공우유,삶은계란삶은계란대,1.5
4,가공우유,새우버거,2.5
5,가공우유,우유,3.0
6,가공우유,찐감자,2.0
7,가공우유,핫도그빵,2.8181818181818183
8,가공우유,햄치즈버거,3.0
9,가스오부시어묵탕,맛김,1.0
10,가스오부시어묵탕,밥,1.0
11,가스오부시어묵탕,배추김치,1.0
12,가스오부시어묵탕,비엔나소시지케찹볶음,1.0
13,가스오부시어묵탕,사과 주스,1.0
14,가스오부시어묵탕,연두부양념장,1.0
15,가스오부시어묵탕,우유,1.0
16,가지굴소스볶음,계란찜,3.0
17,가지굴소스볶음,꼬리곰탕,3.0
18,가지굴소스볶음,닭갈비,3.0
19,가지굴소스볶음,닭고기매운조림,4.0
20,가지굴소스볶음,맛김,3.0
21,가지굴소스볶음,밥,3.0
22,가지굴소스볶음,배추김치,3.25
23,가지굴소스볶음,버섯쇠고기찌개,3.0
24,가지굴소스볶음,쇠고기감자국,4.0
25,가지굴소스볶음,순무김치,3.0
26,가지굴소스볶음,오이무침,3.0
27,가지굴소스볶음,오징어젓무침,3.0
28,가지굴소스볶음,오징어콩나물국,3.0
29,가지굴소스볶음,우유,3.0
30,가지굴소스볶음,이온음료,3.0
31,가지굴소스볶음,잡곡밥,3.0
32,가지굴소스볶음,짜먹는요구르트,3.0
33,가지굴소스볶음,팥빙수,4.0
34,가지굴소스볶음,팽이버섯국,3.0
35,가지굴소스볶음,포도 주스,3.0
36,가지굴소스볶음,현미밥,4.0
37,가지굴소스쇠고기볶음,감자조림,3.0
38,가지굴소스쇠고기볶음,과일푸딩,3.0
39,가지굴소스쇠고기볶음,김치찌개,3.0
40,가지굴소스쇠고기볶음,깍두기,3.0
41,가지굴소스쇠고기볶음,맛김,2.0
42,가지굴소스쇠고기볶음,밥,3.0
43,가지굴소스쇠고기볶음,배추김치,2.8
44,가지굴소스쇠고기볶음,배추두부국,2.0
45,가지굴소스쇠고기볶음,버섯감자채볶음,4.0
46,가지굴소스쇠고기볶음,생선묵국,3.0
47,가지굴소스쇠고기볶음,아이스크림 팩형,2.0
48,가지굴소스쇠고기볶음,오이무침,2.0
49,가지굴소스쇠고기볶음,오이부추무침,3.0
50,가지굴소스쇠고기볶음,오징어찌개,4.0
51,가지굴소스쇠고기볶음,우유,2.0
52,가지굴소스쇠고기볶음,잡곡밥,2.0
53,가지굴소스쇠고기볶음,주스사과,2.0
54,가지굴소스쇠고기볶음,참돔간장조림,3.0
55,가지굴소스쇠고기볶음,찹쌀밥,3.0
56,가지굴소스쇠고기볶음,피망멸치볶음,2.0
57,가지굴소스쇠고기볶음,현미밥,3.0
58,가지굴소스쇠고기볶음,호박고추장찌개,3.0
59,가지굴소스쇠고기볶음,호박된장찌개,2.0
60,가지매콤양념볶음,마카로니샐러드,2.0
61,가지매콤양념볶음,배추김치,3.0
62,가지매콤양념볶음,비타민음료,4.0
63,가지매콤양념볶음,삼치순살조림,4.0
64,가지매콤양념볶음,쇠고기감자국,3.0
65,가지매콤양념볶음,잡곡밥,2.0
66,가지매콤양념볶음,주스망고코넛,2.0
67,가지매콤양념볶음,현미밥,4.0
68,가지튀김,계란국,3.0
69,가지튀김,계란후라이,3.0
70,가지튀김,마파두부덮밥,4.0
71,가지튀김,배추김치,3.0
72,가지튀김,부추비빔밥,3.0
73,가지튀김,쇠고기감자국,4.0
74,가지튀김,순무김치,4.0
75,가지튀김,즉석쌀국수,3.0
76,가지튀김,참치야채비빔밥,3.0
77,가지튀김,콩나물국,3.0
78,간장계란밥,감자매운조림,3.0
79,간장계란밥,단호박샐러드,2.0
80,간장계란밥,멸치볶음,3.0
81,간장계란밥,배추김치,3.0
82,간장계란밥,새송이버섯야채볶음,2.0
83,간장계란밥,어묵콩나물국,3.0
84,간장계란밥,오징어젓무침,4.0
85,간장계란밥,우유,3.5
86,간장계란밥,컵과일,2.0
87,간장계란밥,콩나물김치국,2.0
88,간장계란밥,햄감자볶음,4.0
89,갈비탕,깍두기,3.0
90,갈비탕,농후 발효유,3.0
91,갈비탕,마늘종멸치볶음,3.0
92,갈비탕,밥,3.0
93,갈비탕,시금치무침,3.0
94,갈치순살튀김,감자양파찌개,3.0
95,갈치순살튀김,계란찜,5.0
96,갈치순살튀김,김장김치,3.0
97,갈치순살튀김,돼지고기감자찌개,5.0
98,갈치순살튀김,무나물,3.0
99,갈치순살튀김,밥,3.0
100,갈치순살튀김,배추김치,5.0
101,갈치순살튀김,워터젤리,3.0
102,갈치순살튀김,잡곡밥,5.0
103,감귤,감자탕,4.0
104,감귤,김장김치,3.75
105,감귤,미나리콩나물무침,4.0
106,감귤,밥,3.5
107,감귤,방어순살조림,4.0
108,감귤,버섯된장찌개,3.0
109,감귤,브로콜리돼지고기볶음,4.0
110,감귤,쇠고기불고기,4.0
111,감귤,시금치고추장무침,4.0
112,감귤,시금치된장국,4.0
113,감귤,야채삼겹살볶음,3.0
114,감귤,오이무침,4.0
115,감귤,오이양파장아찌,3.0
116,감귤,현미밥,4.0
117,감귤,호박된장찌개,4.0
118,감귤,흑미밥,4.0
119,감귤 주스,계란국,2.0
120,감귤 주스,계란찜,3.0
121,감귤 주스,김장김치,2.5
122,감귤 주스,김치찌개,2.0
123,감귤 주스,단무지무침,2.0
124,감귤 주스,돼지고기감자버섯찌개,3.0
125,감귤 주스,딸기,3.0
126,감귤 주스,맛김,3.0
127,감귤 주스,밥,3.0
128,감귤 주스,배추김치,3.0
129,감귤 주스,버섯된장찌개,3.0
130,감귤 주스,쇠고기불고기,3.0
131,감귤 주스,수박,2.0
132,감귤 주스,순살햄계란찜,3.0
133,감귤 주스,시금치고추장무침,3.0
134,감귤 주스,야채삼겹살볶음,3.0
135,감귤 주스,오리훈제파프리카볶음,3.0
136,감귤 주스,오이부추무침,2.0
137,감귤 주스,자장밥,2.0
138,감귤 주스,잡곡밥,3.0
139,감귤 주스,조기튀김,3.0
140,감귤 주스,총각김치,2.0
141,감귤 주스,콩나물국,3.0
142,감귤 주스,콩나물매운무침,3.0
143,감귤 주스,콩나물쇠고기볶음,2.0
144,감귤 주스,피망멸치볶음,3.0
145,감귤 주스,햄소시지찌개,3.0
146,감귤 주스,현미밥,2.5
147,감귤 주스,호박된장찌개,3.0
148,감자맛탕,두부맑은국,3.0
149,감자맛탕,배추김치,3.0
150,감자맛탕,주꾸미콩나물비빔밥,3.0
151,감자매운조림,간장계란밥,3.0
152,감자매운조림,광어매운탕,4.0
153,감자매운조림,김장김치,2.0
154,감자매운조림,김치찌개,3.0
155,감자매운조림,깍두기,3.0
156,감자매운조림,꽃게탕,4.0
157,감자매운조림,닭고기미역국,3.0
158,감자매운조림,닭고기육개장,3.0
159,감자매운조림,닭곰탕,2.0
160,감자매운조림,돈가스,2.5
161,감자매운조림,두부김치,3.0
162,감자매운조림,마파두부,2.0
163,감자매운조림,맛김,3.0
164,감자매운조림,멸치볶음,4.5
165,감자매운조림,밥,3.5384615384615383
166,감자매운조림,배추김치,3.4285714285714284
167,감자매운조림,버섯강정,3.0
168,감자매운조림,베이컨청경채볶음,3.0
169,감자매운조림,비엔나소시지야채볶음,2.0
170,감자매운조림,사과,3.0
171,감자매운조림,삼치순살조림,2.0
172,감자매운조림,생선묵국,2.0
173,감자매운조림,생선묵콩나물볶음,3.0
174,감자매운조림,생수,3.0
175,감자매운조림,소시지케찹볶음,3.0
176,감자매운조림,쇠고기느타리버섯잡채,3.0
177,감자매운조림,쇠고기무국,3.0
178,감자매운조림,쇠고기미역국,4.0
179,감자매운조림,쇠고기버섯죽,3.0
180,감자매운조림,쇠고기육개장,2.5
181,감자매운조림,순두부국,3.0
182,감자매운조림,순두부찌개,3.0
183,감자매운조림,스크램블에그,3.0
184,감자매운조림,어묵콩나물국,3.0
185,감자매운조림,에너지바,2.0
186,감자매운조림,열무김치,3.0
187,감자매운조림,오징어젓무침,3.0
188,감자매운조림,우유,3.3
189,감자매운조림,워터젤리,3.0
190,감자매운조림,이온음료,2.0
191,감자매운조림,잡곡밥,2.6666666666666665
192,감자매운조림,조기튀김,3.0
193,감자매운조림,주스망고코넛,3.0
194,감자매운조림,찹쌀밥,2.0
195,감자매운조림,치킨텐더,4.0
196,감자매운조림,컵과일,2.0
197,감자매운조림,토마토신선형,3.0
198,감자매운조림,팽이버섯국,4.0
199,감자매운조림,피망잡채,3.6666666666666665
200,감자매운조림,햄소시지찌개,2.0
201,감자매운조림,현미밥,2.5
202,감자매운조림,호박된장찌개,6.0
203,감자매운조림,호박쇠고기볶음,4.0
204,감자매운조림,후리카케밥,3.0
205,감자샐러드,건빵,3.0
206,감자샐러드,김치찌개,3.0
207,감자샐러드,깍두기,3.5714285714285716
208,감자샐러드,농후 발효유,3.0
209,감자샐러드,돈가스,3.5
210,감자샐러드,미소된장국,3.0
211,감자샐러드,밥,3.1666666666666665
212,감자샐러드,방울토마토,4.0
213,감자샐러드,배,3.0
214,감자샐러드,배추김치,3.0
215,감자샐러드,배추들깨국,3.0
216,감자샐러드,생선가스,3.0
217,감자샐러드,생선묵김치찌개,4.0
218,감자샐러드,생수,3.0
219,감자샐러드,순두부찌개,4.0
220,감자샐러드,스파게티,3.0
221,감자샐러드,오이소박이,3.0
222,감자샐러드,이온음료,3.0
223,감자샐러드,컵과일,2.0
224,감자샐러드,파김치,2.0
225,감자샐러드,햄소시지찌개,2.5
226,감자샐러드,현미밥,4.0
227,감자샐러드,흑미밥,3.5
228,감자양파찌개,갈치순살튀김,3.0
229,감자양파찌개,계란찜,3.5
230,감자양파찌개,김자반,3.0
231,감자양파찌개,김장김치,3.25
232,감자양파찌개,까르보나라떡볶이,4.0
233,감자양파찌개,깍두기,3.0
234,감자양파찌개,깐풍기,3.0
235,감자양파찌개,농후 발효유,3.0
236,감자양파찌개,닭간장소스찜,2.0
237,감자양파찌개,닭순살샐러드,3.0
238,감자양파찌개,도라지오이무침,3.0
239,감자양파찌개,돈가스,3.0
240,감자양파찌개,돈육새송이야채볶음,3.0
241,감자양파찌개,돼지고기김치볶음,4.0
242,감자양파찌개,돼지고기김치찜,2.0
243,감자양파찌개,돼지고기청경채볶음,3.0
244,감자양파찌개,돼지고기콩나물볶음,3.0
245,감자양파찌개,떡찜,2.0
246,감자양파찌개,맛김,3.3333333333333335
247,감자양파찌개,매실피클,3.0
248,감자양파찌개,멸치볶음,2.0
249,감자양파찌개,무나물,3.0
250,감자양파찌개,밥,3.2222222222222223
251,감자양파찌개,배추김치,2.8181818181818183
252,감자양파찌개,버섯강정,4.0
253,감자양파찌개,복숭아 주스,2.0
254,감자양파찌개,부추표고버섯볶음,2.5
255,감자양파찌개,브로콜리초고추장,3.0
256,감자양파찌개,비엔나소시지케찹볶음,3.0
257,감자양파찌개,생선가스,3.0
258,감자양파찌개,생수,4.0
259,감자양파찌개,소시지야채볶음,3.0
260,감자양파찌개,순살햄계란찜,3.0
261,감자양파찌개,스크램블에그,3.0
262,감자양파찌개,연두부양념장,3.0
263,감자양파찌개,오리훈제야채볶음,3.0
264,감자양파찌개,오징어볶음,3.0
265,감자양파찌개,오징어채무침,3.0
266,감자양파찌개,우유,3.142857142857143
267,감자양파찌개,워터젤리,3.0
268,감자양파찌개,잡곡밥,2.75
269,감자양파찌개,조기튀김,2.0
270,감자양파찌개,주스망고코넛,2.0
271,감자양파찌개,주스복숭아,2.0
272,감자양파찌개,찹쌀밥,3.0
273,감자양파찌개,총각김치,4.0
274,감자양파찌개,콩나물쇠고기볶음,3.0
275,감자양파찌개,포도 주스,2.0
276,감자양파찌개,현미밥,3.0
277,감자양파찌개,흑미밥,2.75
278,감자어묵조림,건빵,2.0
279,감자어묵조림,김자반,3.0
280,감자어묵조림,김장김치,2.0
281,감자어묵조림,김치덮밥,2.0
282,감자어묵조림,깍두기,3.0
283,감자어묵조림,농후 발효유,2.0
284,감자어묵조림,느타리버섯국,3.0
285,감자어묵조림,두부맑은국,2.0
286,감자어묵조림,맛김,2.0
287,감자어묵조림,밥,2.6
288,감자어묵조림,배추김치,3.142857142857143
289,감자어묵조림,배추두부국,2.0
290,감자어묵조림,버섯호박볶음,3.0
291,감자어묵조림,부추표고버섯볶음,3.0
292,감자어묵조림,비타민음료,3.0
293,감자어묵조림,사골곰탕,3.0
294,감자어묵조림,사인머스켓,3.0
295,감자어묵조림,생수,2.0
296,감자어묵조림,쇠고기무국,3.0
297,감자어묵조림,쇠고기버섯죽,3.0
298,감자어묵조림,스크램블에그,4.0
299,감자어묵조림,스트링치즈,2.0
300,감자어묵조림,시금치고추장무침,3.0
301,감자어묵조림,얼큰한오징어국,3.0
302,감자어묵조림,열무김치,2.0
303,감자어묵조림,오렌지 주스,3.0
304,감자어묵조림,오이양파장아찌,3.0
305,감자어묵조림,오징어볶음,3.0
306,감자어묵조림,우유,3.142857142857143
307,감자어묵조림,잡곡밥,3.0
308,감자어묵조림,조갯살미역국,3.5
309,감자어묵조림,조기튀김,3.0
310,감자어묵조림,짜먹는요구르트,1.0
311,감자어묵조림,찹쌀밥,3.3333333333333335
312,감자어묵조림,총각김치,2.0
313,감자어묵조림,치킨샐러드,3.0
314,감자어묵조림,콩나물두부국,3.0
315,감자어묵조림,피망잡채,2.0
316,감자어묵조림,햄소시지찌개,2.3333333333333335
317,감자어묵조림,현미밥,2.5
318,감자어묵조림,흑미밥,3.0
319,감자조림,가지굴소스쇠고기볶음,3.0
320,감자조림,계란후라이,4.0
321,감자조림,고등어순살튀김,3.0
322,감자조림,김자반,3.0
323,감자조림,김장김치,2.25
324,감자조림,김치덮밥,4.0
325,감자조림,김치찌개,3.0
326,감자조림,깍두기,3.5454545454545454
327,감자조림,꼬리곰탕,2.0
328,감자조림,꽃게탕,1.0
329,감자조림,느타리버섯국,3.0
330,감자조림,닭강정,4.0
331,감자조림,닭고기육개장,3.0
332,감자조림,닭고기카레볶음,4.0
333,감자조림,돈가스,3.0
334,감자조림,돈까스덮밥,3.0
335,감자조림,돈육새송이야채볶음,3.0
336,감자조림,돼지고기김치볶음,6.0
337,감자조림,돼지고기청경채볶음,3.0
338,감자조림,두부맑은국,3.0
339,감자조림,들깨미역국,6.0
340,감자조림,떠먹는 토핑형 발효유,1.5
341,감자조림,떡찜,3.0
342,감자조림,라면,3.0
343,감자조림,마늘종멸치볶음,3.0
344,감자조림,마파두부,2.5
345,감자조림,맛김,3.0
346,감자조림,매콤치킨너겟볶음,3.0
347,감자조림,무생채,4.0
348,감자조림,밥,3.35
349,감자조림,배 주스,1.0
350,감자조림,배추김치,3.3684210526315788
351,감자조림,배추쇠고기국,3.0
352,감자조림,백김치,3.5
353,감자조림,버섯쇠고기찌개,4.333333333333333
354,감자조림,버섯호박볶음,4.0
355,감자조림,부추겉절이,3.0
356,감자조림,북어채국,2.0
357,감자조림,브로콜리초고추장,2.5
358,감자조림,비엔나소시지케찹볶음,3.0
359,감자조림,새우살계란찜,3.0
360,감자조림,생선묵국,3.0
361,감자조림,생선묵콩나물볶음,3.0
362,감자조림,생수,1.0
363,감자조림,소시지김치볶음,5.0
364,감자조림,소시지케찹볶음,3.0
365,감자조림,쇠고기무국,4.0
366,감자조림,쇠고기미역국,3.0
367,감자조림,쇠고기버섯죽,3.0
368,감자조림,순두부버섯탕,5.0
369,감자조림,순두부해물찌개,2.0
370,감자조림,숭어살튀김,3.0
371,감자조림,오이양파장아찌,3.0
372,감자조림,오징어볶음,5.0
373,감자조림,오징어브로콜리숙회,4.0
374,감자조림,오징어젓무침,3.0
375,감자조림,오징어찌개,3.0
376,감자조림,오징어채무침,3.5
377,감자조림,오징어튀김,5.0
378,감자조림,우유,3.7333333333333334
379,감자조림,음료수 탄산 과일,3.0
380,감자조림,이온음료,3.0
381,감자조림,자두,3.0
382,감자조림,잡곡밥,3.0
383,감자조림,잡채,1.0
384,감자조림,조기튀김,3.0
385,감자조림,주스망고코넛,1.0
386,감자조림,주스복숭아,3.0
387,감자조림,주스오렌지,3.0
388,감자조림,중화식계란탕,3.0
389,감자조림,짬뽕찌개,4.0
390,감자조림,찹쌀밥,3.3333333333333335
391,감자조림,총각김치,4.0
392,감자조림,카레밥,4.0
393,감자조림,커피음료,4.0
394,감자조림,컵과일,3.0
395,감자조림,콩나물국,5.0
396,감자조림,콩나물국밥,3.0
397,감자조림,콩나물김치국,4.0
398,감자조림,콩나물두부국,4.0
399,감자조림,콩나물매운잡채,4.0
400,감자조림,탄산음료,3.0
401,감자조림,탕수육,1.0
402,감자조림,포도 주스,2.0
403,감자조림,햄소시지찌개,3.0
404,감자조림,현미밥,3.0
405,감자조림,호박쇠고기볶음,3.0
406,감자조림,흑미밥,3.6666666666666665
407,감자짜글이,닭간장소스찜,3.0
408,감자짜글이,두부조림,3.0
409,감자짜글이,배추김치,2.5
410,감자짜글이,삼치순살조림,2.0
411,감자짜글이,오징어채볶음,2.0
412,감자짜글이,이온음료,2.0
