,메뉴이름,다른메뉴,조합점수
0,가공우유,가공우유,2.0
1,가공우유,감귤 주스,1.0
2,가공우유,건새우아욱된장국,1.0
3,가공우유,계란찜,3.0
4,가공우유,김치찌개,3.0
5,가공우유,깍두기,2.0
6,가공우유,돼지고기깻잎볶음,2.0
7,가공우유,돼지불고기,3.0
8,가공우유,밥,2.5
9,가공우유,배추김치,2.0
10,가공우유,배추무침,2.0
11,가공우유,버섯된장찌개,3.0
12,가공우유,비빔당면,3.0
13,가공우유,삼치순살조림,3.0
14,가공우유,상추겉절이,1.0
15,가공우유,새우버거,4.0
16,가공우유,생선묵조림,3.0
17,가공우유,생수,3.0
18,가공우유,쇠고기무국,2.0
19,가공우유,열무김치,3.0
20,가공우유,우엉오징어조림,3.0
21,가공우유,음료수 탄산 과일,3.0
22,가공우유,잡곡밥,3.0
23,가공우유,콩나물국,3.0
24,가공우유,콩나물닭볶음,1.0
25,가공우유,햄치즈버거,3.0
26,가든샐러드,감자국,2.0
27,가든샐러드,거봉포도,3.0
28,가든샐러드,계란국,3.0
29,가든샐러드,계란후라이,3.0
30,가든샐러드,굴패주해산물야채볶음,2.0
31,가든샐러드,김치볶음밥,3.0
32,가든샐러드,깍두기,2.0
33,가든샐러드,두부양념장,2.0
34,가든샐러드,미트볼케찹조림,3.0
35,가든샐러드,불고기샐러드,2.5
36,가든샐러드,브런치,3.0
37,가든샐러드,비타민음료,3.0
38,가든샐러드,사이다,2.0
39,가든샐러드,사인머스켓,3.0
40,가든샐러드,새우볶음밥,3.0
41,가든샐러드,생선묵찌개,3.0
42,가든샐러드,수박,2.3333333333333335
43,가든샐러드,요구르트떠먹는형,3.0
44,가든샐러드,우유,2.6666666666666665
45,가든샐러드,컵과일,3.0
46,가든샐러드,콜라,3.0
47,가든샐러드,토마토,2.0
48,가든샐러드,핫도그,2.5
49,가든샐러드,햄치즈버거,3.0
50,가스오부시어묵탕,검은콩밥,3.0
51,가스오부시어묵탕,깍두기,4.0
52,가스오부시어묵탕,돼지고기부추볶음,3.0
53,가스오부시어묵탕,미나리콩나물무침,3.0
54,가스오부시어묵탕,밥,4.0
55,가스오부시어묵탕,배추김치,4.0
56,가스오부시어묵탕,버섯불고기찜,4.0
57,가스오부시어묵탕,새우살야채튀김,4.0
58,가스오부시어묵탕,수박,4.0
59,가스오부시어묵탕,오이부추무침,4.0
60,가스오부시어묵탕,오이소박이,3.0
61,가스오부시어묵탕,오징어젓무침,4.0
62,가스오부시어묵탕,잡곡밥,4.0
63,가지굴소스볶음,김치찌개,3.0
64,가지굴소스볶음,닭고기부추밥,3.0
65,가지굴소스볶음,맛김,3.0
66,가지굴소스볶음,미역국,3.0
67,가지굴소스볶음,밥,2.5
68,가지굴소스볶음,배추김치,2.5
69,가지굴소스볶음,복숭아 주스,3.0
70,가지굴소스볶음,생선묵볶음,2.0
71,가지굴소스볶음,쇠고기무국,2.0
72,가지굴소스볶음,스크램블에그,3.0
73,가지굴소스볶음,우유,2.6666666666666665
74,가지굴소스볶음,주스카프리썬 사과,3.0
75,가지굴소스볶음,총각김치,3.0
76,간장 돼지불고기,고구마튀김,3.0
77,간장 돼지불고기,깍두기,3.0
78,간장 돼지불고기,미역국,3.0
79,간장 돼지불고기,밥,3.0
80,간장 돼지불고기,배추김치,3.0
81,간장 돼지불고기,얼갈이배추겉절이,3.0
82,간장 돼지불고기,찹쌀밥,3.0
83,간장 돼지불고기,콩나물냉국,3.0
84,간장계란밥,근대된장국,4.0
85,간장계란밥,김치국,2.0
86,간장계란밥,돼지고기김치찌개,3.0
87,간장계란밥,무두부조개탕,2.0
88,간장계란밥,배추김치,3.0
89,간장계란밥,부추된장무침,2.5
90,간장계란밥,쇠고기육개장,3.0
91,간장계란밥,아이스크림 팩형,3.0
92,간장계란밥,양배추샐러드,3.0
93,간장계란밥,오이양파장아찌,2.0
94,간장계란밥,우유,2.0
95,간장계란밥,코다리조림,4.0
96,간장계란밥,콩나물무침,2.0
97,갈비맛통닭,골뱅이무침,3.0
98,갈비맛통닭,밥,3.0
99,갈비맛통닭,배추김치,3.0
100,갈비맛통닭,수박,3.0
101,갈비맛통닭,오이냉국,3.0
102,갈비탕,과일,2.0
103,갈비탕,무콩나물무침,2.0
104,갈비탕,밥,2.0
105,갈비탕,배추김치,2.0
106,갈비탕,생수,2.0
107,갈비탕,오징어젓무침,2.0
108,갈치무조림,검은콩밥,3.0
109,갈치무조림,고추참치찌개,3.0
110,갈치무조림,두부김치,3.0
111,갈치무조림,멜론,3.0
112,갈치무조림,오이김치,3.0
113,갈치튀김,감자짜글이,3.0
114,갈치튀김,깍두기,3.0
115,갈치튀김,단무지,3.0
116,갈치튀김,쇠고기버섯덮밥,3.0
117,갈치튀김,우유,3.0
118,감귤,감자조림,5.0
119,감귤,감자채볶음,3.0
120,감귤,건빵,2.0
121,감귤,고구마맛탕,3.0
122,감귤,고추참치찌개,4.0
123,감귤,과일샐러드,3.0
124,감귤,김장김치,2.857142857142857
125,감귤,김치찌개,2.0
126,감귤,깍두기,3.6666666666666665
127,감귤,단무지무침,3.0
128,감귤,닭곰탕,4.0
129,감귤,닭매운탕,3.0
130,감귤,도라지사과무침,3.0
131,감귤,돼지고기김치볶음,2.0
132,감귤,두부김치,4.0
133,감귤,두부양념장,2.0
134,감귤,밥,3.142857142857143
135,감귤,생선가스,3.0
136,감귤,시금치무침,4.0
137,감귤,시래기감자탕,3.0
138,감귤,야채덮밥,4.0
139,감귤,오징어볶음,5.0
140,감귤,오징어숙회초고추장,3.0
141,감귤,오징어채볶음,2.0
142,감귤,오징어초고추장무침,3.0
143,감귤,오징어튀김,4.0
144,감귤,우유,5.0
145,감귤,자장밥,2.0
146,감귤,짬뽕찌개,3.0
147,감귤,탕수육,2.0
148,감귤,파프리카쌈장,2.0
